     Pressure (Pa)     C7-500 (mol/kg)        3mC6-500 (mol/kg)
    0.3000000000E+03    0.2094417977E-01    0.2057874740E-01
    0.5000000000E+03    0.3353996752E-01    0.3292977912E-01
    0.7000000000E+03    0.4518724850E-01    0.4433241453E-01
    0.9000000000E+03    0.5598991885E-01    0.5489121492E-01
    0.1100000000E+04    0.6603721315E-01    0.6469593813E-01
    0.1300000000E+04    0.7540620401E-01    0.7382406725E-01
    0.1500000000E+04    0.8416380705E-01    0.8234283826E-01
    0.1700000000E+04    0.9236840170E-01    0.9031087872E-01
    0.1900000000E+04    0.1000711512E+00    0.9777954188E-01
    0.2100000000E+04    0.1073170849E+00    0.1047940001E+00
    0.2300000000E+04    0.1141459914E+00    0.1113941471E+00
    0.2500000000E+04    0.1205931601E+00    0.1176153463E+00
    0.2700000000E+04    0.1266899998E+00    0.1234890559E+00
    0.2900000000E+04    0.1324645586E+00    0.1290433530E+00
    0.3100000000E+04    0.1379419619E+00    0.1343033755E+00
    0.3300000000E+04    0.1431447839E+00    0.1392916966E+00
    0.3500000000E+04    0.1480933634E+00    0.1440286435E+00
    0.3700000000E+04    0.1528060743E+00    0.1485325698E+00
    0.3900000000E+04    0.1572995572E+00    0.1528200888E+00
    0.4100000000E+04    0.1615889198E+00    0.1569062754E+00
    0.4300000000E+04    0.1656879091E+00    0.1608048392E+00
    0.4500000000E+04    0.1696090615E+00    0.1645282762E+00
    0.4700000000E+04    0.1733638336E+00    0.1680879996E+00
    0.4900000000E+04    0.1769627157E+00    0.1714944546E+00
    0.5100000000E+04    0.1804153321E+00    0.1747572189E+00
    0.5300000000E+04    0.1837305284E+00    0.1778850906E+00
    0.5500000000E+04    0.1869164490E+00    0.1808861660E+00
    0.5700000000E+04    0.1899806053E+00    0.1837679082E+00
    0.5900000000E+04    0.1929299360E+00    0.1865372076E+00
    0.6100000000E+04    0.1957708607E+00    0.1892004357E+00
    0.6300000000E+04    0.1985093278E+00    0.1917634931E+00
    0.6500000000E+04    0.2011508570E+00    0.1942318523E+00
    0.6700000000E+04    0.2037005769E+00    0.1966105952E+00
    0.6900000000E+04    0.2061632596E+00    0.1989044482E+00
    0.7100000000E+04    0.2085433509E+00    0.2011178119E+00
    0.7300000000E+04    0.2108449977E+00    0.2032547889E+00
    0.7500000000E+04    0.2130720730E+00    0.2053192090E+00
    0.7700000000E+04    0.2152281981E+00    0.2073146506E+00
    0.7900000000E+04    0.2173167624E+00    0.2092444620E+00
    0.8100000000E+04    0.2193409422E+00    0.2111117787E+00
    0.8300000000E+04    0.2213037170E+00    0.2129195405E+00
    0.8500000000E+04    0.2232078844E+00    0.2146705063E+00
    0.8700000000E+04    0.2250560740E+00    0.2163672680E+00
    0.8900000000E+04    0.2268507598E+00    0.2180122626E+00
    0.9100000000E+04    0.2285942715E+00    0.2196077839E+00
    0.9300000000E+04    0.2302888049E+00    0.2211559927E+00
    0.9500000000E+04    0.2319364313E+00    0.2226589263E+00
    0.9700000000E+04    0.2335391066E+00    0.2241185072E+00
    0.9900000000E+04    0.2350986787E+00    0.2255365509E+00
    0.1000000000E+04    0.6110291153E-01    0.5988273169E-01
    0.3000000000E+04    0.1352389380E+00    0.1317086816E+00
    0.5000000000E+04    0.1787067370E+00    0.1731432309E+00
