     Pressure (Pa)     33mC5-400 (mol/kg)     23mC5-400 (mol/kg)
    0.1000000000E+01    0.1175677013E-02    0.1868316995E-03
    0.3000000000E+01    0.3513850160E-02    0.5588993777E-03
    0.5000000000E+01    0.5834610775E-02    0.9288589165E-03
    0.7000000000E+01    0.8138150719E-02    0.1296733390E-02
    0.9000000000E+01    0.1042465903E-01    0.1662545524E-02
    0.1100000000E+02    0.1269432199E-01    0.2026317700E-02
    0.1300000000E+02    0.1494732315E-01    0.2388071964E-02
    0.1500000000E+02    0.1718384341E-01    0.2747830032E-02
    0.1700000000E+02    0.1940406105E-01    0.3105613297E-02
    0.1900000000E+02    0.2160815176E-01    0.3461442832E-02
    0.2100000000E+02    0.2379628874E-01    0.3815339401E-02
    0.2300000000E+02    0.2596864269E-01    0.4167323462E-02
    0.2500000000E+02    0.2812538187E-01    0.4517415172E-02
    0.2700000000E+02    0.3026667217E-01    0.4865634393E-02
    0.2900000000E+02    0.3239267711E-01    0.5212000699E-02
    0.3100000000E+02    0.3450355793E-01    0.5556533379E-02
    0.3300000000E+02    0.3659947358E-01    0.5899251447E-02
    0.3500000000E+02    0.3868058080E-01    0.6240173638E-02
    0.3700000000E+02    0.4074703413E-01    0.6579318423E-02
    0.3900000000E+02    0.4279898597E-01    0.6916704007E-02
    0.4100000000E+02    0.4483658660E-01    0.7252348338E-02
    0.4300000000E+02    0.4685998425E-01    0.7586269107E-02
    0.4500000000E+02    0.4886932507E-01    0.7918483759E-02
    0.4700000000E+02    0.5086475325E-01    0.8249009490E-02
    0.4900000000E+02    0.5284641097E-01    0.8577863259E-02
    0.1000000000E+02    0.1156158464E-01    0.1844685221E-02
    0.3000000000E+02    0.3344999805E-01    0.5384495047E-02
    0.5000000000E+02    0.5383211982E-01    0.8741668392E-02
    0.7000000000E+02    0.7285660640E-01    0.1193395454E-01
    0.9000000000E+02    0.9065313794E-01    0.1497678502E-01
    0.1100000000E+03    0.1073353628E+00    0.1788364521E-01
    0.1300000000E+03    0.1230033085E+00    0.2066637620E-01
    0.1500000000E+03    0.1377453683E+00    0.2333542177E-01
    0.1700000000E+03    0.1516399494E+00    0.2590003181E-01
    0.1900000000E+03    0.1647568478E+00    0.2836843101E-01
    0.2100000000E+03    0.1771584010E+00    0.3074795943E-01
    0.2300000000E+03    0.1889004605E+00    0.3304519045E-01
    0.2500000000E+03    0.2000332152E+00    0.3526603009E-01
    0.2700000000E+03    0.2106018924E+00    0.3741580125E-01
    0.2900000000E+03    0.2206473569E+00    0.3949931531E-01
    0.3100000000E+03    0.2302066254E+00    0.4152093337E-01
    0.3300000000E+03    0.2393133091E+00    0.4348461879E-01
    0.3500000000E+03    0.2479979971E+00    0.4539398251E-01
    0.3700000000E+03    0.2562885888E+00    0.4725232221E-01
    0.3900000000E+03    0.2642105833E+00    0.4906265630E-01
    0.4100000000E+03    0.2717873320E+00    0.5082775360E-01
    0.4300000000E+03    0.2790402604E+00    0.5255015916E-01
    0.4500000000E+03    0.2859890625E+00    0.5423221702E-01
    0.4700000000E+03    0.2926518724E+00    0.5587609014E-01
    0.4900000000E+03    0.2990454154E+00    0.5748377797E-01
    0.1000000000E+03    0.9912699289E-01    0.1644643593E-01
    0.3000000000E+03    0.2254855899E+00    0.4051760487E-01
    0.5000000000E+03    0.3021460867E+00    0.5827463640E-01
    0.7000000000E+03    0.3532118446E+00    0.7257638829E-01
    0.9000000000E+03    0.3893928832E+00    0.8472266722E-01
    0.1100000000E+04    0.4161718274E+00    0.9540172024E-01
    0.1300000000E+04    0.4366441325E+00    0.1050178433E+00
    0.1500000000E+04    0.4526882966E+00    0.1138271641E+00
    0.1700000000E+04    0.4655094366E+00    0.1220015428E+00
    0.1900000000E+04    0.4759155863E+00    0.1296616293E+00
    0.2100000000E+04    0.4844683854E+00    0.1368952696E+00
    0.2300000000E+04    0.4915700618E+00    0.1437683749E+00
    0.2500000000E+04    0.4975160443E+00    0.1503316583E+00
    0.2700000000E+04    0.5025280601E+00    0.1566249818E+00
    0.2900000000E+04    0.5067756637E+00    0.1626802579E+00
    0.3100000000E+04    0.5103906509E+00    0.1685234459E+00
    0.3300000000E+04    0.5134769548E+00    0.1741759589E+00
    0.3500000000E+04    0.5161175925E+00    0.1796556791E+00
    0.3700000000E+04    0.5183796372E+00    0.1849777054E+00
    0.3900000000E+04    0.5203178410E+00    0.1901549117E+00
    0.4100000000E+04    0.5219773159E+00    0.1951983730E+00
    0.4300000000E+04    0.5233955461E+00    0.2001176929E+00
    0.4500000000E+04    0.5246039187E+00    0.2049212605E+00
    0.4700000000E+04    0.5256289011E+00    0.2096164530E+00
    0.4900000000E+04    0.5264929570E+00    0.2142097971E+00
    0.1000000000E+04    0.4037263647E+00    0.9021577437E-01
    0.3000000000E+04    0.5086551784E+00    0.1656269315E+00
    0.5000000000E+04    0.5268707431E+00    0.2164701159E+00
    0.7000000000E+04    0.5294237652E+00    0.2574580419E+00
    0.9000000000E+04    0.5271553908E+00    0.2923055359E+00
    0.1100000000E+05    0.5231643463E+00    0.3226500203E+00
    0.1300000000E+05    0.5186047141E+00    0.3494236186E+00
    0.1500000000E+05    0.5139681489E+00    0.3732435475E+00
    0.1700000000E+05    0.5094767076E+00    0.3945595934E+00
    0.1900000000E+05    0.5052296326E+00    0.4137204196E+00
    0.2100000000E+05    0.5012660942E+00    0.4310073582E+00
    0.2300000000E+05    0.4975947004E+00    0.4466534541E+00
    0.2500000000E+05    0.4942083658E+00    0.4608551582E+00
    0.2700000000E+05    0.4910921746E+00    0.4737800640E+00
    0.2900000000E+05    0.4882276712E+00    0.4855723567E+00
    0.3100000000E+05    0.4855952363E+00    0.4963568545E+00
    0.3300000000E+05    0.4831754000E+00    0.5062421271E+00
    0.3500000000E+05    0.4809495470E+00    0.5153229761E+00
    0.3700000000E+05    0.4789002692E+00    0.5236824517E+00
    0.3900000000E+05    0.4770115137E+00    0.5313935192E+00
    0.4100000000E+05    0.4752686102E+00    0.5385204513E+00
    0.4300000000E+05    0.4736582317E+00    0.5451200026E+00
    0.4500000000E+05    0.4721683184E+00    0.5512424048E+00
    0.4700000000E+05    0.4707879839E+00    0.5569322159E+00
    0.4900000000E+05    0.4695074156E+00    0.5622290466E+00
    0.1000000000E+05    0.5252797923E+00    0.3079723241E+00
    0.3000000000E+05    0.4868836760E+00    0.4910834452E+00
    0.5000000000E+05    0.4689017462E+00    0.5647412752E+00
    0.7000000000E+05    0.4603054068E+00    0.6011343427E+00
    0.9000000000E+05    0.4556544337E+00    0.6218136394E+00
    0.1100000000E+06    0.4528824035E+00    0.6347836341E+00
    0.1300000000E+06    0.4511059334E+00    0.6435231141E+00
    0.1500000000E+06    0.4499027309E+00    0.6497374380E+00
    0.1700000000E+06    0.4490518258E+00    0.6543438196E+00
    0.1900000000E+06    0.4484289288E+00    0.6578727675E+00
    0.2100000000E+06    0.4479599266E+00    0.6606494961E+00
    0.2300000000E+06    0.4475984566E+00    0.6628830502E+00
    0.2500000000E+06    0.4473143349E+00    0.6647131912E+00
    0.2700000000E+06    0.4470872373E+00    0.6662365030E+00
    0.2900000000E+06    0.4469030785E+00    0.6675216405E+00
    0.3100000000E+06    0.4467518512E+00    0.6686186064E+00
    0.3300000000E+06    0.4466262893E+00    0.6695645977E+00
    0.3500000000E+06    0.4465210157E+00    0.6703878037E+00
    0.3700000000E+06    0.4464319829E+00    0.6711099410E+00
    0.3900000000E+06    0.4463560983E+00    0.6717479867E+00
    0.4100000000E+06    0.4462909667E+00    0.6723153876E+00
    0.4300000000E+06    0.4462347101E+00    0.6728229211E+00
    0.4500000000E+06    0.4461858398E+00    0.6732793178E+00
    0.4700000000E+06    0.4461431634E+00    0.6736917196E+00
    0.4900000000E+06    0.4461057175E+00    0.6740660207E+00
    0.1000000000E+06    0.4541044920E+00    0.6289846910E+00
    0.3000000000E+06    0.4468238550E+00    0.6680910721E+00
    0.5000000000E+06    0.4460887047E+00    0.6742404492E+00
    0.7000000000E+06    0.4458920277E+00    0.6765761233E+00
    0.9000000000E+06    0.4458188464E+00    0.6777804580E+00
    0.1100000000E+07    0.4457870765E+00    0.6785082142E+00
    0.1300000000E+07    0.4457723153E+00    0.6789930435E+00
    0.1500000000E+07    0.4457654627E+00    0.6793381047E+00
    0.1700000000E+07    0.4457625935E+00    0.6795956988E+00
    0.1900000000E+07    0.4457618351E+00    0.6797950637E+00
    0.2100000000E+07    0.4457622267E+00    0.6799537800E+00
    0.2300000000E+07    0.4457632479E+00    0.6800830341E+00
    0.2500000000E+07    0.4457646058E+00    0.6801902728E+00
    0.2700000000E+07    0.4457661305E+00    0.6802806405E+00
    0.2900000000E+07    0.4457677221E+00    0.6803578017E+00
    0.3100000000E+07    0.4457693210E+00    0.6804244365E+00
    0.3300000000E+07    0.4457708922E+00    0.6804825484E+00
    0.3500000000E+07    0.4457724154E+00    0.6805336654E+00
    0.3700000000E+07    0.4457738795E+00    0.6805789719E+00
    0.3900000000E+07    0.4457752792E+00    0.6806194006E+00
    0.4100000000E+07    0.4457766126E+00    0.6806556953E+00
    0.4300000000E+07    0.4457778803E+00    0.6806884565E+00
