     Pressure (Pa)     33mC5-400 (mol/kg)     23mC5-400 (mol/kg)
    0.1000000000E+01    0.1306358036E-03    0.1679525495E-02
    0.3000000000E+01    0.3904784952E-03    0.5012584904E-02
    0.5000000000E+01    0.6484458658E-03    0.8311445835E-02
    0.7000000000E+01    0.9045730635E-03    0.1157664651E-01
    0.9000000000E+01    0.1158894422E-02    0.1480871382E-01
    0.1100000000E+02    0.1411443481E-02    0.1800816369E-01
    0.1300000000E+02    0.1662253011E-02    0.2117550125E-01
    0.1500000000E+02    0.1911355030E-02    0.2431122124E-01
    0.1700000000E+02    0.2158780827E-02    0.2741580819E-01
    0.1900000000E+02    0.2404560980E-02    0.3048973669E-01
    0.2100000000E+02    0.2648725375E-02    0.3353347168E-01
    0.2300000000E+02    0.2891303225E-02    0.3654746867E-01
    0.2500000000E+02    0.3132323088E-02    0.3953217398E-01
    0.2700000000E+02    0.3371812881E-02    0.4248802498E-01
    0.2900000000E+02    0.3609799902E-02    0.4541545028E-01
    0.3100000000E+02    0.3846310844E-02    0.4831486999E-01
    0.3300000000E+02    0.4081371806E-02    0.5118669592E-01
    0.3500000000E+02    0.4315008318E-02    0.5403133174E-01
    0.3700000000E+02    0.4547245347E-02    0.5684917325E-01
    0.3900000000E+02    0.4778107315E-02    0.5964060852E-01
    0.4100000000E+02    0.5007618114E-02    0.6240601810E-01
    0.4300000000E+02    0.5235801117E-02    0.6514577518E-01
    0.4500000000E+02    0.5462679192E-02    0.6786024580E-01
    0.4700000000E+02    0.5688274715E-02    0.7054978898E-01
    0.4900000000E+02    0.5912609585E-02    0.7321475694E-01
    0.1000000000E+02    0.1285388423E-02    0.1641248412E-01
    0.3000000000E+02    0.3728238238E-02    0.4686863491E-01
    0.5000000000E+02    0.6024310988E-02    0.7453813344E-01
    0.7000000000E+02    0.8197143177E-02    0.9979637176E-01
    0.9000000000E+02    0.1026571373E-01    0.1229536588E+00
    0.1100000000E+03    0.1224544368E-01    0.1442687402E+00
    0.1300000000E+03    0.1414895080E-01    0.1639590905E+00
    0.1500000000E+03    0.1598662552E-01    0.1822088399E+00
    0.1700000000E+03    0.1776707485E-01    0.1991749454E+00
    0.1900000000E+03    0.1949746761E-01    0.2149920421E+00
    0.2100000000E+03    0.2118380527E-01    0.2297762915E+00
    0.2300000000E+03    0.2283113603E-01    0.2436284615E+00
    0.2500000000E+03    0.2444372525E-01    0.2566364095E+00
    0.2700000000E+03    0.2602519204E-01    0.2688770994E+00
    0.2900000000E+03    0.2757861944E-01    0.2804182521E+00
    0.3100000000E+03    0.2910664377E-01    0.2913197039E+00
    0.3300000000E+03    0.3061152750E-01    0.3016345317E+00
    0.3500000000E+03    0.3209521901E-01    0.3114099900E+00
    0.3700000000E+03    0.3355940176E-01    0.3206882965E+00
    0.3900000000E+03    0.3500553501E-01    0.3295072926E+00
    0.4100000000E+03    0.3643488766E-01    0.3379010023E+00
    0.4300000000E+03    0.3784856640E-01    0.3459001077E+00
    0.4500000000E+03    0.3924753938E-01    0.3535323538E+00
    0.4700000000E+03    0.4063265603E-01    0.3608228966E+00
    0.4900000000E+03    0.4200466379E-01    0.3677946015E+00
    0.1000000000E+03    0.1126583696E-01    0.1338270185E+00
    0.3000000000E+03    0.2834565758E-01    0.2859454767E+00
    0.5000000000E+03    0.4268596105E-01    0.3711674731E+00
    0.7000000000E+03    0.5574863852E-01    0.4260781237E+00
    0.9000000000E+03    0.6793163326E-01    0.4645198070E+00
