     Pressure (Pa)     33mC5-400 (mol/kg)     23mC5-400 (mol/kg)
    0.1000000000E+01    0.9144238238E-03    0.5603317415E-03
    0.3000000000E+01    0.2733071962E-02    0.1675237939E-02
    0.5000000000E+01    0.4538251177E-02    0.2782548167E-02
    0.7000000000E+01    0.6330115780E-02    0.3882357468E-02
    0.9000000000E+01    0.8108817618E-02    0.4974759256E-02
    0.1100000000E+02    0.9874506130E-02    0.6059845351E-02
    0.1300000000E+02    0.1162732839E-01    0.7137706016E-02
    0.1500000000E+02    0.1336742916E-01    0.8208429987E-02
    0.1700000000E+02    0.1509495093E-01    0.9272104505E-02
    0.1900000000E+02    0.1681003397E-01    0.1032881535E-01
    0.2100000000E+02    0.1851281639E-01    0.1137864688E-01
    0.2300000000E+02    0.2020343414E-01    0.1242168203E-01
    0.2500000000E+02    0.2188202109E-01    0.1345800238E-01
    0.2700000000E+02    0.2354870907E-01    0.1448768817E-01
    0.2900000000E+02    0.2520362790E-01    0.1551081830E-01
    0.3100000000E+02    0.2684690541E-01    0.1652747040E-01
    0.3300000000E+02    0.2847866753E-01    0.1753772084E-01
    0.3500000000E+02    0.3009903827E-01    0.1854164475E-01
    0.3700000000E+02    0.3170813980E-01    0.1953931603E-01
    0.3900000000E+02    0.3330609247E-01    0.2053080742E-01
    0.4100000000E+02    0.3489301484E-01    0.2151619047E-01
    0.4300000000E+02    0.3646902370E-01    0.2249553562E-01
    0.4500000000E+02    0.3803423417E-01    0.2346891217E-01
    0.4700000000E+02    0.3958875963E-01    0.2443638832E-01
    0.4900000000E+02    0.4113271184E-01    0.2539803122E-01
    0.1000000000E+02    0.8993279293E-02    0.5518211088E-02
    0.3000000000E+02    0.2602671390E-01    0.1601994930E-01
    0.5000000000E+02    0.4190075746E-01    0.2587668589E-01
    0.7000000000E+02    0.5673263286E-01    0.3515912709E-01
    0.9000000000E+02    0.7062367870E-01    0.4392768503E-01
    0.1100000000E+03    0.8366203044E-01    0.5223429691E-01
    0.1300000000E+03    0.9592476567E-01    0.6012387100E-01
    0.1500000000E+03    0.1074796359E+00    0.6763544583E-01
    0.1700000000E+03    0.1183864759E+00    0.7480312691E-01
    0.1900000000E+03    0.1286983602E+00    0.8165684913E-01
    0.2100000000E+03    0.1384625577E+00    0.8822300161E-01
    0.2300000000E+03    0.1477213259E+00    0.9452494320E-01
    0.2500000000E+03    0.1565125758E+00    0.1005834302E+00
    0.2700000000E+03    0.1648704308E+00    0.1064169736E+00
    0.2900000000E+03    0.1728257001E+00    0.1120421384E+00
    0.3100000000E+03    0.1804062814E+00    0.1174737962E+00
    0.3300000000E+03    0.1876375050E+00    0.1227253399E+00
