     Pressure (Pa)     33mC5-400 (mol/kg)     23mC5-400 (mol/kg)
    0.1000000000E+01    0.3919034610E-03    0.1306678585E-02
    0.3000000000E+01    0.1171392599E-02    0.3902079269E-02
    0.5000000000E+01    0.1945198412E-02    0.6473835070E-02
    0.7000000000E+01    0.2713407724E-02    0.9022296240E-02
    0.9000000000E+01    0.3476105521E-02    0.1154780603E-01
    0.1100000000E+02    0.4233375002E-02    0.1405070087E-01
    0.1300000000E+02    0.4985297626E-02    0.1653131051E-01
    0.1500000000E+02    0.5731953153E-02    0.1898995824E-01
    0.1700000000E+02    0.6473419691E-02    0.2142696097E-01
    0.1900000000E+02    0.7209773735E-02    0.2384262946E-01
    0.2100000000E+02    0.7941090209E-02    0.2623726843E-01
    0.2300000000E+02    0.8667442506E-02    0.2861117670E-01
    0.2500000000E+02    0.9388902526E-02    0.3096464735E-01
    0.2700000000E+02    0.1010554071E-01    0.3329796784E-01
    0.2900000000E+02    0.1081742609E-01    0.3561142018E-01
    0.3100000000E+02    0.1152462629E-01    0.3790528101E-01
    0.3300000000E+02    0.1222720762E-01    0.4017982174E-01
    0.3500000000E+02    0.1292523503E-01    0.4243530872E-01
    0.3700000000E+02    0.1361877222E-01    0.4467200327E-01
    0.3900000000E+02    0.1430788161E-01    0.4689016188E-01
    0.4100000000E+02    0.1499262441E-01    0.4909003629E-01
    0.4300000000E+02    0.1567306064E-01    0.5127187357E-01
    0.4500000000E+02    0.1634924914E-01    0.5343591627E-01
    0.4700000000E+02    0.1702124763E-01    0.5558240251E-01
    0.4900000000E+02    0.1768911269E-01    0.5771156608E-01
    0.1000000000E+02    0.3855413670E-02    0.1280205955E-01
    0.3000000000E+02    0.1117160766E-01    0.3676078245E-01
    0.5000000000E+02    0.1802151258E-01    0.5876972376E-01
    0.7000000000E+02    0.2446549762E-01    0.7907729186E-01
    0.9000000000E+02    0.3055335163E-01    0.9789055735E-01
    0.1100000000E+03    0.3632648744E-01    0.1153835084E+00
    0.1300000000E+03    0.4181962460E-01    0.1317034119E+00
    0.1500000000E+03    0.4706208740E-01    0.1469757673E+00
    0.1700000000E+03    0.5207881592E-01    0.1613082009E+00
    0.1900000000E+03    0.5689116064E-01    0.1747935560E+00
    0.2100000000E+03    0.6151751215E-01    0.1875123645E+00
    0.2300000000E+03    0.6597380411E-01    0.1995348400E+00
    0.2500000000E+03    0.7027391801E-01    0.2109224958E+00
