     Pressure (Pa)     33mC5-400 (mol/kg)     23mC5-400 (mol/kg)
    0.1000000000E+01    0.2612702805E-03    0.1493129244E-02
    0.3000000000E+01    0.7809424241E-03    0.4457574856E-02
    0.5000000000E+01    0.1296844090E-02    0.7393309155E-02
    0.7000000000E+01    0.1809038904E-02    0.1030077109E-01
    0.9000000000E+01    0.2317589074E-02    0.1318039062E-01
    0.1100000000E+02    0.2822555431E-02    0.1603258888E-01
    0.1300000000E+02    0.3323997462E-02    0.1885777848E-01
    0.1500000000E+02    0.3821973350E-02    0.2165636368E-01
    0.1700000000E+02    0.4316540002E-02    0.2442874059E-01
    0.1900000000E+02    0.4807753090E-02    0.2717529740E-01
    0.2100000000E+02    0.5295667076E-02    0.2989641456E-01
    0.2300000000E+02    0.5780335249E-02    0.3259246498E-01
    0.2500000000E+02    0.6261809750E-02    0.3526381422E-01
    0.2700000000E+02    0.6740141607E-02    0.3791082063E-01
    0.2900000000E+02    0.7215380759E-02    0.4053383559E-01
    0.3100000000E+02    0.7687576088E-02    0.4313320363E-01
    0.3300000000E+02    0.8156775439E-02    0.4570926262E-01
    0.3500000000E+02    0.8623025655E-02    0.4826234391E-01
    0.3700000000E+02    0.9086372596E-02    0.5079277251E-01
    0.3900000000E+02    0.9546861165E-02    0.5330086722E-01
    0.4100000000E+02    0.1000453533E-01    0.5578694079E-01
    0.4300000000E+02    0.1045943816E-01    0.5825130005E-01
    0.4500000000E+02    0.1091161182E-01    0.6069424607E-01
    0.4700000000E+02    0.1136109763E-01    0.6311607428E-01
    0.4900000000E+02    0.1180793604E-01    0.6551707458E-01
    0.1000000000E+02    0.2570516480E-02    0.1460989142E-01
    0.3000000000E+02    0.7451855887E-02    0.4183645421E-01
    0.5000000000E+02    0.1203037490E-01    0.6670985340E-01
    0.7000000000E+02    0.1634941470E-01    0.8953865208E-01
    0.9000000000E+02    0.2044428923E-01    0.1105789143E+00
    0.1100000000E+03    0.2434400753E-01    0.1300449146E+00
    0.1300000000E+03    0.2807258034E-01    0.1481173381E+00
    0.1500000000E+03    0.3165002189E-01    0.1649496301E+00
    0.1700000000E+03    0.3509312555E-01    0.1806729618E+00
    0.1900000000E+03    0.3841606990E-01    0.1954001503E+00
    0.2100000000E+03    0.4163089614E-01    0.2092287812E+00
    0.2300000000E+03    0.4474788726E-01    0.2222437147E+00
    0.2500000000E+03    0.4777587129E-01    0.2345191141E+00
    0.2700000000E+03    0.5072246547E-01    0.2461200970E+00
    0.2900000000E+03    0.5359427414E-01    0.2571040903E+00
    0.3100000000E+03    0.5639705007E-01    0.2675219482E+00
    0.3300000000E+03    0.5913582674E-01    0.2774188802E+00
    0.3500000000E+03    0.6181502727E-01    0.2868352254E+00
    0.3700000000E+03    0.6443855480E-01    0.2958071024E+00
    0.3900000000E+03    0.6700986755E-01    0.3043669576E+00
    0.4100000000E+03    0.6953204163E-01    0.3125440294E+00
    0.4300000000E+03    0.7200782381E-01    0.3203647428E+00
    0.4500000000E+03    0.7443967591E-01    0.3278530479E+00
    0.4700000000E+03    0.7682981241E-01    0.3350307088E+00
    0.4900000000E+03    0.7918023239E-01    0.3419175537E+00
    0.1000000000E+03    0.2241693810E-01    0.1204966993E+00
    0.3000000000E+03    0.5500396113E-01    0.2623808380E+00
    0.5000000000E+03    0.8034112128E-01    0.3452576409E+00
    0.7000000000E+03    0.1018359511E+00    0.4004533619E+00
    0.9000000000E+03    0.1206943362E+00    0.4401170953E+00
    0.1100000000E+04    0.1375094019E+00    0.4700776253E+00
    0.1300000000E+04    0.1526466098E+00    0.4935293159E+00
    0.1500000000E+04    0.1663645837E+00    0.5123877678E+00
    0.1700000000E+04    0.1788614234E+00    0.5278785919E+00
    0.1900000000E+04    0.1902958449E+00    0.5408252055E+00
    0.2100000000E+04    0.2007984443E+00    0.5518024155E+00
    0.2300000000E+04    0.2104785208E+00    0.5612240969E+00
    0.2500000000E+04    0.2194286328E+00    0.5693959899E+00
    0.2700000000E+04    0.2277278587E+00    0.5765488976E+00
    0.2900000000E+04    0.2354442417E+00    0.5828603219E+00
    0.3100000000E+04    0.2426366828E+00    0.5884689972E+00
    0.3300000000E+04    0.2493564391E+00    0.5934849088E+00
    0.3500000000E+04    0.2556483280E+00    0.5979963564E+00
    0.3700000000E+04    0.2615517071E+00    0.6020750329E+00
    0.3900000000E+04    0.2671012782E+00    0.6057797415E+00
    0.4100000000E+04    0.2723277540E+00    0.6091591578E+00
