     Pressure (Pa)     2mC6-400 (mol/kg)     33mC5-400 (mol/kg)     23mC5-400 (mol/kg)     C7-400 (mol/kg)
    0.1000000000E+01    0.4745657386E-02    0.1932106123E-03    0.6510683922E-03    0.6806540532E-02
    0.3000000000E+01    0.1379860334E-01    0.5618814499E-03    0.1931040964E-02    0.1979464942E-01
    0.5000000000E+01    0.2231114394E-01    0.9086722407E-03    0.3182545069E-02    0.3201466494E-01
    0.7000000000E+01    0.3033061533E-01    0.1235501525E-02    0.4406812680E-02    0.4353641946E-01
    0.9000000000E+01    0.3789884006E-01    0.1544064050E-02    0.5605002682E-02    0.5442142660E-01
    0.1100000000E+02    0.4505291999E-01    0.1835862986E-02    0.6778206298E-02    0.6472408894E-01
    0.1300000000E+02    0.5182589497E-01    0.2112236699E-02    0.7927452031E-02    0.7449270097E-01
    0.1500000000E+02    0.5824729338E-01    0.2374381105E-02    0.9053710184E-02    0.8377028663E-01
    0.1700000000E+02    0.6434359455E-01    0.2623368459E-02    0.1015789698E-01    0.9259530255E-01
    0.1900000000E+02    0.7013861929E-01    0.2860163211E-02    0.1124087835E-01    0.1010022313E+00
    0.2100000000E+02    0.7565386137E-01    0.3085635462E-02    0.1230347337E-01    0.1090220845E+00
    0.2300000000E+02    0.8090876993E-01    0.3300572435E-02    0.1334645749E-01    0.1166828311E+00
    0.2500000000E+02    0.8592099145E-01    0.3505688291E-02    0.1437056540E-01    0.1240097636E+00
    0.2700000000E+02    0.9070657766E-01    0.3701632566E-02    0.1537649374E-01    0.1310258127E+00
    0.2900000000E+02    0.9528016501E-01    0.3888997458E-02    0.1636490360E-01    0.1377518181E+00
    0.3100000000E+02    0.9965513019E-01    0.4068324129E-02    0.1733642276E-01    0.1442067633E+00
    0.3300000000E+02    0.1038437253E+00    0.4240108193E-02    0.1829164781E-01    0.1504079791E+00
    0.3500000000E+02    0.1078571957E+00    0.4404804496E-02    0.1923114614E-01    0.1563713205E+00
    0.3700000000E+02    0.1117058834E+00    0.4562831301E-02    0.2015545768E-01    0.1621113220E+00
    0.3900000000E+02    0.1153993175E+00    0.4714573960E-02    0.2106509661E-01    0.1676413330E+00
    0.4100000000E+02    0.1189462939E+00    0.4860388152E-02    0.2196055290E-01    0.1729736371E+00
    0.4300000000E+02    0.1223549459E+00    0.5000602732E-02    0.2284229374E-01    0.1781195573E+00
    0.4500000000E+02    0.1256328065E+00    0.5135522262E-02    0.2371076487E-01    0.1830895489E+00
    0.4700000000E+02    0.1287868639E+00    0.5265429253E-02    0.2456639186E-01    0.1878932815E+00
    0.4900000000E+02    0.1318236103E+00    0.5390586158E-02    0.2540958120E-01    0.1925397121E+00
    0.1000000000E+02    0.4152549486E-01    0.1691971737E-02    0.6194662091E-02    0.5964239984E-01
    0.3000000000E+02    0.9749168472E-01    0.3979633587E-02    0.1685273652E-01    0.1410120535E+00
    0.5000000000E+02    0.1332998961E+00    0.5451460303E-02    0.2582663385E-01    0.1948065596E+00
