     Pressure (Pa)     2mC6-400 (mol/kg)     33mC5-400 (mol/kg)     23mC5-400 (mol/kg)     C7-400 (mol/kg)
    0.1000000000E+01    0.4773589569E-02    0.3238878237E-03    0.7438835630E-03    0.1714103228E-02
    0.3000000000E+01    0.1403684180E-01    0.9524136180E-03    0.2205204439E-02    0.5055401796E-02
    0.5000000000E+01    0.2293923536E-01    0.1556473746E-02    0.3632610957E-02    0.8286105899E-02
    0.7000000000E+01    0.3150066621E-01    0.2137417173E-02    0.5027631156E-02    0.1141214938E-01
    0.9000000000E+01    0.3973960446E-01    0.2696496178E-02    0.6391698818E-02    0.1443904041E-01
    0.1100000000E+02    0.4767321968E-01    0.3234874852E-02    0.7726160738E-02    0.1737189930E-01
    0.1300000000E+02    0.5531749306E-01    0.3753636701E-02    0.9032283319E-02    0.2021549228E-01
    0.1500000000E+02    0.6268731829E-01    0.4253791495E-02    0.1031125858E-01    0.2297426183E-01
    0.1700000000E+02    0.6979659231E-01    0.4736281411E-02    0.1156420961E-01    0.2565235393E-01
    0.1900000000E+02    0.7665829707E-01    0.5201986589E-02    0.1279219559E-01    0.2825364258E-01
    0.2100000000E+02    0.8328457343E-01    0.5651730136E-02    0.1399621633E-01    0.3078175195E-01
    0.2300000000E+02    0.8968678802E-01    0.6086282666E-02    0.1517721642E-01    0.3324007633E-01
    0.2500000000E+02    0.9587559382E-01    0.6506366398E-02    0.1633608909E-01    0.3563179827E-01
    0.2700000000E+02    0.1018609851E+00    0.6912658895E-02    0.1747367971E-01    0.3795990495E-01
    0.2900000000E+02    0.1076523474E+00    0.7305796445E-02    0.1859078899E-01    0.4022720311E-01
    0.3100000000E+02    0.1132585031E+00    0.7686377151E-02    0.1968817596E-01    0.4243633256E-01
    0.3300000000E+02    0.1186877529E+00    0.8054963740E-02    0.2076656068E-01    0.4458977855E-01
    0.3500000000E+02    0.1239479135E+00    0.8412086137E-02    0.2182662678E-01    0.4668988303E-01
    0.3700000000E+02    0.1290463526E+00    0.8758243807E-02    0.2286902374E-01    0.4873885489E-01
    0.3900000000E+02    0.1339900201E+00    0.9093907909E-02    0.2389436907E-01    0.5073877943E-01
    0.4100000000E+02    0.1387854776E+00    0.9419523263E-02    0.2490325030E-01    0.5269162692E-01
    0.4300000000E+02    0.1434389249E+00    0.9735510159E-02    0.2589622676E-01    0.5459926054E-01
    0.4500000000E+02    0.1479562245E+00    0.1004226602E-01    0.2687383133E-01    0.5646344360E-01
    0.4700000000E+02    0.1523429241E+00    0.1034016693E-01    0.2783657202E-01    0.5828584625E-01
    0.4900000000E+02    0.1566042774E+00    0.1062956904E-01    0.2878493339E-01    0.6006805159E-01
    0.1000000000E+02    0.4374355201E-01    0.2968203532E-02    0.7062549534E-02    0.1591691806E-01
    0.3000000000E+02    0.1104780455E+00    0.7497620435E-02    0.1914190188E-01    0.4133888011E-01
    0.5000000000E+02    0.1586895153E+00    0.1077118921E-01    0.2925386720E-01    0.6094455259E-01
    0.7000000000E+02    0.1948946788E+00    0.1323069144E-01    0.3797961024E-01    0.7669104048E-01
    0.9000000000E+02    0.2228939811E+00    0.1513375393E-01    0.4568372926E-01    0.8973076195E-01
    0.1100000000E+03    0.2450498965E+00    0.1664052048E-01    0.5260778901E-01    0.1007890568E+00
    0.1300000000E+03    0.2629062127E+00    0.1785563752E-01    0.5891894684E-01    0.1103467806E+00
    0.1500000000E+03    0.2775131023E+00    0.1885029167E-01    0.6473704409E-01    0.1187362591E+00
    0.1700000000E+03    0.2896089701E+00    0.1967453704E-01    0.7015056745E-01    0.1261951442E+00
    0.1900000000E+03    0.2997275913E+00    0.2036455772E-01    0.7522649724E-01    0.1328983013E+00
    0.2100000000E+03    0.3082640141E+00    0.2094713491E-01    0.8001662430E-01    0.1389775479E+00
