     Pressure (Pa)     2mC6-400 (mol/kg)     33mC5-400 (mol/kg)     23mC5-400 (mol/kg)     C7-400 (mol/kg)
    0.1000000000E+01    0.1585449917E-02    0.6455000224E-04    0.1118941268E-02    0.8520670943E-02
    0.3000000000E+01    0.4629934340E-02    0.1885438890E-03    0.3335165457E-02    0.2484788769E-01
    0.5000000000E+01    0.7517217341E-02    0.3061895424E-03    0.5523083667E-02    0.4028899013E-01
    0.7000000000E+01    0.1025962633E-01    0.4179862373E-03    0.7683362640E-02    0.5491571326E-01
    0.9000000000E+01    0.1286818604E-01    0.5243803373E-03    0.9816647708E-02    0.6879221294E-01
    0.1100000000E+02    0.1535278793E-01    0.6257721874E-03    0.1192356365E-01    0.8197604251E-01
    0.1300000000E+02    0.1772233381E-01    0.7225219568E-03    0.1400471550E-01    0.9451898224E-01
    0.1500000000E+02    0.1998485811E-01    0.8149546121E-03    0.1606068933E-01    0.1064677467E+00
    0.1700000000E+02    0.2214763245E-01    0.9033641695E-03    0.1809205301E-01    0.1178645903E+00
    0.1900000000E+02    0.2421725537E-01    0.9880173440E-03    0.2009935685E-01    0.1287478288E+00
    0.2100000000E+02    0.2619972971E-01    0.1069156693E-02    0.2208313437E-01    0.1391522881E+00
    0.2300000000E+02    0.2810052943E-01    0.1147003333E-02    0.2404390284E-01    0.1491096936E+00
    0.2500000000E+02    0.2992465769E-01    0.1221759300E-02    0.2598216397E-01    0.1586490089E+00
    0.2700000000E+02    0.3167669734E-01    0.1293609599E-02    0.2789840447E-01    0.1677967303E+00
    0.2900000000E+02    0.3336085504E-01    0.1362724000E-02    0.2979309659E-01    0.1765771448E+00
    0.3100000000E+02    0.3498099991E-01    0.1429258600E-02    0.3166669869E-01    0.1850125561E+00
    0.3300000000E+02    0.3654069749E-01    0.1493357211E-02    0.3351965571E-01    0.1931234838E+00
    0.3500000000E+02    0.3804323962E-01    0.1555152563E-02    0.3535239971E-01    0.2009288385E+00
    0.3700000000E+02    0.3949167085E-01    0.1614767386E-02    0.3716535030E-01    0.2084460771E+00
    0.3900000000E+02    0.4088881186E-01    0.1672315351E-02    0.3895891508E-01    0.2156913402E+00
    0.4100000000E+02    0.4223728016E-01    0.1727901914E-02    0.4073349009E-01    0.2226795744E+00
    0.4300000000E+02    0.4353950863E-01    0.1781625068E-02    0.4248946024E-01    0.2294246407E+00
    0.4500000000E+02    0.4479776190E-01    0.1833576008E-02    0.4422719965E-01    0.2359394120E+00
    0.4700000000E+02    0.4601415117E-01    0.1883839726E-02    0.4594707206E-01    0.2422358598E+00
    0.4900000000E+02    0.4719064731E-01    0.1932495549E-02    0.4764943119E-01    0.2483251318E+00
    0.1000000000E+02    0.1412540369E-01    0.5756781535E-03    0.1087336355E-01    0.7546734875E-01
    0.3000000000E+02    0.3417869948E-01    0.1396304514E-02    0.3073250577E-01    0.1808366537E+00
    0.5000000000E+02    0.4776451593E-01    0.1956243859E-02    0.4849415115E-01    0.2512953527E+00
    0.7000000000E+02    0.5753705112E-01    0.2362464244E-02    0.6454810412E-01    0.3020074990E+00
    0.9000000000E+02    0.6483483611E-01    0.2668784322E-02    0.7919005479E-01    0.3404240962E+00
    0.1100000000E+03    0.7041863524E-01    0.2905746898E-02    0.9264852275E-01    0.3706425842E+00
    0.1300000000E+03    0.7475914578E-01    0.3092236647E-02    0.1051030360E+00    0.3951074712E+00
    0.1500000000E+03    0.7816642602E-01    0.3240693967E-02    0.1166966997E+00    0.4153701772E+00
    0.1700000000E+03    0.8085468400E-01    0.3359719231E-02    0.1275450762E+00    0.4324643709E+00
    0.1900000000E+03    0.8297750945E-01    0.3455486315E-02    0.1377425809E+00    0.4471063283E+00
    0.2100000000E+03    0.8464833759E-01    0.3532562374E-02    0.1473671693E+00    0.4598087182E+00
    0.2300000000E+03    0.8595298765E-01    0.3594409534E-02    0.1564838257E+00    0.4709485798E+00
    0.2500000000E+03    0.8695769078E-01    0.3643705834E-02    0.1651471972E+00    0.4808096863E+00
    0.2700000000E+03    0.8771442201E-01    0.3682558282E-02    0.1734036070E+00    0.4896099101E+00
    0.2900000000E+03    0.8826455264E-01    0.3712648754E-02    0.1812926134E+00    0.4975194491E+00
    0.3100000000E+03    0.8864141905E-01    0.3735336617E-02    0.1888482278E+00    0.5046732973E+00
    0.3300000000E+03    0.8887217062E-01    0.3751732559E-02    0.1960998783E+00    0.5111799776E+00
    0.3500000000E+03    0.8897912553E-01    0.3762752795E-02    0.2030731766E+00    0.5171277860E+00
    0.3700000000E+03    0.8898078262E-01    0.3769159530E-02    0.2097905352E+00    0.5225893387E+00
    0.3900000000E+03    0.8889258824E-01    0.3771591662E-02    0.2162716681E+00    0.5276249391E+00
    0.4100000000E+03    0.8872752512E-01    0.3770588369E-02    0.2225339983E+00    0.5322851078E+00
    0.4300000000E+03    0.8849657017E-01    0.3766607472E-02    0.2285929943E+00    0.5366125105E+00
    0.4500000000E+03    0.8820905416E-01    0.3760039875E-02    0.2344624471E+00    0.5406434434E+00
    0.4700000000E+03    0.8787294714E-01    0.3751221039E-02    0.2401547020E+00    0.5444089929E+00
    0.4900000000E+03    0.8749508695E-01    0.3740440178E-02    0.2456808517E+00    0.5479359483E+00
    0.1000000000E+03    0.6780673126E-01    0.2794560954E-02    0.8605502439E-01    0.3563781511E+00
    0.3000000000E+03    0.8847281989E-01    0.3724843479E-02    0.1851101577E+00    0.5011835144E+00
    0.5000000000E+03    0.8729237277E-01    0.3734393581E-02    0.2483848018E+00    0.5496173317E+00
    0.7000000000E+03    0.8211336058E-01    0.3556318307E-02    0.2957247332E+00    0.5750064052E+00
    0.9000000000E+03    0.7624601210E-01    0.3333978690E-02    0.3336557107E+00    0.5909966216E+00
    0.1100000000E+04    0.7058773006E-01    0.3109642545E-02    0.3651619709E+00    0.6021433950E+00
    0.1300000000E+04    0.6539659919E-01    0.2897524931E-02    0.3919054836E+00    0.6104335049E+00
    0.1500000000E+04    0.6072391493E-01    0.2702143256E-02    0.4149389089E+00    0.6168826320E+00
    0.1700000000E+04    0.5654874365E-01    0.2524260379E-02    0.4349891537E+00    0.6220683658E+00
    0.1900000000E+04    0.5282607464E-01    0.2363129535E-02    0.4525885762E+00    0.6263453751E+00
    0.2100000000E+04    0.4950540431E-01    0.2217429017E-02    0.4681432179E+00    0.6299444758E+00
    0.2300000000E+04    0.4653803088E-01    0.2085673557E-02    0.4819717899E+00    0.6330228886E+00
    0.2500000000E+04    0.4387972511E-01    0.1966398215E-02    0.4943297298E+00    0.6356917134E+00
    0.2700000000E+04    0.4149143850E-01    0.1858237522E-02    0.5054250011E+00    0.6380318727E+00
    0.2900000000E+04    0.3933918198E-01    0.1759954731E-02    0.5154289985E+00    0.6401038235E+00
    0.3100000000E+04    0.3739357815E-01    0.1670447090E-02    0.5244843793E+00    0.6419537189E+00
    0.3300000000E+04    0.3562931399E-01    0.1588739887E-02    0.5327108618E+00    0.6436174542E+00
    0.3500000000E+04    0.3402459550E-01    0.1513975667E-02    0.5402096253E+00    0.6451234017E+00
    0.3700000000E+04    0.3256064649E-01    0.1445401862E-02    0.5470667112E+00    0.6464943092E+00
    0.3900000000E+04    0.3122126605E-01    0.1382358452E-02    0.5533556955E+00    0.6477486455E+00
    0.4100000000E+04    0.2999244624E-01    0.1324266431E-02    0.5591398118E+00    0.6489015751E+00
    0.4300000000E+04    0.2886204572E-01    0.1270617371E-02    0.5644736582E+00    0.6499656752E+00
    0.4500000000E+04    0.2781951323E-01    0.1220964192E-02    0.5694045801E+00    0.6509514726E+00
    0.4700000000E+04    0.2685565389E-01    0.1174913075E-02    0.5739737995E+00    0.6518678508E+00
    0.4900000000E+04    0.2596243221E-01    0.1132116450E-02    0.5782173430E+00    0.6527223633E+00
    0.1000000000E+04    0.7336708778E-01    0.3220828499E-02    0.3500886781E+00    0.5970183102E+00
    0.3000000000E+04    0.3834221926E-01    0.1714167824E-02    0.5200673031E+00    0.6410540813E+00
    0.5000000000E+04    0.2554007498E-01    0.1111841092E-02    0.5802270159E+00    0.6531284777E+00
    0.7000000000E+04    0.1948595707E-01    0.8189220344E-03    0.6092465007E+00    0.6591743815E+00
    0.9000000000E+04    0.1604388760E-01    0.6514855360E-03    0.6258586675E+00    0.6629162708E+00
    0.1100000000E+05    0.1383631636E-01    0.5446786128E-03    0.6364675928E+00    0.6655058750E+00
    0.1300000000E+05    0.1229855285E-01    0.4710855679E-03    0.6437712412E+00    0.6674268740E+00
    0.1500000000E+05    0.1116196644E-01    0.4174316761E-03    0.6490805295E+00    0.6689210975E+00
    0.1700000000E+05    0.1028400313E-01    0.3766025518E-03    0.6531017746E+00    0.6701241200E+00
    0.1900000000E+05    0.9582461664E-02    0.3444762286E-03    0.6562464511E+00    0.6711183946E+00
    0.2100000000E+05    0.9006758774E-02    0.3185130777E-03    0.6587693426E+00    0.6719572260E+00
    0.2300000000E+05    0.8524102515E-02    0.2970688046E-03    0.6608361119E+00    0.6726767543E+00
    0.2500000000E+05    0.8112308920E-02    0.2790344579E-03    0.6625588721E+00    0.6733024357E+00
    0.2700000000E+05    0.7755828826E-02    0.2636361719E-03    0.6640160680E+00    0.6738527710E+00
    0.2900000000E+05    0.7443432724E-02    0.2503180624E-03    0.6652641559E+00    0.6743415624E+00
    0.3100000000E+05    0.7166801036E-02    0.2386707899E-03    0.6663447597E+00    0.6747793378E+00
    0.3300000000E+05    0.6919632816E-02    0.2283863698E-03    0.6672892154E+00    0.6751742820E+00
    0.3500000000E+05    0.6697063577E-02    0.2192286739E-03    0.6681215484E+00    0.6755328646E+00
    0.3700000000E+05    0.6495274092E-02    0.2110136359E-03    0.6688604778E+00    0.6758602740E+00
