     Pressure (Pa)     2mC6-400 (mol/kg)     33mC5-400 (mol/kg)     23mC5-400 (mol/kg)     C7-400 (mol/kg)
    0.1000000000E+01    0.2389606186E-02    0.7134165071E-03    0.3728624451E-03    0.3427903333E-02
    0.3000000000E+01    0.7042947770E-02    0.2102845080E-02    0.1110683898E-02    0.1010801909E-01
    0.5000000000E+01    0.1153569056E-01    0.3444550940E-02    0.1838209137E-02    0.1656434009E-01
    0.7000000000E+01    0.1587598315E-01    0.4740957289E-02    0.2555718573E-02    0.2280863650E-01
    0.9000000000E+01    0.2007141972E-01    0.5994322262E-02    0.3263482087E-02    0.2885185585E-01
    0.1100000000E+02    0.2412908714E-01    0.7206752973E-02    0.3961759524E-02    0.3470419397E-01
    0.1300000000E+02    0.2805560736E-01    0.8380218140E-02    0.4650801162E-02    0.4037515874E-01
    0.1500000000E+02    0.3185717552E-01    0.9516559444E-02    0.5330848159E-02    0.4587362741E-01
    0.1700000000E+02    0.3553959438E-01    0.1061750179E-01    0.6002132969E-02    0.5120789830E-01
    0.1900000000E+02    0.3910830541E-01    0.1168466256E-01    0.6664879739E-02    0.5638573750E-01
    0.2100000000E+02    0.4256841695E-01    0.1271956000E-01    0.7319304682E-02    0.6141442102E-01
    0.2300000000E+02    0.4592472973E-01    0.1372362087E-01    0.7965616431E-02    0.6630077314E-01
    0.2500000000E+02    0.4918176010E-01    0.1469818727E-01    0.8604016376E-02    0.7105120107E-01
    0.2700000000E+02    0.5234376108E-01    0.1564452299E-01    0.9234698978E-02    0.7567172652E-01
    0.2900000000E+02    0.5541474165E-01    0.1656381923E-01    0.9857852072E-02    0.8016801444E-01
    0.3100000000E+02    0.5839848427E-01    0.1745719980E-01    0.1047365715E-01    0.8454539923E-01
    0.3300000000E+02    0.6129856095E-01    0.1832572592E-01    0.1108228963E-01    0.8880890860E-01
    0.3500000000E+02    0.6411834786E-01    0.1917040058E-01    0.1168391913E-01    0.9296328550E-01
    0.3700000000E+02    0.6686103890E-01    0.1999217256E-01    0.1227870967E-01    0.9701300806E-01
    0.3900000000E+02    0.6952965793E-01    0.2079194007E-01    0.1286681995E-01    0.1009623080E+00
    0.4100000000E+02    0.7212707021E-01    0.2157055418E-01    0.1344840354E-01    0.1048151874E+00
    0.4300000000E+02    0.7465599277E-01    0.2232882189E-01    0.1402360909E-01    0.1085754342E+00
    0.4500000000E+02    0.7711900407E-01    0.2306750898E-01    0.1459258056E-01    0.1122466366E+00
    0.4700000000E+02    0.7951855285E-01    0.2378734269E-01    0.1515545737E-01    0.1158321957E+00
    0.4900000000E+02    0.8185696631E-01    0.2448901413E-01    0.1571237459E-01    0.1193353382E+00
    0.1000000000E+02    0.2211705027E-01    0.6605528251E-02    0.3613790704E-02    0.3180127540E-01
    0.3000000000E+02    0.5691728970E-01    0.1701368123E-01    0.1016666201E-01    0.8237124857E-01
    0.5000000000E+02    0.8300394319E-01    0.2483324565E-01    0.1598863942E-01    0.1210569664E+00
    0.7000000000E+02    0.1032181564E+00    0.3090815432E-01    0.2123087804E-01    0.1518302734E+00
    0.9000000000E+02    0.1192771599E+00    0.3574826203E-01    0.2600394949E-01    0.1770484373E+00
    0.1100000000E+03    0.1322845851E+00    0.3968114710E-01    0.3039079180E-01    0.1982024629E+00
    0.1300000000E+03    0.1429841674E+00    0.4292752876E-01    0.3445496562E-01    0.2162837296E+00
    0.1500000000E+03    0.1518963849E+00    0.4564186260E-01    0.3824609563E-01    0.2319784951E+00
    0.1700000000E+03    0.1593968512E+00    0.4793561967E-01    0.4180356112E-01    0.2457778244E+00
    0.1900000000E+03    0.1657636488E+00    0.4989133736E-01    0.4515906242E-01    0.2580430161E+00
    0.2100000000E+03    0.1712071441E+00    0.5157146658E-01    0.4833844538E-01    0.2690462554E+00
    0.2300000000E+03    0.1758894432E+00    0.5302414395E-01    0.5136302391E-01    0.2789968120E+00
    0.2500000000E+03    0.1799374778E+00    0.5428707327E-01    0.5425055557E-01    0.2880584588E+00
    0.2700000000E+03    0.1834520393E+00    0.5539020461E-01    0.5701597261E-01    0.2963613723E+00
    0.2900000000E+03    0.1865141571E+00    0.5635762591E-01    0.5967193757E-01    0.3040104585E+00
    0.3100000000E+03    0.1891896935E+00    0.5720892541E-01    0.6222927100E-01    0.3110913016E+00
    0.3300000000E+03    0.1915327131E+00    0.5796019064E-01    0.6469728463E-01    0.3176744951E+00
    0.3500000000E+03    0.1935879911E+00    0.5862475235E-01    0.6708404373E-01    0.3238188471E+00
    0.3700000000E+03    0.1953929095E+00    0.5921374653E-01    0.6939657567E-01    0.3295737899E+00
    0.3900000000E+03    0.1969789067E+00    0.5973654450E-01    0.7164103740E-01    0.3349812164E+00
    0.4100000000E+03    0.1983726001E+00    0.6020108582E-01    0.7382285083E-01    0.3400768953E+00
    0.4300000000E+03    0.1995966646E+00    0.6061413870E-01    0.7594681343E-01    0.3448915772E+00
    0.4500000000E+03    0.2006705262E+00    0.6098150584E-01    0.7801718895E-01    0.3494518654E+00
    0.4700000000E+03    0.2016109144E+00    0.6130818840E-01    0.8003778255E-01    0.3537809096E+00
    0.4900000000E+03    0.2024323071E+00    0.6159851786E-01    0.8201200332E-01    0.3578989636E+00
    0.1000000000E+03    0.1261093820E+00    0.3781239650E-01    0.2824129689E-01    0.1880626292E+00
    0.3000000000E+03    0.1878966253E+00    0.5679671312E-01    0.6096231925E-01    0.3076171891E+00
    0.5000000000E+03    0.2028023787E+00    0.6173124735E-01    0.8298269400E-01    0.3598845194E+00
    0.7000000000E+03    0.2062832624E+00    0.6317522784E-01    0.1005655431E+00    0.3918909838E+00
    0.9000000000E+03    0.2056795060E+00    0.6333346990E-01    0.1156873210E+00    0.4144759122E+00
    0.1100000000E+04    0.2033550155E+00    0.6292493761E-01    0.1292170158E+00    0.4317035017E+00
    0.1300000000E+04    0.2002563997E+00    0.6224242775E-01    0.1416135363E+00    0.4455060405E+00
    0.1500000000E+04    0.1968151992E+00    0.6142244308E-01    0.1531494309E+00    0.4569441882E+00
    0.1700000000E+04    0.1932450209E+00    0.6053459392E-01    0.1640003762E+00    0.4666593451E+00
    0.1900000000E+04    0.1896571632E+00    0.5961663830E-01    0.1742866521E+00    0.4750674022E+00
    0.2100000000E+04    0.1861111818E+00    0.5868993906E-01    0.1840945168E+00    0.4824526116E+00
