     Pressure (Pa)     2mC6-400 (mol/kg)     33mC5-400 (mol/kg)     23mC5-400 (mol/kg)     C7-400 (mol/kg)
    0.1000000000E+01    0.7904686653E-03    0.5793345098E-03    0.2801527207E-03    0.1187404933E-01
    0.3000000000E+01    0.2296420963E-02    0.1683638414E-02    0.8375026842E-03    0.3432446625E-01
    0.5000000000E+01    0.3711486979E-02    0.2722084104E-02    0.1390956710E-02    0.5519876744E-01
    0.7000000000E+01    0.5045222531E-02    0.3701633658E-02    0.1940567556E-02    0.7465955810E-01
    0.9000000000E+01    0.6305870512E-02    0.4628289231E-02    0.2486386993E-02    0.9284774285E-01
    0.1100000000E+02    0.7500577344E-02    0.5507251608E-02    0.3028465829E-02    0.1098860324E+00
    0.1300000000E+02    0.8635568220E-02    0.6343048542E-02    0.3566853933E-02    0.1258817913E+00
    0.1500000000E+02    0.9716289981E-02    0.7139639359E-02    0.4101600253E-02    0.1409293672E+00
    0.1700000000E+02    0.1074752836E-01    0.7900500776E-02    0.4632752841E-02    0.1551120077E+00
    0.1900000000E+02    0.1173350479E-01    0.8628697738E-02    0.5160358873E-02    0.1685034486E+00
    0.2100000000E+02    0.1267795678E-01    0.9326942225E-02    0.5684464667E-02    0.1811692366E+00
    0.2300000000E+02    0.1358420502E-01    0.9997642329E-02    0.6205115707E-02    0.1931678369E+00
    0.2500000000E+02    0.1445520974E-01    0.1064294343E-01    0.6722356658E-02    0.2045515664E+00
    0.2700000000E+02    0.1529361813E-01    0.1126476291E-01    0.7236231386E-02    0.2153673824E+00
    0.2900000000E+02    0.1610180461E-01    0.1186481952E-01    0.7746782976E-02    0.2256575529E+00
    0.3100000000E+02    0.1688190501E-01    0.1244465839E-01    0.8254053749E-02    0.2354602294E+00
    0.3300000000E+02    0.1763584583E-01    0.1300567237E-01    0.8758085282E-02    0.2448099363E+00
    0.3500000000E+02    0.1836536926E-01    0.1354912031E-01    0.9258918419E-02    0.2537379937E+00
    0.3700000000E+02    0.1907205479E-01    0.1407614279E-01    0.9756593294E-02    0.2622728809E+00
    0.3900000000E+02    0.1975733777E-01    0.1458777572E-01    0.1025114934E-01    0.2704405524E+00
    0.4100000000E+02    0.2042252563E-01    0.1508496212E-01    0.1074262531E-01    0.2782647125E+00
    0.4300000000E+02    0.2106881184E-01    0.1556856231E-01    0.1123105929E-01    0.2857670541E+00
    0.4500000000E+02    0.2169728820E-01    0.1603936287E-01    0.1171648870E-01    0.2929674684E+00
    0.4700000000E+02    0.2230895549E-01    0.1649808441E-01    0.1219895035E-01    0.2998842290E+00
    0.4900000000E+02    0.2290473291E-01    0.1694538840E-01    0.1267848040E-01    0.3065341529E+00
    0.1000000000E+02    0.6911057720E-02    0.5073434638E-02    0.2757890848E-02    0.1015035841E+00
    0.3000000000E+02    0.1649524057E-01    0.1215717578E-01    0.8000825849E-02    0.2306175904E+00
    0.5000000000E+02    0.2319692990E-01    0.1716495084E-01    0.1291715721E-01    0.3097639437E+00
    0.7000000000E+02    0.2838004407E-01    0.2108134802E-01    0.1754514995E-01    0.3635383161E+00
    0.9000000000E+02    0.3262508277E-01    0.2432301621E-01    0.2191709229E-01    0.4026180518E+00
    0.1100000000E+03    0.3622534992E-01    0.2709951800E-01    0.2606043345E-01    0.4323997337E+00
    0.1300000000E+03    0.3934853605E-01    0.2953031380E-01    0.2999866952E-01    0.4559107373E+00
