     Pressure (Pa)     3mC6-400 (mol/kg)     C7-400 (mol/kg)
    0.1000000000E+01    0.1017614962E-02    0.2972844858E-01
    0.3000000000E+01    0.2800710707E-02    0.8185490727E-01
    0.5000000000E+01    0.4311576207E-02    0.1260638253E+00
    0.7000000000E+01    0.5607970666E-02    0.1640323250E+00
    0.9000000000E+01    0.6732403279E-02    0.1969950853E+00
    0.1100000000E+02    0.7716853351E-02    0.2258812173E+00
    0.1300000000E+02    0.8585839689E-02    0.2514032879E+00
    0.1500000000E+02    0.9358475640E-02    0.2741169332E+00
    0.1700000000E+02    0.1004988040E-01    0.2944618061E+00
    0.1900000000E+02    0.1067217019E-01    0.3127903389E+00
    0.2100000000E+02    0.1123516823E-01    0.3293883502E+00
    0.2300000000E+02    0.1174692250E-01    0.3444900739E+00
    0.2500000000E+02    0.1221408920E-01    0.3582892940E+00
    0.2700000000E+02    0.1264222104E-01    0.3709477154E+00
    0.2900000000E+02    0.1303598668E-01    0.3826013381E+00
    0.3100000000E+02    0.1339933986E-01    0.3933653697E+00
    0.3300000000E+02    0.1373565111E-01    0.4033380524E+00
    0.3500000000E+02    0.1404781141E-01    0.4126036758E+00
    0.3700000000E+02    0.1433831447E-01    0.4212349683E+00
    0.3900000000E+02    0.1460932271E-01    0.4292950140E+00
    0.4100000000E+02    0.1486272041E-01    0.4368387999E+00
    0.4300000000E+02    0.1510015707E-01    0.4439144747E+00
    0.4500000000E+02    0.1532308277E-01    0.4505643799E+00
    0.4700000000E+02    0.1553277748E-01    0.4568258995E+00
    0.4900000000E+02    0.1573037521E-01    0.4627321652E+00
    0.1000000000E+02    0.7240446780E-02    0.2118989292E+00
    0.3000000000E+02    0.1322124184E-01    0.3880880538E+00
    0.5000000000E+02    0.1582495723E-01    0.4655614154E+00
    0.7000000000E+02    0.1727556518E-01    0.5091701806E+00
    0.9000000000E+02    0.1819689202E-01    0.5371638828E+00
    0.1100000000E+03    0.1883201159E-01    0.5566755242E+00
    0.1300000000E+03    0.1929515551E-01    0.5710674615E+00
    0.1500000000E+03    0.1964703709E-01    0.5821321722E+00
