     Pressure (Pa)     3mC6-400 (mol/kg)     C7-400 (mol/kg)
    0.1000000000E+01    0.6209292048E-02    0.1343572252E-01
    0.3000000000E+01    0.1761351767E-01    0.3812285756E-01
    0.5000000000E+01    0.2783953770E-01    0.6027228077E-01
    0.7000000000E+01    0.3706061948E-01    0.8025659169E-01
    0.9000000000E+01    0.4541765964E-01    0.9837883465E-01
    0.1100000000E+02    0.5302640496E-01    0.1148880068E+00
    0.1300000000E+02    0.5998282305E-01    0.1299905939E+00
    0.1500000000E+02    0.6636715327E-01    0.1438592722E+00
    0.1700000000E+02    0.7224700136E-01    0.1566395572E+00
    0.1900000000E+02    0.7767973111E-01    0.1684549419E+00
    0.2100000000E+02    0.8271433264E-01    0.1794109121E+00
    0.2300000000E+02    0.8739289613E-01    0.1895981132E+00
    0.2500000000E+02    0.9175178493E-01    0.1990948716E+00
    0.2700000000E+02    0.9582257724E-01    0.2079692193E+00
    0.2900000000E+02    0.9963282794E-01    0.2162805310E+00
    0.3100000000E+02    0.1032066894E+00    0.2240808595E+00
    0.3300000000E+02    0.1065654206E+00    0.2314160305E+00
    0.3500000000E+02    0.1097278078E+00    0.2383265468E+00
    0.3700000000E+02    0.1127105140E+00    0.2448483397E+00
    0.3900000000E+02    0.1155283700E+00    0.2510133961E+00
    0.4100000000E+02    0.1181946199E+00    0.2568502856E+00
    0.4300000000E+02    0.1207211275E+00    0.2623846051E+00
    0.4500000000E+02    0.1231185513E+00    0.2676393556E+00
    0.4700000000E+02    0.1253964942E+00    0.2726352630E+00
    0.4900000000E+02    0.1275636303E+00    0.2773910532E+00
    0.1000000000E+02    0.4930916050E-01    0.1068212665E+00
    0.3000000000E+02    0.1014479161E+00    0.2202415695E+00
    0.5000000000E+02    0.1286081300E+00    0.2796842678E+00
    0.7000000000E+02    0.1452427699E+00    0.3163162617E+00
    0.9000000000E+02    0.1564617302E+00    0.3411783363E+00
    0.1100000000E+03    0.1645300365E+00    0.3591738380E+00
    0.1300000000E+03    0.1706052769E+00    0.3728134667E+00
    0.1500000000E+03    0.1753404750E+00    0.3835162322E+00
    0.1700000000E+03    0.1791318645E+00    0.3921447548E+00
    0.1900000000E+03    0.1822337441E+00    0.3992536888E+00
    0.2100000000E+03    0.1848167651E+00    0.4052159375E+00
    0.2300000000E+03    0.1869996847E+00    0.4102914892E+00
    0.2500000000E+03    0.1888676808E+00    0.4146671650E+00
    0.2700000000E+03    0.1904834245E+00    0.4184806778E+00
    0.2900000000E+03    0.1918940455E+00    0.4218357818E+00
    0.3100000000E+03    0.1931356618E+00    0.4248121376E+00
    0.3300000000E+03    0.1942364145E+00    0.4274719266E+00
    0.3500000000E+03    0.1952185510E+00    0.4298643993E+00
    0.3700000000E+03    0.1960998889E+00    0.4320290728E+00
    0.3900000000E+03    0.1968948645E+00    0.4339980240E+00
    0.4100000000E+03    0.1976152967E+00    0.4357975633E+00
    0.4300000000E+03    0.1982709537E+00    0.4374494761E+00
    0.4500000000E+03    0.1988699780E+00    0.4389719562E+00
    0.4700000000E+03    0.1994192107E+00    0.4403803173E+00
    0.4900000000E+03    0.1999244406E+00    0.4416875422E+00
    0.1000000000E+03    0.1608011164E+00    0.3508423512E+00
