     Pressure (Pa)     3mC6-400 (mol/kg)     C7-400 (mol/kg)
    0.1000000000E+01    0.3073357465E-02    0.2327671764E-01
    0.3000000000E+01    0.8559458645E-02    0.6485090998E-01
    0.5000000000E+01    0.1331160914E-01    0.1008914045E+00
    0.7000000000E+01    0.1746750430E-01    0.1324346867E+00
    0.9000000000E+01    0.2113244338E-01    0.1602735823E+00
    0.1100000000E+02    0.2438832549E-01    0.1850248853E+00
    0.1300000000E+02    0.2729980594E-01    0.2071756457E+00
    0.1500000000E+02    0.2991860644E-01    0.2271155816E+00
    0.1700000000E+02    0.3228659410E-01    0.2451602366E+00
    0.1900000000E+02    0.3443802101E-01    0.2615678258E+00
    0.2100000000E+02    0.3640117967E-01    0.2765516901E+00
    0.2300000000E+02    0.3819964466E-01    0.2902896394E+00
    0.2500000000E+02    0.3985321633E-01    0.3029310535E+00
    0.2700000000E+02    0.4137864671E-01    0.3146023467E+00
    0.2900000000E+02    0.4279020417E-01    0.3254112179E+00
    0.3100000000E+02    0.4410011704E-01    0.3354499905E+00
    0.3300000000E+02    0.4531892546E-01    0.3447982620E+00
    0.3500000000E+02    0.4645576283E-01    0.3535250239E+00
    0.3700000000E+02    0.4751858283E-01    0.3616903710E+00
    0.3900000000E+02    0.4851434381E-01    0.3693468911E+00
    0.4100000000E+02    0.4944915969E-01    0.3765408019E+00
    0.4300000000E+02    0.5032842420E-01    0.3833128869E+00
    0.4500000000E+02    0.5115691383E-01    0.3896992714E+00
    0.4700000000E+02    0.5193887362E-01    0.3957320695E+00
    0.4900000000E+02    0.5267808902E-01    0.4014399254E+00
    0.1000000000E+02    0.2280712917E-01    0.1730021354E+00
    0.3000000000E+02    0.4345717145E-01    0.3305216205E+00
    0.5000000000E+02    0.5303273995E-01    0.4041801165E+00
    0.7000000000E+02    0.5854042508E-01    0.4469129235E+00
    0.9000000000E+02    0.6210872350E-01    0.4748446526E+00
    0.1100000000E+03    0.6460304940E-01    0.4945485411E+00
    0.1300000000E+03    0.6644127614E-01    0.5092067462E+00
    0.1500000000E+03    0.6784976630E-01    0.5205474688E+00
    0.1700000000E+03    0.6896172831E-01    0.5295903066E+00
    0.1900000000E+03    0.6986062318E-01    0.5369757099E+00
    0.2100000000E+03    0.7060137952E-01    0.5431262533E+00
    0.2300000000E+03    0.7122161075E-01    0.5483320387E+00
    0.2500000000E+03    0.7174792952E-01    0.5527988432E+00
    0.2700000000E+03    0.7219968863E-01    0.5566766895E+00
    0.2900000000E+03    0.7259129391E-01    0.5600775349E+00
    0.3100000000E+03    0.7293368661E-01    0.5630866282E+00
    0.3300000000E+03    0.7323532348E-01    0.5657700276E+00
    0.3500000000E+03    0.7350284231E-01    0.5681797153E+00
    0.3700000000E+03    0.7374152467E-01    0.5703571580E+00
    0.3900000000E+03    0.7395562442E-01    0.5723358394E+00
    0.4100000000E+03    0.7414860532E-01    0.5741430935E+00
    0.4300000000E+03    0.7432331567E-01    0.5758014550E+00
    0.4500000000E+03    0.7448211870E-01    0.5773296691E+00
    0.4700000000E+03    0.7462699121E-01    0.5787434563E+00
    0.4900000000E+03    0.7475959917E-01    0.5800560987E+00
    0.1000000000E+03    0.6345772840E-01    0.4854784911E+00
    0.3000000000E+03    0.7276806406E-01    0.5616265413E+00
    0.5000000000E+03    0.7482175422E-01    0.5806780890E+00
    0.7000000000E+03    0.7567286306E-01    0.5898309517E+00
    0.9000000000E+03    0.7611706615E-01    0.5954872859E+00
    0.1100000000E+04    0.7637847164E-01    0.5995025641E+00
    0.1300000000E+04    0.7654368612E-01    0.6026142297E+00
    0.1500000000E+04    0.7665286136E-01    0.6051739239E+00
    0.1700000000E+04    0.7672698605E-01    0.6073707702E+00
    0.1900000000E+04    0.7677801181E-01    0.6093156238E+00
    0.2100000000E+04    0.7681319570E-01    0.6110778133E+00
    0.2300000000E+04    0.7683717019E-01    0.6127029490E+00
    0.2500000000E+04    0.7685301315E-01    0.6142222860E+00
    0.2700000000E+04    0.7686283761E-01    0.6156579719E+00
    0.2900000000E+04    0.7686813427E-01    0.6170261483E+00
    0.3100000000E+04    0.7686997921E-01    0.6183388632E+00
    0.3300000000E+04    0.7686916459E-01    0.6196052967E+00
    0.3500000000E+04    0.7686628346E-01    0.6208325699E+00
    0.3700000000E+04    0.7686178633E-01    0.6220262944E+00
    0.3900000000E+04    0.7685601986E-01    0.6231909547E+00
    0.4100000000E+04    0.7684925373E-01    0.6243301793E+00
    0.4300000000E+04    0.7684169984E-01    0.6254469375E+00
    0.4500000000E+04    0.7683352614E-01    0.6265436840E+00
    0.4700000000E+04    0.7682486672E-01    0.6276224667E+00
    0.4900000000E+04    0.7681582935E-01    0.6286850086E+00
    0.1000000000E+04    0.7626357552E-01    0.5976405243E+00
    0.3000000000E+04    0.7686943320E-01    0.6176888085E+00
    0.5000000000E+04    0.7681119686E-01    0.6292106546E+00
    0.7000000000E+04    0.7671288395E-01    0.6391318895E+00
    0.9000000000E+04    0.7661818755E-01    0.6482841529E+00
    0.1100000000E+05    0.7653266190E-01    0.6569151793E+00
    0.1300000000E+05    0.7645607740E-01    0.6651329833E+00
    0.1500000000E+05    0.7638724088E-01    0.6729970931E+00
    0.1700000000E+05    0.7632495129E-01    0.6805460228E+00
    0.1900000000E+05    0.7626818577E-01    0.6878076418E+00
    0.2100000000E+05    0.7621610933E-01    0.6948037417E+00
    0.2300000000E+05    0.7616804632E-01    0.7015522938E+00
    0.2500000000E+05    0.7612344845E-01    0.7080686704E+00
    0.2700000000E+05    0.7608186749E-01    0.7143663586E+00
    0.2900000000E+05    0.7604293383E-01    0.7204574040E+00
    0.3100000000E+05    0.7600633990E-01    0.7263527037E+00
    0.3300000000E+05    0.7597182746E-01    0.7320622088E+00
    0.3500000000E+05    0.7593917791E-01    0.7375950710E+00
    0.3700000000E+05    0.7590820470E-01    0.7429597525E+00
    0.3900000000E+05    0.7587874755E-01    0.7481641117E+00
    0.4100000000E+05    0.7585066772E-01    0.7532154715E+00
    0.4300000000E+05    0.7582384445E-01    0.7581206750E+00
    0.4500000000E+05    0.7579817200E-01    0.7628861322E+00
    0.4700000000E+05    0.7577355725E-01    0.7675178599E+00
    0.4900000000E+05    0.7574991784E-01    0.7720215154E+00
    0.1000000000E+05    0.7657424765E-01    0.6526563910E+00
    0.3000000000E+05    0.7602436157E-01    0.7234288798E+00
    0.5000000000E+05    0.7573844069E-01    0.7742269931E+00
    0.7000000000E+05    0.7554596724E-01    0.8127574667E+00
    0.9000000000E+05    0.7540104009E-01    0.8430175300E+00
    0.1100000000E+06    0.7528488992E-01    0.8674204885E+00
    0.1300000000E+06    0.7518802124E-01    0.8875202381E+00
    0.1500000000E+06    0.7510496927E-01    0.9043645237E+00
    0.1700000000E+06    0.7503230257E-01    0.9186860389E+00
    0.1900000000E+06    0.7496772605E-01    0.9310127439E+00
    0.2100000000E+06    0.7490962934E-01    0.9417347783E+00
    0.2300000000E+06    0.7485683914E-01    0.9511467097E+00
    0.2500000000E+06    0.7480847423E-01    0.9594751264E+00
    0.2700000000E+06    0.7476385594E-01    0.9668971865E+00
    0.2900000000E+06    0.7472245054E-01    0.9735534049E+00
    0.3100000000E+06    0.7468383068E-01    0.9795566646E+00
    0.3300000000E+06    0.7464764890E-01    0.9849986928E+00
    0.3500000000E+06    0.7461361889E-01    0.9899547963E+00
    0.3700000000E+06    0.7458150192E-01    0.9944873796E+00
    0.3900000000E+06    0.7455109687E-01    0.9986485953E+00
    0.4100000000E+06    0.7452223271E-01    0.1002482367E+01
    0.4300000000E+06    0.7449476278E-01    0.1006025950E+01
    0.4500000000E+06    0.7446856038E-01    0.1009311152E+01
    0.4700000000E+06    0.7444351533E-01    0.1012365294E+01
    0.4900000000E+06    0.7441953115E-01    0.1015211975E+01
    0.1000000000E+06    0.7534009223E-01    0.8558391145E+00
    0.3000000000E+06    0.7470281575E-01    0.9766304883E+00
    0.5000000000E+06    0.7440790996E-01    0.1016564027E+01
    0.7000000000E+06    0.7421503816E-01    0.1036502386E+01
    0.9000000000E+06    0.7407196817E-01    0.1048470069E+01
    0.1100000000E+07    0.7395846255E-01    0.1056457680E+01
    0.1300000000E+07    0.7386453828E-01    0.1062171867E+01
    0.1500000000E+07    0.7378453378E-01    0.1066465027E+01
    0.1700000000E+07    0.7371492834E-01    0.1069810463E+01
    0.1900000000E+07    0.7365338368E-01    0.1072492104E+01
    0.2100000000E+07    0.7359826800E-01    0.1074690640E+01
    0.2300000000E+07    0.7354839762E-01    0.1076526556E+01
    0.2500000000E+07    0.7350288687E-01    0.1078083287E+01
    0.2700000000E+07    0.7346105587E-01    0.1079420457E+01
    0.2900000000E+07    0.7342237152E-01    0.1080581809E+01
    0.3100000000E+07    0.7338640809E-01    0.1081600165E+01
    0.3300000000E+07    0.7335282029E-01    0.1082500640E+01
    0.3500000000E+07    0.7332132425E-01    0.1083302779E+01
    0.3700000000E+07    0.7329168378E-01    0.1084022022E+01
    0.3900000000E+07    0.7326370030E-01    0.1084670727E+01
    0.4100000000E+07    0.7323720526E-01    0.1085258907E+01
    0.4300000000E+07    0.7321205441E-01    0.1085794758E+01
    0.4500000000E+07    0.7318812332E-01    0.1086285055E+01
    0.4700000000E+07    0.7316530399E-01    0.1086735450E+01
    0.4900000000E+07    0.7314350199E-01    0.1087150692E+01
    0.1000000000E+07    0.7401228523E-01    0.1052825576E+01
    0.3000000000E+07    0.7340407290E-01    0.1081107140E+01
    0.5000000000E+07    0.7313295617E-01    0.1087346412E+01
    0.7000000000E+07    0.7295971819E-01    0.1090130289E+01
    0.9000000000E+07    0.7283353238E-01    0.1091723133E+01
    0.1100000000E+08    0.7273495955E-01    0.1092762445E+01
    0.1300000000E+08    0.7265450376E-01    0.1093498382E+01
    0.1500000000E+08    0.7258682258E-01    0.1094049479E+01
    0.1700000000E+08    0.7252861639E-01    0.1094479300E+01
    0.1900000000E+08    0.7247770691E-01    0.1094825062E+01
    0.2100000000E+08    0.7243258218E-01    0.1095110044E+01
    0.2300000000E+08    0.7239215087E-01    0.1095349574E+01
    0.2500000000E+08    0.7235560009E-01    0.1095554170E+01
    0.2700000000E+08    0.7232230850E-01    0.1095731298E+01
    0.2900000000E+08    0.7229179082E-01    0.1095886410E+01
    0.3100000000E+08    0.7226366099E-01    0.1096023582E+01
    0.3300000000E+08    0.7223760699E-01    0.1096145928E+01
    0.3500000000E+08    0.7221337320E-01    0.1096255869E+01
    0.3700000000E+08    0.7219074761E-01    0.1096355315E+01
    0.3900000000E+08    0.7216955254E-01    0.1096445797E+01
    0.4100000000E+08    0.7214963763E-01    0.1096528555E+01
    0.4300000000E+08    0.7213087459E-01    0.1096604605E+01
    0.4500000000E+08    0.7211315307E-01    0.1096674791E+01
    0.4700000000E+08    0.7209637753E-01    0.1096739814E+01
    0.4900000000E+08    0.7208046468E-01    0.1096800267E+01
    0.1000000000E+08    0.7278152420E-01    0.1092291743E+01
    0.3000000000E+08    0.7227744842E-01    0.1095957025E+01
    0.5000000000E+08    0.7207280861E-01    0.1096828941E+01
    0.7000000000E+08    0.7195120463E-01    0.1097252360E+01
    0.9000000000E+08    0.7186825093E-01    0.1097512770E+01
    0.1100000000E+09    0.7180736924E-01    0.1097693386E+01
    0.1300000000E+09    0.7176061870E-01    0.1097828109E+01
    0.1500000000E+09    0.7172360883E-01    0.1097933600E+01
    0.1700000000E+09    0.7169367079E-01    0.1098019113E+01
    0.1900000000E+09    0.7166906869E-01    0.1098090248E+01
    0.2100000000E+09    0.7164861444E-01    0.1098150619E+01
    0.2300000000E+09    0.7163146190E-01    0.1098202677E+01
    0.2500000000E+09    0.7161698890E-01    0.1098248151E+01
    0.2700000000E+09    0.7160472574E-01    0.1098288302E+01
    0.2900000000E+09    0.7159430999E-01    0.1098324074E+01
    0.3100000000E+09    0.7158545669E-01    0.1098356189E+01
    0.3300000000E+09    0.7157793820E-01    0.1098385213E+01
    0.3500000000E+09    0.7157157008E-01    0.1098411594E+01
    0.3700000000E+09    0.7156620105E-01    0.1098435693E+01
    0.3900000000E+09    0.7156170572E-01    0.1098457806E+01
    0.4100000000E+09    0.7155797910E-01    0.1098478176E+01
    0.4300000000E+09    0.7155493254E-01    0.1098497007E+01
    0.4500000000E+09    0.7155249060E-01    0.1098514471E+01
    0.4700000000E+09    0.7155058863E-01    0.1098530712E+01
    0.4900000000E+09    0.7154917085E-01    0.1098545855E+01
    0.1000000000E+09    0.7183566459E-01    0.1097610337E+01
