     Pressure (Pa)     3mC6-400 (mol/kg)     C7-400 (mol/kg)
    0.1000000000E+01    0.7268839534E-02    0.1011093310E-01
    0.3000000000E+01    0.2074889428E-01    0.2886873327E-01
    0.5000000000E+01    0.3298158694E-01    0.4589946852E-01
    0.7000000000E+01    0.4413211130E-01    0.6143149744E-01
    0.9000000000E+01    0.5433773639E-01    0.7565460715E-01
    0.1100000000E+02    0.6371346692E-01    0.8872782802E-01
    0.1300000000E+02    0.7235638051E-01    0.1007854224E+00
    0.1500000000E+02    0.8034898921E-01    0.1119415263E+00
    0.1700000000E+02    0.8776187198E-01    0.1222937850E+00
    0.1900000000E+02    0.9465575624E-01    0.1319262279E+00
    0.2100000000E+02    0.1010831785E+00    0.1409115621E+00
    0.2300000000E+02    0.1070898197E+00    0.1493130179E+00
    0.2500000000E+02    0.1127155885E+00    0.1571858438E+00
    0.2700000000E+02    0.1179955041E+00    0.1645785281E+00
    0.2900000000E+02    0.1229604233E+00    0.1715338022E+00
    0.3100000000E+02    0.1276376403E+00    0.1780894706E+00
    0.3300000000E+02    0.1320513870E+00    0.1842791010E+00
    0.3500000000E+02    0.1362232500E+00    0.1901326020E+00
    0.3700000000E+02    0.1401725223E+00    0.1956767084E+00
    0.3900000000E+02    0.1439164995E+00    0.2009353916E+00
    0.4100000000E+02    0.1474707324E+00    0.2059302074E+00
    0.4300000000E+02    0.1508492408E+00    0.2106805933E+00
    0.4500000000E+02    0.1540646977E+00    0.2152041220E+00
    0.4700000000E+02    0.1571285874E+00    0.2195167204E+00
    0.4900000000E+02    0.1600513409E+00    0.2236328575E+00
    0.1000000000E+02    0.5912289443E-01    0.8232604181E-01
    0.3000000000E+02    0.1253334136E+00    0.1748593971E+00
    0.5000000000E+02    0.1614627929E+00    0.2256214166E+00
    0.7000000000E+02    0.1841888008E+00    0.2577243212E+00
    0.9000000000E+02    0.1997875546E+00    0.2798805491E+00
    0.1100000000E+03    0.2111477981E+00    0.2961069685E+00
    0.1300000000E+03    0.2197840582E+00    0.3085130692E+00
    0.1500000000E+03    0.2265667354E+00    0.3183131813E+00
    0.1700000000E+03    0.2320315065E+00    0.3262558791E+00
    0.1900000000E+03    0.2365260460E+00    0.3328278128E+00
    0.2100000000E+03    0.2402858077E+00    0.3383590941E+00
    0.2300000000E+03    0.2434758949E+00    0.3430815800E+00
    0.2500000000E+03    0.2462154906E+00    0.3471629147E+00
    0.2700000000E+03    0.2485927722E+00    0.3507273319E+00
    0.2900000000E+03    0.2506743699E+00    0.3538688605E+00
    0.3100000000E+03    0.2525115630E+00    0.3566599845E+00
    0.3300000000E+03    0.2541444558E+00    0.3591574836E+00
    0.3500000000E+03    0.2556048605E+00    0.3614064716E+00
    0.3700000000E+03    0.2569183326E+00    0.3634432485E+00
    0.3900000000E+03    0.2581056353E+00    0.3652973547E+00
    0.4100000000E+03    0.2591838102E+00    0.3669930760E+00
    0.4300000000E+03    0.2601669750E+00    0.3685505635E+00
    0.4500000000E+03    0.2610669232E+00    0.3699866787E+00
    0.4700000000E+03    0.2618935828E+00    0.3713156389E+00
    0.4900000000E+03    0.2626553705E+00    0.3725495169E+00
    0.1000000000E+03    0.2058822737E+00    0.2885745847E+00
    0.3000000000E+03    0.2516207874E+00    0.3553043606E+00
    0.5000000000E+03    0.2630142237E+00    0.3731340842E+00
    0.7000000000E+03    0.2680769932E+00    0.3816947388E+00
    0.9000000000E+03    0.2708919283E+00    0.3868774403E+00
    0.1100000000E+04    0.2726599006E+00    0.3904459846E+00
