     Pressure (Pa)     3mC6-400 (mol/kg)     C7-400 (mol/kg)
    0.1000000000E+01    0.4111622661E-02    0.2001839139E-01
    0.3000000000E+01    0.1152045532E-01    0.5610908999E-01
    0.5000000000E+01    0.1801115393E-01    0.8774989817E-01
    0.7000000000E+01    0.2374403857E-01    0.1157165797E+00
    0.9000000000E+01    0.2884417763E-01    0.1406144588E+00
    0.1100000000E+02    0.3341056983E-01    0.1629227932E+00
    0.1300000000E+02    0.3752259875E-01    0.1830259701E+00
    0.1500000000E+02    0.4124466036E-01    0.2012358756E+00
    0.1700000000E+02    0.4462953971E-01    0.2178082194E+00
    0.1900000000E+02    0.4772091415E-01    0.2329546385E+00
    0.2100000000E+02    0.5055523585E-01    0.2468518006E+00
    0.2300000000E+02    0.5316316599E-01    0.2596483408E+00
    0.2500000000E+02    0.5557068038E-01    0.2714702100E+00
    0.2700000000E+02    0.5779993121E-01    0.2824248436E+00
    0.2900000000E+02    0.5986992531E-01    0.2926044433E+00
    0.3100000000E+02    0.6179706308E-01    0.3020885853E+00
    0.3300000000E+02    0.6359557027E-01    0.3109463098E+00
    0.3500000000E+02    0.6527784666E-01    0.3192378092E+00
    0.3700000000E+02    0.6685474984E-01    0.3270158011E+00
    0.3900000000E+02    0.6833582758E-01    0.3343266546E+00
    0.4100000000E+02    0.6972950948E-01    0.3412113174E+00
    0.4300000000E+02    0.7104326593E-01    0.3477060859E+00
    0.4500000000E+02    0.7228374068E-01    0.3538432476E+00
    0.4700000000E+02    0.7345686206E-01    0.3596516198E+00
    0.4900000000E+02    0.7456793667E-01    0.3651570035E+00
    0.1000000000E+02    0.3118873237E-01    0.1520663685E+00
    0.3000000000E+02    0.6085041560E-01    0.2974289061E+00
    0.5000000000E+02    0.7510171455E-01    0.3678034085E+00
    0.7000000000E+02    0.8345252692E-01    0.4093625969E+00
    0.9000000000E+02    0.8892664489E-01    0.4368238164E+00
    0.1100000000E+03    0.9278488061E-01    0.4563383255E+00
    0.1300000000E+03    0.9564604887E-01    0.4709323095E+00
    0.1500000000E+03    0.9784925951E-01    0.4822679882E+00
    0.1700000000E+03    0.9959580867E-01    0.4913343527E+00
    0.1900000000E+03    0.1010126767E+00    0.4987567184E+00
    0.2100000000E+03    0.1021838934E+00    0.5049498491E+00
