     Pressure (Pa)     2mC6-400 (mol/kg)     23mC5-400 (mol/kg)
    0.1000000000E+01    0.4783103828E-02    0.1301148966E-02
    0.3000000000E+01    0.1411972781E-01    0.3853453021E-02
    0.5000000000E+01    0.2316222395E-01    0.6341813658E-02
    0.7000000000E+01    0.3192418679E-01    0.8769299453E-02
    0.9000000000E+01    0.4041837567E-01    0.1113877849E-01
    0.1100000000E+02    0.4865677871E-01    0.1345293468E-01
    0.1300000000E+02    0.5665067098E-01    0.1571428246E-01
    0.1500000000E+02    0.6441066742E-01    0.1792518011E-01
    0.1700000000E+02    0.7194677103E-01    0.2008784190E-01
    0.1900000000E+02    0.7926841685E-01    0.2220434897E-01
    0.2100000000E+02    0.8638451218E-01    0.2427665941E-01
    0.2300000000E+02    0.9330347341E-01    0.2630661725E-01
    0.2500000000E+02    0.1000332597E+00    0.2829596083E-01
    0.2700000000E+02    0.1065814040E+00    0.3024633031E-01
    0.2900000000E+02    0.1129550415E+00    0.3215927467E-01
    0.3100000000E+02    0.1191609357E+00    0.3403625798E-01
    0.3300000000E+02    0.1252055026E+00    0.3587866528E-01
    0.3500000000E+02    0.1310948330E+00    0.3768780787E-01
    0.3700000000E+02    0.1368347132E+00    0.3946492829E-01
    0.3900000000E+02    0.1424306433E+00    0.4121120477E-01
    0.4100000000E+02    0.1478878558E+00    0.4292775546E-01
    0.4300000000E+02    0.1532113310E+00    0.4461564225E-01
    0.4500000000E+02    0.1584058124E+00    0.4627587430E-01
    0.4700000000E+02    0.1634758211E+00    0.4790941138E-01
    0.4900000000E+02    0.1684256682E+00    0.4951716685E-01
    0.1000000000E+02    0.4456882966E-01    0.1230261098E-01
    0.3000000000E+02    0.1160785476E+00    0.3310217311E-01
    0.5000000000E+02    0.1708568240E+00    0.5031164992E-01
    0.7000000000E+02    0.2140776356E+00    0.6503863741E-01
    0.9000000000E+02    0.2489758705E+00    0.7796198242E-01
