     Pressure (Pa)     2mC6-400 (mol/kg)     23mC5-400 (mol/kg)
    0.1000000000E+01    0.1106706467E-01    0.5548347681E-03
    0.3000000000E+01    0.3214402895E-01    0.1627442798E-02
    0.5000000000E+01    0.5191957138E-01    0.2654159676E-02
    0.7000000000E+01    0.7050993909E-01    0.3638784982E-02
    0.9000000000E+01    0.8801794559E-01    0.4584690872E-02
    0.1100000000E+02    0.1045348566E+00    0.5494881590E-02
    0.1300000000E+02    0.1201419669E+00    0.6372043218E-02
    0.1500000000E+02    0.1349119254E+00    0.7218585499E-02
    0.1700000000E+02    0.1489098546E+00    0.8036677165E-02
    0.1900000000E+02    0.1621943005E+00    0.8828275924E-02
    0.2100000000E+02    0.1748180420E+00    0.9595154044E-02
    0.2300000000E+02    0.1868287836E+00    0.1033892026E-01
    0.2500000000E+02    0.1982697512E+00    0.1106103860E-01
    0.2700000000E+02    0.2091802047E+00    0.1176284469E-01
    0.2900000000E+02    0.2195958832E+00    0.1244555980E-01
    0.3100000000E+02    0.2295493903E+00    0.1311030315E-01
    0.3300000000E+02    0.2390705308E+00    0.1375810257E-01
    0.3500000000E+02    0.2481866045E+00    0.1438990388E-01
    0.3700000000E+02    0.2569226636E+00    0.1500657912E-01
    0.3900000000E+02    0.2653017395E+00    0.1560893376E-01
    0.4100000000E+02    0.2733450422E+00    0.1619771314E-01
    0.4300000000E+02    0.2810721371E+00    0.1677360807E-01
    0.4500000000E+02    0.2885011007E+00    0.1733725992E-01
    0.4700000000E+02    0.2956486601E+00    0.1788926502E-01
    0.4900000000E+02    0.3025303163E+00    0.1843017872E-01
    0.1000000000E+02    0.9639499006E-01    0.5044075815E-02
    0.3000000000E+02    0.2246284834E+00    0.1278011168E-01
    0.5000000000E+02    0.3058759668E+00    0.1869663951E-01
    0.7000000000E+02    0.3618241019E+00    0.2355253108E-01
    0.9000000000E+02    0.4026040971E+00    0.2772057304E-01
    0.1100000000E+03    0.4335811244E+00    0.3140858179E-01
    0.1300000000E+03    0.4578608037E+00    0.3474318880E-01
    0.1500000000E+03    0.4773647416E+00    0.3780683400E-01
    0.1700000000E+03    0.4933452937E+00    0.4065600521E-01
    0.1900000000E+03    0.5066533417E+00    0.4333101767E-01
    0.2100000000E+03    0.5178870781E+00    0.4586161579E-01
    0.2300000000E+03    0.5274792210E+00    0.4827035831E-01
