     Pressure (Pa)     2mC6-400 (mol/kg)     23mC5-400 (mol/kg)
    0.1000000000E+01    0.1262164340E-01    0.3694269376E-03
    0.3000000000E+01    0.3651401120E-01    0.1081050887E-02
    0.5000000000E+01    0.5875972210E-01    0.1759218511E-02
    0.7000000000E+01    0.7952272821E-01    0.2406968392E-02
    0.9000000000E+01    0.9894592946E-01    0.3026964637E-02
    0.1100000000E+02    0.1171544467E+00    0.3621553895E-02
    0.1300000000E+02    0.1342583028E+00    0.4192812155E-02
    0.1500000000E+02    0.1503546322E+00    0.4742583434E-02
    0.1700000000E+02    0.1655295145E+00    0.5272511948E-02
    0.1900000000E+02    0.1798595030E+00    0.5784069010E-02
    0.2100000000E+02    0.1934129062E+00    0.6278575666E-02
    0.2300000000E+02    0.2062508690E+00    0.6757221813E-02
    0.2500000000E+02    0.2184282870E+00    0.7221082452E-02
    0.2700000000E+02    0.2299945850E+00    0.7671131540E-02
    0.2900000000E+02    0.2409943813E+00    0.8108253881E-02
    0.3100000000E+02    0.2514680583E+00    0.8533255335E-02
    0.3300000000E+02    0.2614522533E+00    0.8946871658E-02
    0.3500000000E+02    0.2709802823E+00    0.9349776152E-02
    0.3700000000E+02    0.2800825082E+00    0.9742586327E-02
    0.3900000000E+02    0.2887866608E+00    0.1012586972E-01
    0.4100000000E+02    0.2971181157E+00    0.1050014898E-01
    0.4300000000E+02    0.3051001391E+00    0.1086590635E-01
    0.4500000000E+02    0.3127541025E+00    0.1122358761E-01
    0.4700000000E+02    0.3200996714E+00    0.1157360555E-01
    0.4900000000E+02    0.3271549722E+00    0.1191634307E-01
    0.1000000000E+02    0.1081948213E+00    0.3327299535E-02
    0.3000000000E+02    0.2462946124E+00    0.8322222186E-02
    0.5000000000E+02    0.3305790524E+00    0.1208509382E-01
    0.7000000000E+02    0.3872713360E+00    0.1515220268E-01
    0.9000000000E+02    0.4279471204E+00    0.1777629022E-01
    0.1100000000E+03    0.4585063468E+00    0.2009463517E-01
    0.1300000000E+03    0.4822709918E+00    0.2218945073E-01
    0.1500000000E+03    0.5012539185E+00    0.2411362226E-01
    0.1700000000E+03    0.5167456067E+00    0.2590308115E-01
    0.1900000000E+03    0.5296113550E+00    0.2758331651E-01
    0.2100000000E+03    0.5404529492E+00    0.2917305237E-01
    0.2300000000E+03    0.5497017999E+00    0.3068644527E-01
    0.2500000000E+03    0.5576752007E+00    0.3213446017E-01
    0.2700000000E+03    0.5646116836E+00    0.3352576619E-01
    0.2900000000E+03    0.5706940034E+00    0.3486733942E-01
    0.3100000000E+03    0.5760645211E+00    0.3616488027E-01
    0.3300000000E+03    0.5808357648E+00    0.3742310972E-01
    0.3500000000E+03    0.5850978442E+00    0.3864598420E-01
    0.3700000000E+03    0.5889237597E+00    0.3983685450E-01
    0.3900000000E+03    0.5923732723E+00    0.4099858529E-01
    0.4100000000E+03    0.5954957691E+00    0.4213364647E-01
    0.4300000000E+03    0.5983324164E+00    0.4324418390E-01
    0.4500000000E+03    0.6009177983E+00    0.4433207484E-01
    0.4700000000E+03    0.6032811784E+00    0.4539897200E-01
    0.4900000000E+03    0.6054474829E+00    0.4644633879E-01
    0.1000000000E+03    0.4442429800E+00    0.1896764723E-01
    0.3000000000E+03    0.5734606045E+00    0.3552129872E-01
    0.5000000000E+03    0.6064635288E+00    0.4696311101E-01
    0.7000000000E+03    0.6203050668E+00    0.5652616002E-01
    0.9000000000E+03    0.6272102171E+00    0.6503907444E-01
    0.1100000000E+04    0.6308737687E+00    0.7285648986E-01
    0.1300000000E+04    0.6327850101E+00    0.8016811520E-01
    0.1500000000E+04    0.6336553536E+00    0.8708931982E-01
    0.1700000000E+04    0.6338654320E+00    0.9369639755E-01
    0.1900000000E+04    0.6336361786E+00    0.1000428764E+00
