     Pressure (Pa)     2mC6-400 (mol/kg)     23mC5-400 (mol/kg)
    0.1000000000E+01    0.1416974192E-01    0.1844827753E-03
    0.3000000000E+01    0.4083157262E-01    0.5385884168E-03
    0.5000000000E+01    0.6546849268E-01    0.8745757752E-03
    0.7000000000E+01    0.8830235584E-01    0.1194231863E-02
    0.9000000000E+01    0.1095237602E+00    0.1499104877E-02
    0.1100000000E+02    0.1292973644E+00    0.1790543545E-02
    0.1300000000E+02    0.1477661546E+00    0.2069728865E-02
    0.1500000000E+02    0.1650548955E+00    0.2337699913E-02
    0.1700000000E+02    0.1812729435E+00    0.2595374980E-02
    0.1900000000E+02    0.1965165532E+00    0.2843569000E-02
    0.2100000000E+02    0.2108707821E+00    0.3083008016E-02
    0.2300000000E+02    0.2244110728E+00    0.3314341248E-02
    0.2500000000E+02    0.2372045736E+00    0.3538151234E-02
    0.2700000000E+02    0.2493112478E+00    0.3754962379E-02
    0.2900000000E+02    0.2607848097E+00    0.3965248212E-02
    0.3100000000E+02    0.2716735173E+00    0.4169437561E-02
    0.3300000000E+02    0.2820208483E+00    0.4367919849E-02
    0.3500000000E+02    0.2918660773E+00    0.4561049635E-02
    0.3700000000E+02    0.3012447717E+00    0.4749150539E-02
    0.3900000000E+02    0.3101892189E+00    0.4932518637E-02
    0.4100000000E+02    0.3187287959E+00    0.5111425416E-02
    0.4300000000E+02    0.3268902896E+00    0.5286120347E-02
    0.4500000000E+02    0.3346981765E+00    0.5456833143E-02
    0.4700000000E+02    0.3421748661E+00    0.5623775731E-02
    0.4900000000E+02    0.3493409147E+00    0.5787144000E-02
    0.1000000000E+02    0.1195821367E+00    0.1646426089E-02
    0.3000000000E+02    0.2662994481E+00    0.4068079741E-02
    0.5000000000E+02    0.3528134123E+00    0.5867544976E-02
    0.7000000000E+02    0.4098147027E+00    0.7325565739E-02
    0.9000000000E+02    0.4501685426E+00    0.8569566265E-02
    0.1100000000E+03    0.4802139850E+00    0.9667200401E-02
    0.1300000000E+03    0.5034357680E+00    0.1065839176E-01
    0.1500000000E+03    0.5219080016E+00    0.1156856845E-01
    0.1700000000E+03    0.5369421879E+00    0.1241488925E-01
    0.1900000000E+03    0.5494081124E+00    0.1320946872E-01
    0.2100000000E+03    0.5599053052E+00    0.1396117686E-01
    0.2300000000E+03    0.5688604003E+00    0.1467670495E-01
    0.2500000000E+03    0.5765852435E+00    0.1536122802E-01
    0.2700000000E+03    0.5833130457E+00    0.1601883389E-01
    0.2900000000E+03    0.5892216850E+00    0.1665281042E-01
    0.3100000000E+03    0.5944491887E+00    0.1726584384E-01
    0.3300000000E+03    0.5991042933E+00    0.1786015902E-01
    0.3500000000E+03    0.6032738175E+00    0.1843762106E-01
