     Pressure (Pa)     C7-500 (mol/kg)        3mC6-500 (mol/kg)
    0.1000000000E+01    0.1003931811E-02    0.9856243882E-02
    0.3000000000E+01    0.2918210939E-02    0.2865330543E-01
    0.5000000000E+01    0.4717091856E-02    0.4632145141E-01
    0.7000000000E+01    0.6410682209E-02    0.6295943951E-01
    0.9000000000E+01    0.8007943316E-02    0.7865483408E-01
    0.1100000000E+02    0.9516848158E-02    0.9348554829E-01
    0.1300000000E+02    0.1094451395E-01    0.1075211382E+00
    0.1500000000E+02    0.1229731394E-01    0.1208238940E+00
    0.1700000000E+02    0.1358097209E-01    0.1334497645E+00
    0.1900000000E+02    0.1480064373E-01    0.1454491445E+00
    0.2100000000E+02    0.1596098440E-01    0.1568675468E+00
    0.2300000000E+02    0.1706620901E-01    0.1677461797E+00
    0.2500000000E+02    0.1812014271E-01    0.1781224441E+00
    0.2700000000E+02    0.1912626495E-01    0.1880303632E+00
    0.2900000000E+02    0.2008774761E-01    0.1975009557E+00
    0.3100000000E+02    0.2100748831E-01    0.2065625599E+00
    0.3300000000E+02    0.2188813936E-01    0.2152411174E+00
    0.3500000000E+02    0.2273213319E-01    0.2235604211E+00
    0.3700000000E+02    0.2354170468E-01    0.2315423330E+00
    0.3900000000E+02    0.2431891079E-01    0.2392069768E+00
    0.4100000000E+02    0.2506564793E-01    0.2465729065E+00
    0.4300000000E+02    0.2578366733E-01    0.2536572570E+00
    0.4500000000E+02    0.2647458861E-01    0.2604758774E+00
    0.4700000000E+02    0.2713991198E-01    0.2670434488E+00
    0.4900000000E+02    0.2778102902E-01    0.2733735906E+00
    0.5100000000E+02    0.2839923230E-01    0.2794789541E+00
    0.5300000000E+02    0.2899572409E-01    0.2853713078E+00
    0.5500000000E+02    0.2957162405E-01    0.2910616123E+00
    0.5700000000E+02    0.3012797623E-01    0.2965600891E+00
    0.5900000000E+02    0.3066575534E-01    0.3018762815E+00
    0.6100000000E+02    0.3118587243E-01    0.3070191100E+00
    0.6300000000E+02    0.3168917996E-01    0.3119969223E+00
    0.6500000000E+02    0.3217647646E-01    0.3168175387E+00
    0.6700000000E+02    0.3264851073E-01    0.3214882929E+00
    0.6900000000E+02    0.3310598564E-01    0.3260160694E+00
    0.7100000000E+02    0.3354956160E-01    0.3304073371E+00
    0.7300000000E+02    0.3397985972E-01    0.3346681808E+00
    0.7500000000E+02    0.3439746467E-01    0.3388043286E+00
    0.7700000000E+02    0.3480292736E-01    0.3428211781E+00
    0.7900000000E+02    0.3519676728E-01    0.3467238198E+00
    0.8100000000E+02    0.3557947475E-01    0.3505170585E+00
    0.8300000000E+02    0.3595151293E-01    0.3542054333E+00
    0.8500000000E+02    0.3631331967E-01    0.3577932355E+00
    0.8700000000E+02    0.3666530919E-01    0.3612845254E+00
    0.8900000000E+02    0.3700787371E-01    0.3646831477E+00
    0.9100000000E+02    0.3734138484E-01    0.3679927453E+00
    0.9300000000E+02    0.3766619493E-01    0.3712167729E+00
    0.9500000000E+02    0.3798263831E-01    0.3743585084E+00
    0.9700000000E+02    0.3829103242E-01    0.3774210647E+00
    0.9900000000E+02    0.3859167887E-01    0.3804073994E+00
    0.1000000000E+02    0.8772976789E-02    0.8617374679E-01
    0.3000000000E+02    0.2055266450E-01    0.2020812069E+00
    0.5000000000E+02    0.2809291772E-01    0.2764536143E+00
    0.7000000000E+02    0.3332947128E-01    0.3282283779E+00
    0.9000000000E+02    0.3717573849E-01    0.3663488544E+00
    0.1100000000E+03    0.4011888538E-01    0.3955888564E+00
    0.1300000000E+03    0.4244243689E-01    0.4187289469E+00
