pressure,muc,muc_err,molkg,molkg_err,_
0.01,0.0000000000,0.0000000000,0.0000000000,0.0000000000,
0.05,0.0000000000,0.0000000000,0.0000000000,0.0000000000,
0.1,0.0000000000,0.0000000000,0.0000000000,0.0000000000,
0.5,0.0000028571,0.0000021321,0.0000004953,0.0000003696,
1,0.0000053571,0.0000028260,0.0000009288,0.0000004899,
10,0.0000494643,0.0000139682,0.0000085755,0.0000024216,
1e2,0.0004916071,0.0000189023,0.0000852287,0.0000032770,
1e3,0.0049233929,0.0001089484,0.0008535563,0.0000188881,
1e4,0.0492446429,0.0008022255,0.0085374209,0.0001390798,
1e5,0.4574867857,0.0077123080,0.0793133426,0.0013370636,
1e6,2.3022091071,0.0132321663,0.3991282490,0.0022940277,
1e7,3.6194398214,0.0063134435,0.6274932515,0.0010945460,
1e8,4.0792866071,0.0162493480,0.7072157414,0.0028171089,
5,0.0000246429,0.0000047418,0.0000042723,0.0000008221,
50,0.0002464286,0.0000103092,0.0000427227,0.0000017873,
5e2,0.0024505357,0.0000524064,0.0004248433,0.0000090856,
5e3,0.0250346429,0.0004794325,0.0043401936,0.0000831180,
5e4,0.2388842857,0.0022373320,0.0414147726,0.0003878807,
5e5,1.6116210714,0.0109426020,0.2794027242,0.0018970916,
5e6,3.4128576786,0.0086552259,0.5916786208,0.0015005349,
5e7,3.9469730357,0.0059834509,0.6842768676,0.0010373359,
