     Pressure (Pa)     22mC5-400 (mol/kg)     23mC5-400 (mol/kg)
    0.1000000000E+01    0.7371957919E-02    0.5547614865E-03
    0.3000000000E+01    0.2161210473E-01    0.1626408517E-02
    0.5000000000E+01    0.3521795665E-01    0.2650365156E-02
    0.7000000000E+01    0.4823096851E-01    0.3629747297E-02
    0.9000000000E+01    0.6068905978E-01    0.4567405141E-02
    0.1100000000E+02    0.7262698360E-01    0.5465950931E-02
    0.1300000000E+02    0.8407665047E-01    0.6327783274E-02
    0.1500000000E+02    0.9506741310E-01    0.7155108550E-02
    0.1700000000E+02    0.1056263176E+00    0.7949959787E-02
    0.1900000000E+02    0.1157783258E+00    0.8714213361E-02
    0.2100000000E+02    0.1255465122E+00    0.9449603800E-02
    0.2300000000E+02    0.1349522387E+00    0.1015773694E-01
    0.2500000000E+02    0.1440153112E+00    0.1084010164E-01
    0.2700000000E+02    0.1527541184E+00    0.1149808025E-01
    0.2900000000E+02    0.1611857561E+00    0.1213295796E-01
    0.3100000000E+02    0.1693261394E+00    0.1274593122E-01
    0.3300000000E+02    0.1771901024E+00    0.1333811520E-01
    0.3500000000E+02    0.1847914888E+00    0.1391055066E-01
    0.3700000000E+02    0.1921432330E+00    0.1446421001E-01
    0.3900000000E+02    0.1992574337E+00    0.1500000281E-01
    0.4100000000E+02    0.2061454201E+00    0.1551878084E-01
    0.4300000000E+02    0.2128178124E+00    0.1602134254E-01
    0.4500000000E+02    0.2192845761E+00    0.1650843715E-01
    0.4700000000E+02    0.2255550719E+00    0.1698076847E-01
    0.4900000000E+02    0.2316381010E+00    0.1743899821E-01
    0.1000000000E+02    0.6672098511E-01    0.5021412387E-02
    0.3000000000E+02    0.1652914032E+00    0.1244211113E-01
    0.5000000000E+02    0.2346119230E+00    0.1766302104E-01
    0.7000000000E+02    0.2860194612E+00    0.2153646337E-01
    0.9000000000E+02    0.3256625642E+00    0.2452475948E-01
    0.1100000000E+03    0.3571647638E+00    0.2690040934E-01
    0.1300000000E+03    0.3828000676E+00    0.2883444943E-01
    0.1500000000E+03    0.4040677022E+00    0.3043965831E-01
    0.1700000000E+03    0.4219961821E+00    0.3179341656E-01
    0.1900000000E+03    0.4373146006E+00    0.3295058555E-01
    0.2100000000E+03    0.4505541959E+00    0.3395114459E-01
    0.2300000000E+03    0.4621112020E+00    0.3482491724E-01
