     Pressure (Pa)     22mC5-400 (mol/kg)     23mC5-400 (mol/kg)
    0.1000000000E+01    0.1061267520E-02    0.1677121766E-02
    0.3000000000E+01    0.3158381791E-02    0.4991229143E-02
    0.5000000000E+01    0.5222272666E-02    0.8252880689E-02
    0.7000000000E+01    0.7253723161E-02    0.1146331232E-01
    0.9000000000E+01    0.9253491883E-02    0.1462372144E-01
    0.1100000000E+02    0.1122231397E-01    0.1773526839E-01
    0.1300000000E+02    0.1316090199E-01    0.2079907792E-01
    0.1500000000E+02    0.1506994682E-01    0.2381624052E-01
    0.1700000000E+02    0.1695011841E-01    0.2678781368E-01
    0.1900000000E+02    0.1880206665E-01    0.2971482322E-01
    0.2100000000E+02    0.2062642205E-01    0.3259826436E-01
    0.2300000000E+02    0.2242379648E-01    0.3543910293E-01
    0.2500000000E+02    0.2419478387E-01    0.3823827642E-01
    0.2700000000E+02    0.2593996082E-01    0.4099669499E-01
    0.2900000000E+02    0.2765988728E-01    0.4371524252E-01
    0.3100000000E+02    0.2935510711E-01    0.4639477746E-01
    0.3300000000E+02    0.3102614865E-01    0.4903613384E-01
    0.3500000000E+02    0.3267352531E-01    0.5164012206E-01
    0.3700000000E+02    0.3429773604E-01    0.5420752974E-01
    0.3900000000E+02    0.3589926590E-01    0.5673912253E-01
    0.4100000000E+02    0.3747858646E-01    0.5923564484E-01
    0.4300000000E+02    0.3903615633E-01    0.6169782062E-01
    0.4500000000E+02    0.4057242160E-01    0.6412635400E-01
    0.4700000000E+02    0.4208781621E-01    0.6652193002E-01
    0.4900000000E+02    0.4358276241E-01    0.6888521521E-01
    0.1000000000E+02    0.1024172620E-01    0.1618553157E-01
    0.3000000000E+02    0.2851055215E-01    0.4505983387E-01
    0.5000000000E+02    0.4432269621E-01    0.7005495216E-01
    0.7000000000E+02    0.5814231721E-01    0.9190357837E-01
    0.9000000000E+02    0.7032358187E-01    0.1111648052E+00
    0.1100000000E+03    0.8114142268E-01    0.1282726663E+00
    0.1300000000E+03    0.9081252140E-01    0.1435692521E+00
    0.1500000000E+03    0.9950995960E-01    0.1573278316E+00
