     Pressure (Pa)     22mC5-400 (mol/kg)     33mC5-400 (mol/kg)     23mC5-400 (mol/kg)
    0.1000000000E+01    0.2120116528E-02    0.1304119914E-03    0.1302942991E-02
    0.3000000000E+01    0.6295405374E-02    0.3885039546E-03    0.3868952368E-02
    0.5000000000E+01    0.1038632002E-01    0.6430685632E-03    0.6383154473E-02
    0.7000000000E+01    0.1439542733E-01    0.8942387537E-03    0.8847124959E-02
    0.9000000000E+01    0.1832519075E-01    0.1142141508E-02    0.1126237599E-01
    0.1100000000E+02    0.2217797540E-01    0.1386898162E-02    0.1363035939E-01
    0.1300000000E+02    0.2595605298E-01    0.1628624698E-02    0.1595246965E-01
    0.1500000000E+02    0.2966160630E-01    0.1867432019E-02    0.1823004669E-01
    0.1700000000E+02    0.3329673358E-01    0.2103426205E-02    0.2046437852E-01
    0.1900000000E+02    0.3686345252E-01    0.2336708757E-02    0.2265670375E-01
    0.2100000000E+02    0.4036370414E-01    0.2567376826E-02    0.2480821388E-01
    0.2300000000E+02    0.4379935633E-01    0.2795523428E-02    0.2692005558E-01
    0.2500000000E+02    0.4717220733E-01    0.3021237646E-02    0.2899333272E-01
    0.2700000000E+02    0.5048398889E-01    0.3244604825E-02    0.3102910839E-01
    0.2900000000E+02    0.5373636934E-01    0.3465706750E-02    0.3302840674E-01
    0.3100000000E+02    0.5693095647E-01    0.3684621821E-02    0.3499221478E-01
    0.3300000000E+02    0.6006930023E-01    0.3901425208E-02    0.3692148400E-01
    0.3500000000E+02    0.6315289532E-01    0.4116189010E-02    0.3881713198E-01
    0.3700000000E+02    0.6618318365E-01    0.4328982400E-02    0.4068004392E-01
    0.3900000000E+02    0.6916155661E-01    0.4539871753E-02    0.4251107397E-01
    0.4100000000E+02    0.7208935731E-01    0.4748920788E-02    0.4431104669E-01
    0.4300000000E+02    0.7496788261E-01    0.4956190679E-02    0.4608075822E-01
    0.4500000000E+02    0.7779838514E-01    0.5161740179E-02    0.4782097756E-01
    0.4700000000E+02    0.8058207513E-01    0.5365625726E-02    0.4953244769E-01
    0.4900000000E+02    0.8332012222E-01    0.5567901549E-02    0.5121588669E-01
    0.1000000000E+02    0.2026106131E-01    0.1264905726E-02    0.1245218768E-01
    0.3000000000E+02    0.5534078888E-01    0.3575432870E-02    0.3401468677E-01
    0.5000000000E+02    0.8467238451E-01    0.5668452182E-02    0.5204731235E-01
    0.7000000000E+02    0.1095775499E+00    0.7606602073E-02    0.6736146204E-01
    0.9000000000E+02    0.1309996795E+00    0.9432021464E-02    0.8053632397E-01
    0.1100000000E+03    0.1496303154E+00    0.1117368466E-01    0.9199648921E-01
    0.1300000000E+03    0.1659880865E+00    0.1285188496E-01    0.1020604030E+00
    0.1500000000E+03    0.1804697125E+00    0.1448106114E-01    0.1109716709E+00
    0.1700000000E+03    0.1933839538E+00    0.1607162665E-01    0.1189198985E+00
    0.1900000000E+03    0.2049748046E+00    0.1763118065E-01    0.1260549281E+00
    0.2100000000E+03    0.2154377045E+00    0.1916532572E-01    0.1324967904E+00
    0.2300000000E+03    0.2249311035E+00    0.2067822981E-01    0.1383428048E+00
    0.2500000000E+03    0.2335848641E+00    0.2217301824E-01    0.1436727369E+00
    0.2700000000E+03    0.2415064656E+00    0.2365205106E-01    0.1485526078E+00
    0.2900000000E+03    0.2487856556E+00    0.2511712169E-01    0.1530375497E+00
    0.3100000000E+03    0.2554979826E+00    0.2656960071E-01    0.1571739754E+00
    0.3300000000E+03    0.2617075141E+00    0.2801054102E-01    0.1610012463E+00
    0.3500000000E+03    0.2674689503E+00    0.2944075543E-01    0.1645529711E+00
    0.3700000000E+03    0.2728292857E+00    0.3086087439E-01    0.1678580257E+00
    0.3900000000E+03    0.2778291274E+00    0.3227138923E-01    0.1709413626E+00
    0.4100000000E+03    0.2825037507E+00    0.3367268476E-01    0.1738246595E+00
    0.4300000000E+03    0.2868839512E+00    0.3506506404E-01    0.1765268420E+00
    0.4500000000E+03    0.2909967374E+00    0.3644876720E-01    0.1790645096E+00
    0.4700000000E+03    0.2948658985E+00    0.3782398596E-01    0.1814522842E+00
    0.4900000000E+03    0.2985124727E+00    0.3919087470E-01    0.1837030971E+00
    0.1000000000E+03    0.1406281684E+00    0.1031189000E-01    0.8645878341E-01
    0.3000000000E+03    0.2522084310E+00    0.2584486292E-01    0.1551467185E+00
    0.5000000000E+03    0.3002582086E+00    0.3987123551E-01    0.1847807814E+00
    0.7000000000E+03    0.3270726730E+00    0.5306274450E-01    0.2013483288E+00
    0.9000000000E+03    0.3441753399E+00    0.6549613412E-01    0.2119344442E+00
    0.1100000000E+04    0.3560253882E+00    0.7721370692E-01    0.2192825406E+00
    0.1300000000E+04    0.3647151665E+00    0.8826068967E-01    0.2246806915E+00
    0.1500000000E+04    0.3713568218E+00    0.9868402869E-01    0.2288139679E+00
    0.1700000000E+04    0.3765959996E+00    0.1085296323E+00    0.2320803232E+00
    0.1900000000E+04    0.3808331140E+00    0.1178408625E+00    0.2347267084E+00
    0.2100000000E+04    0.3843296077E+00    0.1266579226E+00    0.2369144631E+00
    0.2300000000E+04    0.3872633842E+00    0.1350177236E+00    0.2387534399E+00
    0.2500000000E+04    0.3897596783E+00    0.1429539855E+00    0.2403210160E+00
    0.2700000000E+04    0.3919091869E+00    0.1504974433E+00    0.2416732629E+00
    0.2900000000E+04    0.3937791967E+00    0.1576760920E+00    0.2428518042E+00
    0.3100000000E+04    0.3954206720E+00    0.1645154375E+00    0.2438881855E+00
    0.3300000000E+04    0.3968729169E+00    0.1710387364E+00    0.2448067495E+00
    0.3500000000E+04    0.3981667260E+00    0.1772672196E+00    0.2456265804E+00
    0.3700000000E+04    0.3993265670E+00    0.1832202946E+00    0.2463628504E+00
    0.3900000000E+04    0.4003721247E+00    0.1889157286E+00    0.2470277731E+00
    0.4100000000E+04    0.4013194140E+00    0.1943698120E+00    0.2476312912E+00
    0.4300000000E+04    0.4021815962E+00    0.1995975048E+00    0.2481815808E+00
    0.4500000000E+04    0.4029695870E+00    0.2046125662E+00    0.2486854268E+00
    0.4700000000E+04    0.4036925152E+00    0.2094276708E+00    0.2491485070E+00
    0.4900000000E+04    0.4043580737E+00    0.2140545116E+00    0.2495756090E+00
    0.1000000000E+04    0.3505936863E+00    0.7144165110E-01    0.2159127604E+00
    0.3000000000E+04    0.3946258140E+00    0.1611366741E+00    0.2433861009E+00
    0.5000000000E+04    0.4046714188E+00    0.2163007418E+00    0.2497769631E+00
    0.7000000000E+04    0.4090905560E+00    0.2535710701E+00    0.2526409197E+00
    0.9000000000E+04    0.4115655763E+00    0.2804314396E+00    0.2542744910E+00
    0.1100000000E+05    0.4131430828E+00    0.3007072509E+00    0.2553347217E+00
    0.1300000000E+05    0.4142335275E+00    0.3165548885E+00    0.2560809312E+00
    0.1500000000E+05    0.4150305655E+00    0.3292820152E+00    0.2566362348E+00
    0.1700000000E+05    0.4156374056E+00    0.3397276217E+00    0.2570666536E+00
    0.1900000000E+05    0.4161140501E+00    0.3484546979E+00    0.2574108062E+00
    0.2100000000E+05    0.4164977394E+00    0.3558550915E+00    0.2576928083E+00
    0.2300000000E+05    0.4168127977E+00    0.3622099416E+00    0.2579285074E+00
    0.2500000000E+05    0.4170757778E+00    0.3677261961E+00    0.2581287534E+00
    0.2700000000E+05    0.4172983303E+00    0.3725595686E+00    0.2583012294E+00
    0.2900000000E+05    0.4174888899E+00    0.3768294697E+00    0.2584515314E+00
    0.3100000000E+05    0.4176537110E+00    0.3806290031E+00    0.2585838340E+00
    0.3300000000E+05    0.4177975278E+00    0.3840318321E+00    0.2587013162E+00
    0.3500000000E+05    0.4179239889E+00    0.3870970016E+00    0.2588064427E+00
    0.3700000000E+05    0.4180359502E+00    0.3898723931E+00    0.2589011543E+00
    0.3900000000E+05    0.4181356790E+00    0.3923972436E+00    0.2589870012E+00
    0.4100000000E+05    0.4182249973E+00    0.3947040124E+00    0.2590652366E+00
    0.4300000000E+05    0.4183053859E+00    0.3968197839E+00    0.2591368848E+00
    0.4500000000E+05    0.4183780602E+00    0.3987673358E+00    0.2592027921E+00
    0.4700000000E+05    0.4184440270E+00    0.4005659626E+00    0.2592636632E+00
    0.4900000000E+05    0.4185041272E+00    0.4022321165E+00    0.2593200906E+00
