     Pressure (Pa)     3mC6-400 (mol/kg)     33mC5-400 (mol/kg)     23mC5-400 (mol/kg)     C7-400 (mol/kg)
    0.1000000000E+01    0.3679066655E-02    0.5175515565E-03    0.1869512999E-03    0.5117261042E-02
    0.3000000000E+01    0.1074686368E-01    0.1518416612E-02    0.5599695766E-03    0.1494987828E-01
    0.5000000000E+01    0.1745249884E-01    0.2476704299E-02    0.9318146125E-03    0.2428111195E-01
    0.7000000000E+01    0.2382327766E-01    0.3395765826E-02    0.1302493385E-02    0.3314870572E-01
    0.9000000000E+01    0.2988382379E-01    0.4278610906E-02    0.1672012814E-02    0.4158669903E-01
    0.1100000000E+02    0.3565640048E-01    0.5127949610E-02    0.2040379764E-02    0.4962587091E-01
    0.1300000000E+02    0.4116118689E-01    0.5946228249E-02    0.2407601043E-02    0.5729412149E-01
    0.1500000000E+02    0.4641651649E-01    0.6735660270E-02    0.2773683401E-02    0.6461680114E-01
    0.1700000000E+02    0.5143908347E-01    0.7498252943E-02    0.3138633537E-02    0.7161699546E-01
    0.1900000000E+02    0.5624412203E-01    0.8235830482E-02    0.3502458094E-02    0.7831577287E-01
    0.2100000000E+02    0.6084556265E-01    0.8950054163E-02    0.3865163661E-02    0.8473240041E-01
    0.2300000000E+02    0.6525616874E-01    0.9642439859E-02    0.4226756774E-02    0.9088453244E-01
    0.2500000000E+02    0.6948765641E-01    0.1031437338E-01    0.4587243916E-02    0.9678837601E-01
    0.2700000000E+02    0.7355079977E-01    0.1096712394E-01    0.4946631519E-02    0.1024588364E+00
    0.2900000000E+02    0.7745552386E-01    0.1160185599E-01    0.5304925962E-02    0.1079096454E+00
    0.3100000000E+02    0.8121098671E-01    0.1221963964E-01    0.5662133573E-02    0.1131534745E+00
    0.3300000000E+02    0.8482565206E-01    0.1282145991E-01    0.6018260632E-02    0.1182020359E+00
    0.3500000000E+02    0.8830735403E-01    0.1340822488E-01    0.6373313366E-02    0.1230661709E+00
    0.3700000000E+02    0.9166335461E-01    0.1398077298E-01    0.6727297953E-02    0.1277559303E+00
    0.3900000000E+02    0.9490039502E-01    0.1453987943E-01    0.7080220522E-02    0.1322806448E+00
    0.4100000000E+02    0.9802474160E-01    0.1508626200E-01    0.7432087156E-02    0.1366489885E+00
    0.4300000000E+02    0.1010422269E+00    0.1562058617E-01    0.7782903886E-02    0.1408690358E+00
    0.4500000000E+02    0.1039582868E+00    0.1614346975E-01    0.8132676697E-02    0.1449483124E+00
    0.4700000000E+02    0.1067779935E+00    0.1665548701E-01    0.8481411528E-02    0.1488938411E+00
    0.4900000000E+02    0.1095060853E+00    0.1715717240E-01    0.8829114270E-02    0.1527121834E+00
    0.1000000000E+02    0.3280480123E-01    0.4707309863E-02    0.1856339923E-02    0.4565433050E-01
    0.3000000000E+02    0.7935136848E-01    0.1191280291E-01    0.5483665228E-02    0.1105566790E+00
    0.5000000000E+02    0.1108371720E+00    0.1740429759E-01    0.9002580437E-02    0.1545755932E+00
    0.7000000000E+02    0.1335862121E+00    0.2190884088E-01    0.1241912428E-01    0.1864644199E+00
    0.9000000000E+02    0.1508113145E+00    0.2578180025E-01    0.1573887961E-01    0.2106739917E+00
    0.1100000000E+03    0.1643189225E+00    0.2921638174E-01    0.1896701602E-01    0.2297089567E+00
    0.1300000000E+03    0.1752033521E+00    0.3232651631E-01    0.2210832783E-01    0.2450878740E+00
    0.1500000000E+03    0.1841665922E+00    0.3518392456E-01    0.2516726786E-01    0.2577856987E+00
    0.1700000000E+03    0.1916798837E+00    0.3783628995E-01    0.2814797765E-01    0.2684574627E+00
    0.1900000000E+03    0.1980714704E+00    0.4031683597E-01    0.3105431449E-01    0.2775598132E+00
