     Pressure (Pa)     3mC6-400 (mol/kg)     33mC5-400 (mol/kg)     23mC5-400 (mol/kg)     C7-400 (mol/kg)
    0.1000000000E+01    0.2106560722E-02    0.7775640691E-03    0.9346446143E-04    0.5127522298E-02
    0.3000000000E+01    0.6177373886E-02    0.2288164797E-02    0.2798845702E-03    0.1503782012E-01
    0.5000000000E+01    0.1006900883E-01    0.3742814039E-02    0.4656302425E-03    0.2451401407E-01
    0.7000000000E+01    0.1379317525E-01    0.5145289511E-02    0.6507062164E-03    0.3358443048E-01
    0.9000000000E+01    0.1736058131E-01    0.6499034682E-02    0.8351171837E-03    0.4227497481E-01
    0.1100000000E+02    0.2078103857E-01    0.7807194547E-02    0.1018867790E-02    0.5060938513E-01
    0.1300000000E+02    0.2406355399E-01    0.9072646932E-02    0.1201962638E-02    0.5860945434E-01
    0.1500000000E+02    0.2721641076E-01    0.1029802997E-01    0.1384406282E-02    0.6629522566E-01
    0.1700000000E+02    0.3024723969E-01    0.1148576629E-01    0.1566203236E-02    0.7368516496E-01
    0.1900000000E+02    0.3316308224E-01    0.1263808432E-01    0.1747357968E-02    0.8079631314E-01
    0.2100000000E+02    0.3597044635E-01    0.1375703720E-01    0.1927874906E-02    0.8764442110E-01
    0.2300000000E+02    0.3867535615E-01    0.1484451946E-01    0.2107758432E-02    0.9424406978E-01
    0.2500000000E+02    0.4128339611E-01    0.1590228193E-01    0.2287012888E-02    0.1006087769E+00
    0.2700000000E+02    0.4379975047E-01    0.1693194492E-01    0.2465642575E-02    0.1067510924E+00
    0.2900000000E+02    0.4622923852E-01    0.1793501011E-01    0.2643651753E-02    0.1126826833E+00
    0.3100000000E+02    0.4857634621E-01    0.1891287102E-01    0.2821044641E-02    0.1184144108E+00
    0.3300000000E+02    0.5084525450E-01    0.1986682255E-01    0.2997825418E-02    0.1239563980E+00
    0.3500000000E+02    0.5303986489E-01    0.2079806943E-01    0.3173998225E-02    0.1293180923E+00
    0.3700000000E+02    0.5516382240E-01    0.2170773389E-01    0.3349567161E-02    0.1345083204E+00
    0.3900000000E+02    0.5722053639E-01    0.2259686250E-01    0.3524536291E-02    0.1395353392E+00
    0.4100000000E+02    0.5921319926E-01    0.2346643244E-01    0.3698909638E-02    0.1444068805E+00
    0.4300000000E+02    0.6114480352E-01    0.2431735708E-01    0.3872691189E-02    0.1491301925E+00
    0.4500000000E+02    0.6301815719E-01    0.2515049103E-01    0.4045884895E-02    0.1537120772E+00
    0.4700000000E+02    0.6483589785E-01    0.2596663484E-01    0.4218494668E-02    0.1581589239E+00
    0.4900000000E+02    0.6660050537E-01    0.2676653910E-01    0.4390524385E-02    0.1624767405E+00
    0.1000000000E+02    0.1908859774E-01    0.7158626991E-02    0.9270747435E-03    0.4648529148E-01
    0.3000000000E+02    0.4741282176E-01    0.1842700796E-01    0.2732424971E-02    0.1155728808E+00
    0.5000000000E+02    0.6746361893E-01    0.2716062325E-01    0.4476322925E-02    0.1645890426E+00
    0.7000000000E+02    0.8243605138E-01    0.3433969902E-01    0.6162761092E-02    0.2012717474E+00
    0.9000000000E+02    0.9406306659E-01    0.4048144095E-01    0.7795379012E-02    0.2298209467E+00
    0.1100000000E+03    0.1033668502E+00    0.4588407426E-01    0.9377502042E-02    0.2527157558E+00
    0.1300000000E+03    0.1109898430E+00    0.5073189250E-01    0.1091217507E-01    0.2715153913E+00
    0.1500000000E+03    0.1173564149E+00    0.5514537910E-01    0.1240219197E-01    0.2872505314E+00
    0.1700000000E+03    0.1227583549E+00    0.5920710079E-01    0.1385012136E-01    0.3006303490E+00
    0.1900000000E+03    0.1274030263E+00    0.6297596308E-01    0.1525832922E-01    0.3121591803E+00
    0.2100000000E+03    0.1314419291E+00    0.6649548002E-01    0.1662899888E-01    0.3222057520E+00
    0.2300000000E+03    0.1349883847E+00    0.6979878734E-01    0.1796414859E-01    0.3310460635E+00
    0.2500000000E+03    0.1381288912E+00    0.7291179811E-01    0.1926564713E-01    0.3388909332E+00
    0.2700000000E+03    0.1409306467E+00    0.7585525546E-01    0.2053522765E-01    0.3459042544E+00
    0.2900000000E+03    0.1434466690E+00    0.7864610722E-01    0.2177449998E-01    0.3522154267E+00
    0.3100000000E+03    0.1457193647E+00    0.8129845047E-01    0.2298496163E-01    0.3579280235E+00
    0.3300000000E+03    0.1477830694E+00    0.8382419604E-01    0.2416800760E-01    0.3631259645E+00
    0.3500000000E+03    0.1496658894E+00    0.8623354600E-01    0.2532493920E-01    0.3678779930E+00
    0.3700000000E+03    0.1513910603E+00    0.8853534361E-01    0.2645697192E-01    0.3722409785E+00
    0.3900000000E+03    0.1529779630E+00    0.9073733436E-01    0.2756524256E-01    0.3762623904E+00
    0.4100000000E+03    0.1544428961E+00    0.9284636407E-01    0.2865081562E-01    0.3799821756E+00
    0.4300000000E+03    0.1557996679E+00    0.9486853154E-01    0.2971468909E-01    0.3834342018E+00
    0.4500000000E+03    0.1570600574E+00    0.9680930785E-01    0.3075779967E-01    0.3866473795E+00
    0.4700000000E+03    0.1582341758E+00    0.9867363098E-01    0.3178102753E-01    0.3896465434E+00
    0.4900000000E+03    0.1593307535E+00    0.1004659816E+00    0.3278520057E-01    0.3924531513E+00
    0.1000000000E+03    0.9895871725E-01    0.4326170927E-01    0.8592555874E-02    0.2418619665E+00
    0.3000000000E+03    0.1446111219E+00    0.7998880308E-01    0.2238324266E-01    0.3551409006E+00
    0.5000000000E+03    0.1598523726E+00    0.1013364579E+00    0.3328038695E-01    0.3937901690E+00
    0.7000000000E+03    0.1676159532E+00    0.1157971370E+00    0.4235091607E-01    0.4138744743E+00
    0.9000000000E+03    0.1723582824E+00    0.1261687024E+00    0.5017630224E-01    0.4263774068E+00
    0.1100000000E+04    0.1755687943E+00    0.1338674894E+00    0.5710385012E-01    0.4349973059E+00
    0.1300000000E+04    0.1778917390E+00    0.1397189742E+00    0.6335562494E-01    0.4413452402E+00
    0.1500000000E+04    0.1796527463E+00    0.1442421817E+00    0.6908130077E-01    0.4462410889E+00
    0.1700000000E+04    0.1810347041E+00    0.1477807446E+00    0.7438608963E-01    0.4501483957E+00
    0.1900000000E+04    0.1821484980E+00    0.1505712571E+00    0.7934652963E-01    0.4533500310E+00
    0.2100000000E+04    0.1830653883E+00    0.1527818090E+00    0.8401990971E-01    0.4560289332E+00
    0.2300000000E+04    0.1838333196E+00    0.1545349651E+00    0.8845015520E-01    0.4583089483E+00
    0.2500000000E+04    0.1844857678E+00    0.1559220814E+00    0.9267164534E-01    0.4602770765E+00
    0.2700000000E+04    0.1850468346E+00    0.1570125518E+00    0.9671177083E-01    0.4619963297E+00
    0.2900000000E+04    0.1855343246E+00    0.1578599618E+00    0.1005926959E+00    0.4635135323E+00
    0.3100000000E+04    0.1859616829E+00    0.1585062921E+00    0.1043326021E+00    0.4648642490E+00
    0.3300000000E+04    0.1863392566E+00    0.1589848560E+00    0.1079465860E+00    0.4660760070E+00
    0.3500000000E+04    0.1866751414E+00    0.1593223929E+00    0.1114473183E+00    0.4671704662E+00
    0.3700000000E+04    0.1869757638E+00    0.1595405866E+00    0.1148455375E+00    0.4681649175E+00
    0.3900000000E+04    0.1872462921E+00    0.1596571851E+00    0.1181504243E+00    0.4690733430E+00
    0.4100000000E+04    0.1874909300E+00    0.1596868375E+00    0.1213698899E+00    0.4699071787E+00
    0.4300000000E+04    0.1877131328E+00    0.1596417278E+00    0.1245108012E+00    0.4706758751E+00
