     Pressure (Pa)     3mC6-400 (mol/kg)     33mC5-400 (mol/kg)     23mC5-400 (mol/kg)     C7-400 (mol/kg)
    0.1000000000E+01    0.1060306661E-02    0.7163029336E-03    0.5604392037E-03    0.1720519961E-02
    0.3000000000E+01    0.3149879724E-02    0.2128114752E-02    0.1676196981E-02    0.5111423711E-02
    0.5000000000E+01    0.5199093014E-02    0.3512860107E-02    0.2785189903E-02    0.8437135984E-02
    0.7000000000E+01    0.7209136530E-02    0.4871302762E-02    0.3887492166E-02    0.1169957609E-01
    0.9000000000E+01    0.9181153641E-02    0.6204177034E-02    0.4983176848E-02    0.1490058819E-01
    0.1100000000E+02    0.1111624335E-01    0.7512189217E-02    0.6072315942E-02    0.1804194494E-01
    0.1300000000E+02    0.1301546244E-01    0.8796018934E-02    0.7154980363E-02    0.2112535094E-01
    0.1500000000E+02    0.1487982747E-01    0.1005632041E-01    0.8231239981E-02    0.2415244596E-01
    0.1700000000E+02    0.1671031667E-01    0.1129372365E-01    0.9301163629E-02    0.2712480802E-01
    0.1900000000E+02    0.1850787177E-01    0.1250883560E-01    0.1036481913E-01    0.3004395626E-01
    0.2100000000E+02    0.2027339965E-01    0.1370224118E-01    0.1142227331E-01    0.3291135367E-01
    0.2300000000E+02    0.2200777395E-01    0.1487450433E-01    0.1247359203E-01    0.3572840967E-01
    0.2500000000E+02    0.2371183659E-01    0.1602616892E-01    0.1351884018E-01    0.3849648255E-01
    0.2700000000E+02    0.2538639922E-01    0.1715775967E-01    0.1455808171E-01    0.4121688175E-01
    0.2900000000E+02    0.2703224452E-01    0.1826978303E-01    0.1559137965E-01    0.4389087009E-01
    0.3100000000E+02    0.2865012753E-01    0.1936272793E-01    0.1661879613E-01    0.4651966576E-01
    0.3300000000E+02    0.3024077683E-01    0.2043706658E-01    0.1764039237E-01    0.4910444436E-01
    0.3500000000E+02    0.3180489572E-01    0.2149325519E-01    0.1865622874E-01    0.5164634068E-01
    0.3700000000E+02    0.3334316328E-01    0.2253173468E-01    0.1966636474E-01    0.5414645051E-01
