     Pressure (Pa)     3mC6-400 (mol/kg)     33mC5-400 (mol/kg)     23mC5-400 (mol/kg)     C7-400 (mol/kg)
    0.1000000000E+01    0.1047686823E-02    0.2579726825E-03    0.7473806363E-03    0.1020085484E-01
    0.3000000000E+01    0.3041049972E-02    0.7523741495E-03    0.2236073864E-02    0.2961409757E-01
    0.5000000000E+01    0.4909092885E-02    0.1220367243E-02    0.3716736403E-02    0.4781284509E-01
    0.7000000000E+01    0.6663278456E-02    0.1664425374E-02    0.5189439541E-02    0.6490800950E-01
    0.9000000000E+01    0.8313712731E-02    0.2086719029E-02    0.6654253709E-02    0.8099738472E-01
    0.1100000000E+02    0.9869339888E-02    0.2489160265E-02    0.8111248493E-02    0.9616753068E-01
    0.1300000000E+02    0.1133810454E-01    0.2873439644E-02    0.9560492647E-02    0.1104953418E+00
    0.1500000000E+02    0.1272708756E-01    0.3241057058E-02    0.1100205411E-01    0.1240493598E+00
    0.1700000000E+02    0.1404262038E-01    0.3593347586E-02    0.1243600000E-01    0.1368908785E+00
    0.1900000000E+02    0.1529038156E-01    0.3931503294E-02    0.1386239667E-01    0.1490748769E+00
    0.2100000000E+02    0.1647547884E-01    0.4256591684E-02    0.1528130965E-01    0.1606508129E+00
    0.2300000000E+02    0.1760251912E-01    0.4569571398E-02    0.1669280373E-01    0.1716632993E+00
    0.2500000000E+02    0.1867566837E-01    0.4871305609E-02    0.1809694293E-01    0.1821526833E+00
    0.2700000000E+02    0.1969870313E-01    0.5162573516E-02    0.1949379051E-01    0.1921555444E+00
    0.2900000000E+02    0.2067505502E-01    0.5444080223E-02    0.2088340901E-01    0.2017051248E+00
    0.3100000000E+02    0.2160784923E-01    0.5716465274E-02    0.2226586023E-01    0.2108317011E+00
    0.3300000000E+02    0.2249993795E-01    0.5980310043E-02    0.2364120525E-01    0.2195629086E+00
    0.3500000000E+02    0.2335392959E-01    0.6236144156E-02    0.2500950445E-01    0.2279240228E+00
    0.3700000000E+02    0.2417221424E-01    0.6484451094E-02    0.2637081751E-01    0.2359382063E+00
    0.3900000000E+02    0.2495698610E-01    0.6725673085E-02    0.2772520343E-01    0.2436267255E+00
    0.4100000000E+02    0.2571026310E-01    0.6960215396E-02    0.2907272053E-01    0.2510091404E+00
    0.4300000000E+02    0.2643390426E-01    0.7188450102E-02    0.3041342646E-01    0.2581034728E+00
    0.4500000000E+02    0.2712962506E-01    0.7410719415E-02    0.3174737821E-01    0.2649263546E+00
    0.4700000000E+02    0.2779901102E-01    0.7627338616E-02    0.3307463212E-01    0.2714931592E+00
    0.4900000000E+02    0.2844352978E-01    0.7838598658E-02    0.3439524390E-01    0.2778181187E+00
    0.1000000000E+02    0.9102858942E-02    0.2290310736E-02    0.7383724208E-02    0.8869234543E-01
    0.3000000000E+02    0.2114671254E-01    0.5581375336E-02    0.2157552670E-01    0.2063195028E+00
    0.5000000000E+02    0.2875689304E-01    0.7942303837E-02    0.3505307623E-01    0.2808940678E+00
    0.7000000000E+02    0.3400131204E-01    0.9790627488E-02    0.4787414145E-01    0.3324583208E+00
    0.9000000000E+02    0.3783462695E-01    0.1131337967E-01    0.6009029717E-01    0.3702749909E+00
    0.1100000000E+03    0.4075859740E-01    0.1260753218E-01    0.7174773181E-01    0.3992177885E+00
    0.1300000000E+03    0.4306222463E-01    0.1372923262E-01    0.8288793235E-01    0.4220968995E+00
