     Pressure (Pa)     3mC6-400 (mol/kg)     33mC5-400 (mol/kg)     23mC5-400 (mol/kg)     C7-400 (mol/kg)
    0.1000000000E+01    0.2638161116E-02    0.6488774683E-03    0.2803526716E-03    0.3424756309E-02
    0.3000000000E+01    0.7764507141E-02    0.1914575958E-02    0.8392889068E-03    0.1008049710E-01
    0.5000000000E+01    0.1270029213E-01    0.3139574326E-02    0.1395881827E-02    0.1649001146E-01
    0.7000000000E+01    0.1745607288E-01    0.4326159275E-02    0.1950149848E-02    0.2266691913E-01
    0.9000000000E+01    0.2204163827E-01    0.5476446306E-02    0.2502111191E-02    0.2862384987E-01
    0.1100000000E+02    0.2646607786E-01    0.6592395327E-02    0.3051783877E-02    0.3437253187E-01
    0.1300000000E+02    0.3073784329E-01    0.7675824607E-02    0.3599185734E-02    0.3992387088E-01
    0.1500000000E+02    0.3486480336E-01    0.8728423256E-02    0.4144334401E-02    0.4528802115E-01
    0.1700000000E+02    0.3885429341E-01    0.9751762422E-02    0.4687247326E-02    0.5047444914E-01
    0.1900000000E+02    0.4271315988E-01    0.1074730535E-01    0.5227941773E-02    0.5549199083E-01
    0.2100000000E+02    0.4644780034E-01    0.1171641643E-01    0.5766434821E-02    0.6034890345E-01
    0.2300000000E+02    0.5006419978E-01    0.1266036937E-01    0.6302743369E-02    0.6505291214E-01
    0.2500000000E+02    0.5356796334E-01    0.1358035456E-01    0.6836884138E-02    0.6961125217E-01
    0.2700000000E+02    0.5696434603E-01    0.1447748575E-01    0.7368873671E-02    0.7403070728E-01
    0.2900000000E+02    0.6025827965E-01    0.1535280608E-01    0.7898728338E-02    0.7831764435E-01
    0.3100000000E+02    0.6345439735E-01    0.1620729358E-01    0.8426464338E-02    0.8247804502E-01
    0.3300000000E+02    0.6655705584E-01    0.1704186615E-01    0.8952097701E-02    0.8651753445E-01
    0.3500000000E+02    0.6957035583E-01    0.1785738609E-01    0.9475644287E-02    0.9044140747E-01
    0.3700000000E+02    0.7249816049E-01    0.1865466424E-01    0.9997119796E-02    0.9425465260E-01
    0.3900000000E+02    0.7534411252E-01    0.1943446376E-01    0.1051653976E-01    0.9796197385E-01
    0.4100000000E+02    0.7811164959E-01    0.2019750356E-01    0.1103391955E-01    0.1015678108E+00
    0.4300000000E+02    0.8080401867E-01    0.2094446148E-01    0.1154927439E-01    0.1050763570E+00
    0.4500000000E+02    0.8342428904E-01    0.2167597718E-01    0.1206261934E-01    0.1084915766E+00
    0.4700000000E+02    0.8597536429E-01    0.2239265476E-01    0.1257396929E-01    0.1118172202E+00
    0.4900000000E+02    0.8845999344E-01    0.2309506523E-01    0.1308333901E-01    0.1150568387E+00
