     Pressure (Pa)     22mC5-400 (mol/kg)     2mC6-400 (mol/kg)     3mC6-400 (mol/kg)     C7-400 (mol/kg)
    0.1000000000E+01    0.5274650905E-03    0.9426136125E-02    0.2084591996E-02    0.5074249642E-02
    0.3000000000E+01    0.1551743797E-02    0.2705273842E-01    0.5993336291E-02    0.1459148959E-01
    0.5000000000E+01    0.2537698183E-02    0.4321438048E-01    0.9591907362E-02    0.2335680932E-01
    0.7000000000E+01    0.3488109823E-02    0.5808544730E-01    0.1291832747E-01    0.3146225993E-01
    0.9000000000E+01    0.4405485125E-02    0.7181329925E-01    0.1600455596E-01    0.3898522446E-01
    0.1100000000E+02    0.5292089132E-02    0.8452337606E-01    0.1887765746E-01    0.4599124307E-01
    0.1300000000E+02    0.6149974418E-02    0.9632317614E-01    0.2156070956E-01    0.5253620788E-01
    0.1500000000E+02    0.6981005891E-02    0.1073053919E+00    0.2407351511E-01    0.5866808602E-01
    0.1700000000E+02    0.7786882167E-02    0.1175504042E+00    0.2643316679E-01    0.6442828519E-01
    0.1900000000E+02    0.8569154065E-02    0.1271282836E+00    0.2865449841E-01    0.6985274537E-01
    0.2100000000E+02    0.9329240656E-02    0.1361004115E+00    0.3075044873E-01    0.7497281899E-01
    0.2300000000E+02    0.1006844325E-01    0.1445208003E+00    0.3273235689E-01    0.7981598577E-01
    0.2500000000E+02    0.1078795762E-01    0.1524371795E+00    0.3461020409E-01    0.8440643748E-01
    0.2700000000E+02    0.1148888471E-01    0.1598918919E+00    0.3639281259E-01    0.8876555951E-01
    0.2900000000E+02    0.1217224008E-01    0.1669226408E+00    0.3808801058E-01    0.9291232988E-01
    0.3100000000E+02    0.1283896216E-01    0.1735631138E+00    0.3970276960E-01    0.9686365179E-01
    0.3300000000E+02    0.1348991966E-01    0.1798435090E+00    0.4124331962E-01    0.1006346323E+00
    0.3500000000E+02    0.1412591806E-01    0.1857909786E+00    0.4271524609E-01    0.1042388170E+00
    0.3700000000E+02    0.1474770536E-01    0.1914300071E+00    0.4412357195E-01    0.1076883889E+00
    0.3900000000E+02    0.1535597728E-01    0.1967827334E+00    0.4547282746E-01    0.1109943373E+00
    0.4100000000E+02    0.1595138187E-01    0.2018692270E+00    0.4676710980E-01    0.1141666019E+00
    0.4300000000E+02    0.1653452359E-01    0.2067077261E+00    0.4801013416E-01    0.1172141969E+00
    0.4500000000E+02    0.1710596701E-01    0.2113148432E+00    0.4920527779E-01    0.1201453174E+00
    0.4700000000E+02    0.1766624018E-01    0.2157057429E+00    0.5035561797E-01    0.1229674315E+00
    0.4900000000E+02    0.1821583756E-01    0.2198942979E+00    0.5146396502E-01    0.1256873602E+00
