     Pressure (Pa)     22mC5-400 (mol/kg)     2mC6-400 (mol/kg)     3mC6-400 (mol/kg)     C7-400 (mol/kg)
    0.1000000000E+01    0.1589663425E-02    0.3133568815E-02    0.2591290645E-02    0.1345677264E-01
    0.3000000000E+01    0.4718021703E-02    0.8950568438E-02    0.7372606887E-02    0.3829620054E-01
    0.5000000000E+01    0.7780678939E-02    0.1424050647E-01    0.1168571120E-01    0.6071495589E-01
    0.7000000000E+01    0.1078021532E-01    0.1907637294E-01    0.1559736700E-01    0.8105767628E-01
    0.9000000000E+01    0.1371907331E-01    0.2351779699E-01    0.1916216401E-01    0.9960620596E-01
    0.1100000000E+02    0.1659956673E-01    0.2761399565E-01    0.2242517559E-01    0.1165932965E+00
    0.1300000000E+02    0.1942388926E-01    0.3140597448E-01    0.2542394889E-01    0.1322128683E+00
    0.1500000000E+02    0.2219412209E-01    0.3492819230E-01    0.2819001542E-01    0.1466278003E+00
    0.1700000000E+02    0.2491224118E-01    0.3820983604E-01    0.3075005157E-01    0.1599759152E+00
    0.1900000000E+02    0.2758012382E-01    0.4127580818E-01    0.3312678035E-01    0.1723746307E+00
    0.2100000000E+02    0.3019955479E-01    0.4414749950E-01    0.3533967918E-01    0.1839246100E+00
    0.2300000000E+02    0.3277223204E-01    0.4684339973E-01    0.3740554071E-01    0.1947126558E+00
    0.2500000000E+02    0.3529977191E-01    0.4937958439E-01    0.3933892125E-01    0.2048140235E+00
    0.2700000000E+02    0.3778371407E-01    0.5177010611E-01    0.4115250198E-01    0.2142942852E+00
    0.2900000000E+02    0.4022552603E-01    0.5402731172E-01    0.4285738241E-01    0.2232108440E+00
    0.3100000000E+02    0.4262660732E-01    0.5616210094E-01    0.4446332024E-01    0.2316141721E+00
    0.3300000000E+02    0.4498829350E-01    0.5818413896E-01    0.4597892883E-01    0.2395488300E+00
    0.3500000000E+02    0.4731185973E-01    0.6010203217E-01    0.4741184078E-01    0.2470543108E+00
    0.3700000000E+02    0.4959852422E-01    0.6192347434E-01    0.4876884412E-01    0.2541657437E+00
    0.3900000000E+02    0.5184945139E-01    0.6365536891E-01    0.5005599645E-01    0.2609144827E+00
    0.4100000000E+02    0.5406575487E-01    0.6530393183E-01    0.5127872099E-01    0.2673286032E+00
    0.4300000000E+02    0.5624850021E-01    0.6687477847E-01    0.5244188782E-01    0.2734333211E+00
    0.4500000000E+02    0.5839870753E-01    0.6837299750E-01    0.5354988300E-01    0.2792513501E+00
    0.4700000000E+02    0.6051735390E-01    0.6980321382E-01    0.5460666747E-01    0.2848032056E+00
    0.4900000000E+02    0.6260537566E-01    0.7116964261E-01    0.5561582758E-01    0.2901074660E+00
    0.1000000000E+02    0.1516647576E-01    0.2560631591E-01    0.2082888956E-01    0.1082820024E+00
    0.3000000000E+02    0.4143107308E-01    0.5510937759E-01    0.4367215606E-01    0.2274737489E+00
    0.5000000000E+02    0.6363818429E-01    0.7183015345E-01    0.5610357763E-01    0.2926720801E+00
    0.7000000000E+02    0.8288634697E-01    0.8247220734E-01    0.6400850386E-01    0.3343355897E+00
    0.9000000000E+02    0.9989677952E-01    0.8963569802E-01    0.6952160807E-01    0.3635314759E+00
    0.1100000000E+03    0.1151638156E+00    0.9459125043E-01    0.7360930168E-01    0.3852787094E+00
    0.1300000000E+03    0.1290384786E+00    0.9805131518E-01    0.7677493870E-01    0.4021958274E+00
    0.1500000000E+03    0.1417775139E+00    0.1004527475E+00    0.7930751736E-01    0.4157887516E+00
    0.1700000000E+03    0.1535734896E+00    0.1020806045E+00    0.8138533194E-01    0.4269880686E+00
    0.1900000000E+03    0.1645739956E+00    0.1031295716E+00    0.8312463568E-01    0.4364015323E+00
    0.2100000000E+03    0.1748942973E+00    0.1037373350E+00    0.8460463302E-01    0.4444438739E+00
    0.2300000000E+03    0.1846259153E+00    0.1040039965E+00    0.8588125012E-01    0.4514083973E+00
    0.2500000000E+03    0.1938425888E+00    0.1040039847E+00    0.8699516478E-01    0.4575087697E+00
    0.2700000000E+03    0.2026045121E+00    0.1037936802E+00    0.8797671291E-01    0.4629045817E+00
    0.2900000000E+03    0.2109614039E+00    0.1034164687E+00    0.8884900632E-01    0.4677176045E+00
    0.3100000000E+03    0.2189547693E+00    0.1029061874E+00    0.8962998123E-01    0.4720424831E+00
    0.3300000000E+03    0.2266195935E+00    0.1022895345E+00    0.9033378348E-01    0.4759539724E+00
    0.3500000000E+03    0.2339856281E+00    0.1015877891E+00    0.9097172904E-01    0.4795119612E+00
    0.3700000000E+03    0.2410783802E+00    0.1008180610E+00    0.9155298484E-01    0.4827650353E+00
    0.3900000000E+03    0.2479198827E+00    0.9999421446E-01    0.9208506094E-01    0.4857530562E+00
    0.4100000000E+03    0.2545292996E+00    0.9912756037E-01    0.9257417250E-01    0.4885090597E+00
    0.4300000000E+03    0.2609234077E+00    0.9822738158E-01    0.9302551024E-01    0.4910606755E+00
    0.4500000000E+03    0.2671169823E+00    0.9730133620E-01    0.9344344541E-01    0.4934312036E+00
    0.4700000000E+03    0.2731231091E+00    0.9635577057E-01    0.9383168708E-01    0.4956404424E+00
    0.4900000000E+03    0.2789534387E+00    0.9539596433E-01    0.9419340435E-01    0.4977053309E+00
    0.1000000000E+03    0.1077236184E+00    0.9233633250E-01    0.7170530762E-01    0.3751369054E+00
    0.3000000000E+03    0.2150012047E+00    0.1031761487E+00    0.8924994854E-01    0.4699359909E+00
    0.5000000000E+03    0.2818059800E+00    0.9491212773E-01    0.9436518306E-01    0.4986882821E+00
    0.7000000000E+03    0.3316711315E+00    0.8523797222E-01    0.9690506086E-01    0.5134349070E+00
    0.9000000000E+03    0.3713442833E+00    0.7640391911E-01    0.9844789229E-01    0.5226545073E+00
    0.1100000000E+04    0.4038995782E+00    0.6873266931E-01    0.9949292567E-01    0.5290666971E+00
    0.1300000000E+04    0.4311134621E+00    0.6215715515E-01    0.1002511170E+00    0.5338352476E+00
    0.1500000000E+04    0.4541589356E+00    0.5653014034E-01    0.1008279120E+00    0.5375487721E+00
    0.1700000000E+04    0.4738725282E+00    0.5170213766E-01    0.1012822237E+00    0.5405398247E+00
    0.1900000000E+04    0.4908789936E+00    0.4754141091E-01    0.1016496968E+00    0.5430117666E+00
    0.2100000000E+04    0.5056587846E+00    0.4393726849E-01    0.1019532323E+00    0.5450965896E+00
    0.2300000000E+04    0.5185888169E+00    0.4079839601E-01    0.1022082514E+00    0.5468840448E+00
    0.2500000000E+04    0.5299691299E+00    0.3804995438E-01    0.1024255379E+00    0.5484374859E+00
    0.2700000000E+04    0.5400413199E+00    0.3563066696E-01    0.1026128712E+00    0.5498030281E+00
    0.2900000000E+04    0.5490017856E+00    0.3349026814E-01    0.1027760109E+00    0.5510151130E+00
    0.3100000000E+04    0.5570115096E+00    0.3158738493E-01    0.1029193168E+00    0.5521000312E+00
    0.3300000000E+04    0.5642034240E+00    0.2988782012E-01    0.1030461524E+00    0.5530782319E+00
    0.3500000000E+04    0.5706880422E+00    0.2836317628E-01    0.1031591559E+00    0.5539658823E+00
    0.3700000000E+04    0.5765578172E+00    0.2698975772E-01    0.1032604271E+00    0.5547759487E+00
    0.3900000000E+04    0.5818905466E+00    0.2574769505E-01    0.1033516585E+00    0.5555189634E+00
    0.4100000000E+04    0.5867520571E+00    0.2462024608E-01    0.1034342304E+00    0.5562035781E+00
    0.4300000000E+04    0.5911983365E+00    0.2359323613E-01    0.1035092802E+00    0.5568369728E+00
    0.4500000000E+04    0.5952772394E+00    0.2265460830E-01    0.1035777535E+00    0.5574251603E+00
    0.4700000000E+04    0.5990298602E+00    0.2179406071E-01    0.1036404434E+00    0.5579732183E+00
    0.4900000000E+04    0.6024916444E+00    0.2100275258E-01    0.1036980201E+00    0.5584854672E+00
    0.1000000000E+04    0.3883816700E+00    0.7242356122E-01    0.9901583598E-01    0.5261191636E+00
    0.3000000000E+04    0.5531165978E+00    0.3251142496E-01    0.1028499132E+00    0.5515720741E+00
    0.5000000000E+04    0.6041232315E+00    0.2063064031E-01    0.1037250726E+00    0.5587293410E+00
    0.7000000000E+04    0.6271210983E+00    0.1543823720E-01    0.1040999037E+00    0.5623983898E+00
    0.9000000000E+04    0.6398182226E+00    0.1259830700E-01    0.1042982681E+00    0.5647159682E+00
    0.1100000000E+05    0.6477538753E+00    0.1081559779E-01    0.1044146222E+00    0.5663488731E+00
    0.1300000000E+05    0.6531415559E+00    0.9589649339E-02    0.1044866516E+00    0.5675797391E+00
    0.1500000000E+05    0.6570208621E+00    0.8690873010E-02    0.1045323126E+00    0.5685511445E+00
    0.1700000000E+05    0.6599390268E+00    0.8000323421E-02    0.1045612137E+00    0.5693437009E+00
    0.1900000000E+05    0.6622095414E+00    0.7450549497E-02    0.1045789367E+00    0.5700068279E+00
    0.2100000000E+05    0.6640240955E+00    0.7000542665E-02    0.1045889299E+00    0.5705727170E+00
    0.2300000000E+05    0.6655061261E+00    0.6623955344E-02    0.1045934272E+00    0.5710633505E+00
    0.2500000000E+05    0.6667385331E+00    0.6303084181E-02    0.1045939317E+00    0.5714943177E+00
    0.2700000000E+05    0.6677789648E+00    0.6025585699E-02    0.1045914867E+00    0.5718770218E+00
    0.2900000000E+05    0.6686687012E+00    0.5782582232E-02    0.1045868347E+00    0.5722200228E+00
    0.3100000000E+05    0.6694380500E+00    0.5567518127E-02    0.1045805161E+00    0.5725298884E+00
    0.3300000000E+05    0.6701097475E+00    0.5375441406E-02    0.1045729309E+00    0.5728117537E+00
    0.3500000000E+05    0.6707011737E+00    0.5202537151E-02    0.1045643801E+00    0.5730696997E+00
    0.3700000000E+05    0.6712258352E+00    0.5045815370E-02    0.1045550932E+00    0.5733070164E+00
    0.3900000000E+05    0.6716943831E+00    0.4902896765E-02    0.1045452471E+00    0.5735263898E+00
    0.4100000000E+05    0.6721153270E+00    0.4771862301E-02    0.1045349794E+00    0.5737300376E+00
    0.4300000000E+05    0.6724955452E+00    0.4651145423E-02    0.1045243983E+00    0.5739198096E+00
    0.4500000000E+05    0.6728406570E+00    0.4539453407E-02    0.1045135893E+00    0.5740972622E+00
    0.4700000000E+05    0.6731552965E+00    0.4435709032E-02    0.1045026205E+00    0.5742637166E+00
    0.4900000000E+05    0.6734433195E+00    0.4339006675E-02    0.1044915463E+00    0.5744203020E+00
    0.1000000000E+05    0.6442020254E+00    0.1161560364E-01    0.1043636550E+00    0.5655955458E+00
    0.3000000000E+05    0.6690668560E+00    0.5671898441E-02    0.1045838560E+00    0.5723787481E+00
    0.5000000000E+05    0.6735783811E+00    0.4293051758E-02    0.1044859836E+00    0.5744952030E+00
    0.7000000000E+05    0.6754483932E+00    0.3606645692E-02    0.1043761611E+00    0.5756529545E+00
    0.9000000000E+05    0.6764707187E+00    0.3175941034E-02    0.1042754233E+00    0.5764196653E+00
    0.1100000000E+06    0.6771155551E+00    0.2872881557E-02    0.1041851977E+00    0.5769803395E+00
    0.1300000000E+06    0.6775596872E+00    0.2644446341E-02    0.1041042317E+00    0.5774161247E+00
    0.1500000000E+06    0.6778844056E+00    0.2464145244E-02    0.1040310535E+00    0.5777691308E+00
    0.1700000000E+06    0.6781323050E+00    0.2317056264E-02    0.1039643952E+00    0.5780637470E+00
    0.1900000000E+06    0.6783278613E+00    0.2194039070E-02    0.1039032316E+00    0.5783152431E+00
    0.2100000000E+06    0.6784861407E+00    0.2089136470E-02    0.1038467432E+00    0.5785337526E+00
    0.2300000000E+06    0.6786169267E+00    0.1998275457E-02    0.1037942727E+00    0.5787263125E+00
    0.2500000000E+06    0.6787268496E+00    0.1918563073E-02    0.1037452881E+00    0.5788979897E+00
    0.2700000000E+06    0.6788205629E+00    0.1847879640E-02    0.1036993545E+00    0.5790525424E+00
    0.2900000000E+06    0.6789014295E+00    0.1784631382E-02    0.1036561122E+00    0.5791928284E+00
    0.3100000000E+06    0.6789719401E+00    0.1727593481E-02    0.1036152613E+00    0.5793210668E+00
    0.3300000000E+06    0.6790339793E+00    0.1675806880E-02    0.1035765490E+00    0.5794390117E+00
    0.3500000000E+06    0.6790889995E+00    0.1628508347E-02    0.1035397602E+00    0.5795480722E+00
    0.3700000000E+06    0.6791381380E+00    0.1585081815E-02    0.1035047110E+00    0.5796493953E+00
    0.3900000000E+06    0.6791822986E+00    0.1545023745E-02    0.1034712424E+00    0.5797439261E+00
    0.4100000000E+06    0.6792222082E+00    0.1507917967E-02    0.1034392164E+00    0.5798324520E+00
    0.4300000000E+06    0.6792584582E+00    0.1473417081E-02    0.1034085122E+00    0.5799156351E+00
    0.4500000000E+06    0.6792915352E+00    0.1441228480E-02    0.1033790237E+00    0.5799940370E+00
    0.4700000000E+06    0.6793218425E+00    0.1411103705E-02    0.1033506571E+00    0.5800681382E+00
    0.4900000000E+06    0.6793497178E+00    0.1382830220E-02    0.1033233290E+00    0.5801383521E+00
    0.1000000000E+06    0.6768258958E+00    0.3012683769E-02    0.1042290588E+00    0.5767193618E+00
    0.3000000000E+06    0.6789378497E+00    0.1755401360E-02    0.1036354046E+00    0.5792583346E+00
    0.5000000000E+06    0.6793628341E+00    0.1369329506E-02    0.1033100309E+00    0.5801721153E+00
    0.7000000000E+06    0.6795477761E+00    0.1162999700E-02    0.1030841381E+00    0.5807096895E+00
    0.9000000000E+06    0.6796520744E+00    0.1029511980E-02    0.1029105756E+00    0.5810837856E+00
    0.1100000000E+07    0.6797193858E+00    0.9340322535E-03    0.1027694384E+00    0.5813678153E+00
    0.1300000000E+07    0.6797666022E+00    0.8613430771E-03    0.1026504133E+00    0.5815953247E+00
    0.1500000000E+07    0.6798016570E+00    0.8035932165E-03    0.1025474535E+00    0.5817842919E+00
    0.1700000000E+07    0.6798287767E+00    0.7562654217E-03    0.1024567042E+00    0.5819454113E+00
    0.1900000000E+07    0.6798504238E+00    0.7165513225E-03    0.1023755549E+00    0.5820855328E+00
    0.2100000000E+07    0.6798681318E+00    0.6826005371E-03    0.1023021547E+00    0.5822092935E+00
    0.2300000000E+07    0.6798829069E+00    0.6531374409E-03    0.1022351426E+00    0.5823199711E+00
    0.2500000000E+07    0.6798954371E+00    0.6272501324E-03    0.1021734886E+00    0.5824199632E+00
    0.2700000000E+07    0.6799062094E+00    0.6042670178E-03    0.1021163942E+00    0.5825110743E+00
    0.2900000000E+07    0.6799155783E+00    0.5836810203E-03    0.1020632275E+00    0.5825946943E+00
    0.3100000000E+07    0.6799238080E+00    0.5651011085E-03    0.1020134798E+00    0.5826719159E+00
    0.3300000000E+07    0.6799311000E+00    0.5482202174E-03    0.1019667355E+00    0.5827436128E+00
    0.3500000000E+07    0.6799376103E+00    0.5327933870E-03    0.1019226508E+00    0.5828104939E+00
    0.3700000000E+07    0.6799434618E+00    0.5186224804E-03    0.1018809379E+00    0.5828731421E+00
    0.3900000000E+07    0.6799487527E+00    0.5055452628E-03    0.1018413533E+00    0.5829320420E+00
    0.4100000000E+07    0.6799535623E+00    0.4934274420E-03    0.1018036893E+00    0.5829876012E+00
    0.4300000000E+07    0.6799579557E+00    0.4821567653E-03    0.1017677675E+00    0.5830401648E+00
    0.4500000000E+07    0.6799619863E+00    0.4716385736E-03    0.1017334330E+00    0.5830900282E+00
    0.4700000000E+07    0.6799656989E+00    0.4617924047E-03    0.1017005510E+00    0.5831374456E+00
    0.4900000000E+07    0.6799691309E+00    0.4525493661E-03    0.1016690029E+00    0.5831826377E+00
    0.1000000000E+07    0.6796889832E+00    0.9782221448E-03    0.1028367359E+00    0.5812344405E+00
    0.3000000000E+07    0.6799198217E+00    0.5741611679E-03    0.1020379541E+00    0.5826340459E+00
    0.5000000000E+07    0.6799707518E+00    0.4481351399E-03    0.1016536961E+00    0.5832044604E+00
    0.7000000000E+07    0.6799940949E+00    0.3806310146E-03    0.1013976557E+00    0.5835601417E+00
    0.9000000000E+07    0.6800077814E+00    0.3369283490E-03    0.1012052238E+00    0.5838171187E+00
    0.1100000000E+08    0.6800168995E+00    0.3056612654E-03    0.1010509593E+00    0.5840176102E+00
    0.1300000000E+08    0.6800234712E+00    0.2818553591E-03    0.1009221809E+00    0.5841816284E+00
    0.1500000000E+08    0.6800284673E+00    0.2629417786E-03    0.1008116410E+00    0.5843202038E+00
    0.1700000000E+08    0.6800324151E+00    0.2474417574E-03    0.1007148043E+00    0.5844400480E+00
    0.1900000000E+08    0.6800356270E+00    0.2344356658E-03    0.1006286425E+00    0.5845455422E+00
    0.2100000000E+08    0.6800383007E+00    0.2233174638E-03    0.1005510330E+00    0.5846397012E+00
    0.2300000000E+08    0.6800405676E+00    0.2136693085E-03    0.1004804294E+00    0.5847246858E+00
    0.2500000000E+08    0.6800425188E+00    0.2051924772E-03    0.1004156707E+00    0.5848020969E+00
    0.2700000000E+08    0.6800442197E+00    0.1976669586E-03    0.1003558625E+00    0.5848731526E+00
    0.2900000000E+08    0.6800457182E+00    0.1909266336E-03    0.1003003014E+00    0.5849388010E+00
    0.3100000000E+08    0.6800470506E+00    0.1848433988E-03    0.1002484240E+00    0.5849997942E+00
    0.3300000000E+08    0.6800482448E+00    0.1793166590E-03    0.1001997721E+00    0.5850567385E+00
    0.3500000000E+08    0.6800493226E+00    0.1742661653E-03    0.1001539681E+00    0.5851101299E+00
    0.3700000000E+08    0.6800503013E+00    0.1696270093E-03    0.1001106971E+00    0.5851603790E+00
    0.3900000000E+08    0.6800511950E+00    0.1653460449E-03    0.1000696935E+00    0.5852078296E+00
    0.4100000000E+08    0.6800520150E+00    0.1613792804E-03    0.1000307318E+00    0.5852527724E+00
    0.4300000000E+08    0.6800527707E+00    0.1576899448E-03    0.9999361813E-01    0.5852954552E+00
    0.4500000000E+08    0.6800534699E+00    0.1542470310E-03    0.9995818532E-01    0.5853360913E+00
    0.4700000000E+08    0.6800541192E+00    0.1510241830E-03    0.9992428774E-01    0.5853748650E+00
    0.4900000000E+08    0.6800547241E+00    0.1479988349E-03    0.9989179797E-01    0.5854119373E+00
    0.1000000000E+08    0.6800127485E+00    0.3201328366E-03    0.1011242905E+00    0.5839228767E+00
    0.3000000000E+08    0.6800464033E+00    0.1878097152E-03    0.1002739330E+00    0.5849698387E+00
    0.5000000000E+08    0.6800550115E+00    0.1465540390E-03    0.9987604542E-01    0.5854298800E+00
    0.7000000000E+08    0.6800592825E+00    0.1244620839E-03    0.9961355861E-01    0.5857260270E+00
    0.9000000000E+08    0.6800619277E+00    0.1101621936E-03    0.9941739566E-01    0.5859441903E+00
    0.1100000000E+09    0.6800637647E+00    0.9993267562E-04    0.9926073331E-01    0.5861167273E+00
    0.1300000000E+09    0.6800651333E+00    0.9214498102E-04    0.9913031315E-01    0.5862593279E+00
    0.1500000000E+09    0.6800662025E+00    0.8595822260E-04    0.9901860154E-01    0.5863807861E+00
    0.1700000000E+09    0.6800670672E+00    0.8088839629E-04    0.9892090484E-01    0.5864865238E+00
