     Pressure (Pa)     22mC5-400 (mol/kg)     2mC6-400 (mol/kg)     3mC6-400 (mol/kg)     C7-400 (mol/kg)
    0.1000000000E+01    0.2116287094E-02    0.3953926890E-02    0.5248026303E-02    0.1703230981E-02
    0.3000000000E+01    0.6262204848E-02    0.1149090615E-01    0.1528727154E-01    0.4962093945E-02
    0.5000000000E+01    0.1029744586E-01    0.1856861853E-01    0.2476229194E-01    0.8038630119E-02
    0.7000000000E+01    0.1422749920E-01    0.2522521258E-01    0.3372146476E-01    0.1094845022E-01
    0.9000000000E+01    0.1805748522E-01    0.3149470047E-01    0.4220773378E-01    0.1370541292E-01
    0.1100000000E+02    0.2179218624E-01    0.3740751040E-01    0.5025935375E-01    0.1632186483E-01
    0.1300000000E+02    0.2543607414E-01    0.4299095205E-01    0.5791051556E-01    0.1880884196E-01
    0.1500000000E+02    0.2899333532E-01    0.4826961056E-01    0.6519187386E-01    0.2117623980E-01
    0.1700000000E+02    0.3246789328E-01    0.5326568164E-01    0.7213099446E-01    0.2343295757E-01
    0.1900000000E+02    0.3586342910E-01    0.5799925804E-01    0.7875273533E-01    0.2558702103E-01
    0.2100000000E+02    0.3918340002E-01    0.6248857523E-01    0.8507957258E-01    0.2764568756E-01
    0.2300000000E+02    0.4243105633E-01    0.6675022323E-01    0.9113188026E-01    0.2961553639E-01
    0.2500000000E+02    0.4560945675E-01    0.7079932973E-01    0.9692817164E-01    0.3150254640E-01
    0.2700000000E+02    0.4872148246E-01    0.7464971907E-01    0.1024853079E+00    0.3331216342E-01
    0.2900000000E+02    0.5176984995E-01    0.7831405078E-01    0.1078186793E+00    0.3504935863E-01
    0.3100000000E+02    0.5475712266E-01    0.8180394062E-01    0.1129423631E+00    0.3671867947E-01
    0.3300000000E+02    0.5768572178E-01    0.8513006666E-01    0.1178692612E+00    0.3832429411E-01
    0.3500000000E+02    0.6055793603E-01    0.8830226268E-01    0.1226112210E+00    0.3987003039E-01
    0.3700000000E+02    0.6337593073E-01    0.9132960041E-01    0.1271791419E+00    0.4135941011E-01
    0.3900000000E+02    0.6614175606E-01    0.9422046232E-01    0.1315830685E+00    0.4279567915E-01
    0.4100000000E+02    0.6885735471E-01    0.9698260619E-01    0.1358322733E+00    0.4418183423E-01
    0.4300000000E+02    0.7152456892E-01    0.9962322242E-01    0.1399353303E+00    0.4552064643E-01
    0.4500000000E+02    0.7414514695E-01    0.1021489851E+00    0.1439001794E+00    0.4681468227E-01
    0.4700000000E+02    0.7672074907E-01    0.1045660979E+00    0.1477341850E+00    0.4806632233E-01
    0.4900000000E+02    0.7925295312E-01    0.1068803344E+00    0.1514441872E+00    0.4927777790E-01
    0.1000000000E+02    0.1993645989E-01    0.3449391516E-01    0.4628564933E-01    0.1503048439E-01
    0.3000000000E+02    0.5327096861E-01    0.8008011273E-01    0.1104058998E+00    0.3589223443E-01
    0.5000000000E+02    0.8050325265E-01    0.1080005700E+00    0.1532546927E+00    0.4986908496E-01
    0.7000000000E+02    0.1035591226E+00    0.1261338151E+00    0.1842854603E+00    0.6001589907E-01
    0.9000000000E+02    0.1236024325E+00    0.1383273311E+00    0.2080207836E+00    0.6779542985E-01
    0.1100000000E+03    0.1413809034E+00    0.1466822125E+00    0.2269074041E+00    0.7399970547E-01
    0.1300000000E+03    0.1573987473E+00    0.1524397153E+00    0.2423903628E+00    0.7909688149E-01
    0.1500000000E+03    0.1720096206E+00    0.1563773895E+00    0.2553812409E+00    0.8338252390E-01
    0.1700000000E+03    0.1854698161E+00    0.1590049789E+00    0.2664854327E+00    0.8705307727E-01
    0.1900000000E+03    0.1979702627E+00    0.1606690410E+00    0.2761219230E+00    0.9024460349E-01
    0.2100000000E+03    0.2096565977E+00    0.1616123065E+00    0.2845906681E+00    0.9305458520E-01
    0.2300000000E+03    0.2206422129E+00    0.1620090491E+00    0.2921125679E+00    0.9555486662E-01
    0.2500000000E+03    0.2310169971E+00    0.1619870357E+00    0.2988542484E+00    0.9779968042E-01
    0.2700000000E+03    0.2408533525E+00    0.1616416220E+00    0.3049440094E+00    0.9983081553E-01
    0.2900000000E+03    0.2502104324E+00    0.1610450735E+00    0.3104824188E+00    0.1016810520E+00
    0.3100000000E+03    0.2591371882E+00    0.1602528880E+00    0.3155495490E+00    0.1033765079E+00
    0.3300000000E+03    0.2676746011E+00    0.1593081791E+00    0.3202100393E+00    0.1049382822E+00
    0.3500000000E+03    0.2758573438E+00    0.1582447773E+00    0.3245167145E+00    0.1063836297E+00
    0.3700000000E+03    0.2837150357E+00    0.1570894611E+00    0.3285132208E+00    0.1077268164E+00
    0.3900000000E+03    0.2912732049E+00    0.1558635880E+00    0.3322359780E+00    0.1089797549E+00
    0.4100000000E+03    0.2985540330E+00    0.1545843033E+00    0.3357156487E+00    0.1101524811E+00
    0.4300000000E+03    0.3055769401E+00    0.1532654479E+00    0.3389782587E+00    0.1112535190E+00
    0.4500000000E+03    0.3123590474E+00    0.1519182479E+00    0.3420460621E+00    0.1122901620E+00
    0.4700000000E+03    0.3189155475E+00    0.1505518435E+00    0.3449382172E+00    0.1132686932E+00
    0.4900000000E+03    0.3252600028E+00    0.1491736993E+00    0.3476713206E+00    0.1141945586E+00
    0.1000000000E+03    0.1327389006E+00    0.1428928997E+00    0.2179635596E+00    0.7105994033E-01
    0.3000000000E+03    0.2547248745E+00    0.1606704919E+00    0.3130705402E+00    0.1025467068E+00
    0.5000000000E+03    0.3283565670E+00    0.1484821796E+00    0.3489828201E+00    0.1146392496E+00
    0.7000000000E+03    0.3815643358E+00    0.1350347191E+00    0.3695597303E+00    0.1216548175E+00
    0.9000000000E+03    0.4223905305E+00    0.1232706140E+00    0.3834339007E+00    0.1264332299E+00
    0.1100000000E+04    0.4546937079E+00    0.1133775427E+00    0.3936482733E+00    0.1299817131E+00
    0.1300000000E+04    0.4807799199E+00    0.1050963398E+00    0.4015956349E+00    0.1327637627E+00
    0.1500000000E+04    0.5021801328E+00    0.9812784507E-01    0.4080190279E+00    0.1350278331E+00
    0.1700000000E+04    0.5199690422E+00    0.9221430858E-01    0.4133573075E+00    0.1369213009E+00
    0.1900000000E+04    0.5349269177E+00    0.8714915189E-01    0.4178892360E+00    0.1385381502E+00
    0.2100000000E+04    0.5476335933E+00    0.8277035728E-01    0.4218018518E+00    0.1399416705E+00
    0.2300000000E+04    0.5585277364E+00    0.7895137567E-01    0.4252261328E+00    0.1411763317E+00
    0.2500000000E+04    0.5679461869E+00    0.7559304881E-01    0.4282570044E+00    0.1422744655E+00
    0.2700000000E+04    0.5761509694E+00    0.7261718180E-01    0.4309652319E+00    0.1432602464E+00
    0.2900000000E+04    0.5833482931E+00    0.6996162616E-01    0.4334048291E+00    0.1441521784E+00
    0.3100000000E+04    0.5897021711E+00    0.6757657123E-01    0.4356178583E+00    0.1449647100E+00
    0.3300000000E+04    0.5953443346E+00    0.6542175521E-01    0.4376376442E+00    0.1457093177E+00
    0.3500000000E+04    0.6003815480E+00    0.6346436285E-01    0.4394909873E+00    0.1463952535E+00
    0.3700000000E+04    0.6049010708E+00    0.6167743247E-01    0.4411997263E+00    0.1470300747E+00
    0.3900000000E+04    0.6089747832E+00    0.6003864092E-01    0.4427818653E+00    0.1476200257E+00
    0.4100000000E+04    0.6126623310E+00    0.5852936997E-01    0.4442524012E+00    0.1481703191E+00
    0.4300000000E+04    0.6160135490E+00    0.5713398349E-01    0.4456239434E+00    0.1486853473E+00
    0.4500000000E+04    0.6190703431E+00    0.5583926354E-01    0.4469071825E+00    0.1491688418E+00
    0.4700000000E+04    0.6218681645E+00    0.5463396704E-01    0.4481112518E+00    0.1496239970E+00
    0.4900000000E+04    0.6244371748E+00    0.5350847473E-01    0.4492440085E+00    0.1500535662E+00
    0.1000000000E+04    0.4394396413E+00    0.1181034758E+00    0.3888897638E+00    0.1283250569E+00
    0.3000000000E+04    0.5866217693E+00    0.6873799877E-01    0.4345374069E+00    0.1445675924E+00
    0.5000000000E+04    0.6256440868E+00    0.5297302303E-01    0.4497858063E+00    0.1502595150E+00
    0.7000000000E+04    0.6424128326E+00    0.4494696914E-01    0.4581337665E+00    0.1534776946E+00
    0.9000000000E+04    0.6515078130E+00    0.3989650687E-01    0.4635937353E+00    0.1556378226E+00
    0.1100000000E+05    0.6571518880E+00    0.3633524329E-01    0.4675208485E+00    0.1572263840E+00
    0.1300000000E+05    0.6609734050E+00    0.3364275829E-01    0.4705191268E+00    0.1584632959E+00
    0.1500000000E+05    0.6637230486E+00    0.3150980331E-01    0.4729043000E+00    0.1594649239E+00
    0.1700000000E+05    0.6657919014E+00    0.2976281768E-01    0.4748596923E+00    0.1602995760E+00
    0.1900000000E+05    0.6674026758E+00    0.2829579921E-01    0.4765000423E+00    0.1610104324E+00
    0.2100000000E+05    0.6686910908E+00    0.2703978698E-01    0.4779013329E+00    0.1616263525E+00
    0.2300000000E+05    0.6697443788E+00    0.2594767035E-01    0.4791161513E+00    0.1621674821E+00
    0.2500000000E+05    0.6706210713E+00    0.2498598853E-01    0.4801822060E+00    0.1626483838E+00
    0.2700000000E+05    0.6713618583E+00    0.2413021034E-01    0.4811273361E+00    0.1630798916E+00
    0.2900000000E+05    0.6719958797E+00    0.2336187180E-01    0.4819726018E+00    0.1634702609E+00
    0.3100000000E+05    0.6725445369E+00    0.2266676393E-01    0.4827342692E+00    0.1638259122E+00
    0.3300000000E+05    0.6730238933E+00    0.2203374304E-01    0.4834251271E+00    0.1641519271E+00
    0.3500000000E+05    0.6734462358E+00    0.2145392516E-01    0.4840553880E+00    0.1644523896E+00
    0.3700000000E+05    0.6738211190E+00    0.2092012589E-01    0.4846333186E+00    0.1647306257E+00
