     Pressure (Pa)     3mC6-400 (mol/kg)     33mC5-400 (mol/kg)     23mC5-400 (mol/kg)
    0.3000000000E+04    0.6017818068E+00    0.1150615003E-01    0.5767967281E+00
    0.5000000000E+04    0.6279142355E+00    0.9057493747E-02    0.6149504482E+00
    0.7000000000E+04    0.6402649939E+00    0.7678138143E-02    0.6327989987E+00
    0.9000000000E+04    0.6475431103E+00    0.6773329469E-02    0.6431154326E+00
    0.1100000000E+05    0.6523746994E+00    0.6123306422E-02    0.6498279402E+00
    0.1300000000E+05    0.6558323721E+00    0.5627832197E-02    0.6545408424E+00
    0.1500000000E+05    0.6584384182E+00    0.5234199950E-02    0.6580303362E+00
    0.1700000000E+05    0.6604785570E+00    0.4911794422E-02    0.6607173403E+00
    0.1900000000E+05    0.6621226712E+00    0.4641483570E-02    0.6628497426E+00
    0.2100000000E+05    0.6634783141E+00    0.4410624628E-02    0.6645829619E+00
    0.2300000000E+05    0.6646170045E+00    0.4210487059E-02    0.6660193580E+00
    0.2500000000E+05    0.6655882148E+00    0.4034823629E-02    0.6672290788E+00
    0.2700000000E+05    0.6664272970E+00    0.3879030988E-02    0.6682617998E+00
    0.2900000000E+05    0.6671602091E+00    0.3739632620E-02    0.6691536801E+00
    0.3100000000E+05    0.6678064568E+00    0.3613947489E-02    0.6699316645E+00
    0.3300000000E+05    0.6683809916E+00    0.3499870433E-02    0.6706162412E+00
    0.3500000000E+05    0.6688954742E+00    0.3395722349E-02    0.6712232654E+00
    0.3700000000E+05    0.6693591379E+00    0.3300145408E-02    0.6717651982E+00
    0.3900000000E+05    0.6697793926E+00    0.3212028128E-02    0.6722519683E+00
    0.4100000000E+05    0.6701622566E+00    0.3130450752E-02    0.6726915840E+00
    0.4300000000E+05    0.6705126707E+00    0.3054644728E-02    0.6730905757E+00
    0.4500000000E+05    0.6708347308E+00    0.2983962192E-02    0.6734543218E+00
    0.4700000000E+05    0.6711318619E+00    0.2917852649E-02    0.6737872920E+00
    0.4900000000E+05    0.6714069513E+00    0.2855844936E-02    0.6740932310E+00
    0.1000000000E+05    0.6501786535E+00    0.6424327233E-02    0.6467932746E+00
    0.3000000000E+05    0.6674931420E+00    0.3675218947E-02    0.6695555023E+00
    0.5000000000E+05    0.6715370113E+00    0.2826250183E-02    0.6742370713E+00
    0.7000000000E+05    0.6734192015E+00    0.2375349103E-02    0.6762539747E+00
    0.9000000000E+05    0.6745297459E+00    0.2085422977E-02    0.6773768172E+00
    0.1100000000E+06    0.6752715257E+00    0.1879184610E-02    0.6780921214E+00
    0.1300000000E+06    0.6758065289E+00    0.1722938445E-02    0.6785876457E+00
    0.1500000000E+06    0.6762131174E+00    0.1599344456E-02    0.6789511781E+00
    0.1700000000E+06    0.6765340675E+00    0.1498452732E-02    0.6792292508E+00
    0.1900000000E+06    0.6767948200E+00    0.1414093755E-02    0.6794488256E+00
    0.2100000000E+06    0.6770115084E+00    0.1342212883E-02    0.6796266029E+00
    0.2300000000E+06    0.6771948880E+00    0.1280021699E-02    0.6797734791E+00
    0.2500000000E+06    0.6773524212E+00    0.1225531462E-02    0.6798968662E+00
    0.2700000000E+06    0.6774894586E+00    0.1177280731E-02    0.6800019814E+00
    0.2900000000E+06    0.6776099428E+00    0.1134168378E-02    0.6800926034E+00
    0.3100000000E+06    0.6777168476E+00    0.1095346959E-02    0.6801715363E+00
    0.3300000000E+06    0.6778124607E+00    0.1060152270E-02    0.6802409047E+00
    0.3500000000E+06    0.6778985732E+00    0.1028055405E-02    0.6803023477E+00
    0.3700000000E+06    0.6779766086E+00    0.9986292998E-03    0.6803571501E+00
    0.3900000000E+06    0.6780477132E+00    0.9715248575E-03    0.6804063334E+00
    0.4100000000E+06    0.6781128219E+00    0.9464535690E-03    0.6804507196E+00
    0.4300000000E+06    0.6781727048E+00    0.9231746454E-03    0.6804909781E+00
    0.4500000000E+06    0.6782280023E+00    0.9014853371E-03    0.6805276590E+00
    0.4700000000E+06    0.6782792523E+00    0.8812135488E-03    0.6805612190E+00
    0.4900000000E+06    0.6783269093E+00    0.8622121335E-03    0.6805920402E+00
    0.1000000000E+06    0.6749337023E+00    0.1974504028E-02    0.6777701653E+00
    0.3000000000E+06    0.6776649361E+00    0.1114266462E-02    0.6801333850E+00
    0.5000000000E+06    0.6783495138E+00    0.8531475360E-03    0.6806065264E+00
    0.7000000000E+06    0.6786826312E+00    0.7153882492E-03    0.6808093569E+00
    0.9000000000E+06    0.6788856159E+00    0.6271574482E-03    0.6809220696E+00
    0.1100000000E+07    0.6790246516E+00    0.5645606041E-03    0.6809938162E+00
    0.1300000000E+07    0.6791270108E+00    0.5172285915E-03    0.6810435026E+00
    0.1500000000E+07    0.6792061572E+00    0.4798432703E-03    0.6810799519E+00
    0.1700000000E+07    0.6792695692E+00    0.4493608812E-03    0.6811078351E+00
    0.1900000000E+07    0.6793217621E+00    0.4238979917E-03    0.6811298569E+00
    0.2100000000E+07    0.6793656382E+00    0.4022188846E-03    0.6811476913E+00
    0.2300000000E+07    0.6794031555E+00    0.3834749444E-03    0.6811624305E+00
    0.2500000000E+07    0.6794356875E+00    0.3670616555E-03    0.6811748169E+00
    0.2700000000E+07    0.6794642288E+00    0.3525352482E-03    0.6811853732E+00
    0.2900000000E+07    0.6794895192E+00    0.3395616665E-03    0.6811944779E+00
    0.3100000000E+07    0.6795121212E+00    0.3278840246E-03    0.6812024116E+00
    0.3300000000E+07    0.6795324712E+00    0.3173011257E-03    0.6812093872E+00
    0.3500000000E+07    0.6795509131E+00    0.3076528607E-03    0.6812155688E+00
    0.3700000000E+07    0.6795677223E+00    0.2988100253E-03    0.6812210850E+00
    0.3900000000E+07    0.6795831220E+00    0.2906670589E-03    0.6812260382E+00
    0.4100000000E+07    0.6795972952E+00    0.2831367641E-03    0.6812305105E+00
    0.4300000000E+07    0.6796103937E+00    0.2761463985E-03    0.6812345691E+00
    0.4500000000E+07    0.6796225444E+00    0.2696347364E-03    0.6812382691E+00
    0.4700000000E+07    0.6796338542E+00    0.2635498288E-03    0.6812416561E+00
    0.4900000000E+07    0.6796444143E+00    0.2578472730E-03    0.6812447685E+00
    0.1000000000E+07    0.6789609464E+00    0.5934745553E-03    0.6809615275E+00
    0.3000000000E+07    0.6795011265E+00    0.3335745357E-03    0.6811985765E+00
    0.5000000000E+07    0.6796494380E+00    0.2551272260E-03    0.6812462320E+00
    0.7000000000E+07    0.6797246620E+00    0.2138165031E-03    0.6812667811E+00
    0.9000000000E+07    0.6797717189E+00    0.1873842222E-03    0.6812782752E+00
    0.1100000000E+08    0.6798045614E+00    0.1686432120E-03    0.6812856438E+00
    0.1300000000E+08    0.6798290896E+00    0.1544786785E-03    0.6812907853E+00
    0.1500000000E+08    0.6798482735E+00    0.1432945177E-03    0.6812945868E+00
    0.1700000000E+08    0.6798637888E+00    0.1341778171E-03    0.6812975188E+00
    0.1900000000E+08    0.6798766603E+00    0.1265639631E-03    0.6812998542E+00
