     Pressure (Pa)     22mC5-400 (mol/kg)     2mC6-400 (mol/kg)     33mC5-400 (mol/kg)
    0.1000000000E+01    0.1052248819E-02    0.1105765735E-01    0.2572230452E-03
    0.3000000000E+01    0.3080710366E-02    0.3206460716E-01    0.7458433604E-03
    0.5000000000E+01    0.5015567082E-02    0.5171217900E-01    0.1202790319E-02
    0.7000000000E+01    0.6865136767E-02    0.7012705251E-01    0.1631016887E-02
    0.9000000000E+01    0.8636737780E-02    0.8742064542E-01    0.2033120193E-02
    0.1100000000E+02    0.1033683718E-01    0.1036913466E+00    0.2411393592E-02
    0.1300000000E+02    0.1197117306E-01    0.1190263678E+00    0.2767869850E-02
    0.1500000000E+02    0.1354485621E-01    0.1335032879E+00    0.3104357147E-02
    0.1700000000E+02    0.1506245509E-01    0.1471913475E+00    0.3422469274E-02
    0.1900000000E+02    0.1652806722E-01    0.1601525409E+00    0.3723651076E-02
    0.2100000000E+02    0.1794537949E-01    0.1724425396E+00    0.4009200002E-02
    0.2300000000E+02    0.1931771934E-01    0.1841114786E+00    0.4280284435E-02
    0.2500000000E+02    0.2064809843E-01    0.1952046283E+00    0.4537959351E-02
    0.2700000000E+02    0.2193924995E-01    0.2057629703E+00    0.4783179749E-02
    0.2900000000E+02    0.2319366083E-01    0.2158236935E+00    0.5016812222E-02
    0.3100000000E+02    0.2441359941E-01    0.2254206232E+00    0.5239644950E-02
    0.3300000000E+02    0.2560113951E-01    0.2345845925E+00    0.5452396371E-02
    0.3500000000E+02    0.2675818131E-01    0.2433437661E+00    0.5655722726E-02
    0.3700000000E+02    0.2788646959E-01    0.2517239228E+00    0.5850224641E-02
    0.3900000000E+02    0.2898760965E-01    0.2597487029E+00    0.6036452896E-02
    0.4100000000E+02    0.3006308137E-01    0.2674398251E+00    0.6214913489E-02
    0.4300000000E+02    0.3111425145E-01    0.2748172778E+00    0.6386072088E-02
    0.4500000000E+02    0.3214238440E-01    0.2818994883E+00    0.6550357976E-02
    0.4700000000E+02    0.3314865210E-01    0.2887034717E+00    0.6708167526E-02
    0.4900000000E+02    0.3413414238E-01    0.2952449639E+00    0.6859867299E-02
    0.1000000000E+02    0.9495350747E-02    0.9567816423E-01    0.2225102929E-02
    0.3000000000E+02    0.2380780524E-01    0.2206781394E+00    0.5129532111E-02
    0.5000000000E+02    0.3461941483E-01    0.2984218727E+00    0.6933533099E-02
    0.7000000000E+02    0.4344560223E-01    0.3512022050E+00    0.8156496304E-02
    0.9000000000E+02    0.5100642404E-01    0.3892124964E+00    0.9035828539E-02
    0.1100000000E+03    0.5769441717E-01    0.4177717235E+00    0.9695367508E-02
    0.1300000000E+03    0.6374497259E-01    0.4399252004E+00    0.1020599088E-01
    0.1500000000E+03    0.6930950826E-01    0.4575411247E+00    0.1061116537E-01
    0.1700000000E+03    0.7449081651E-01    0.4718285746E+00    0.1093901325E-01
    0.1900000000E+03    0.7936172002E-01    0.4836042317E+00    0.1120852412E-01
    0.2100000000E+03    0.8397562540E-01    0.4934393628E+00    0.1143297726E-01
    0.2300000000E+03    0.8837283602E-01    0.5017453883E+00    0.1162193357E-01
    0.2500000000E+03    0.9258450622E-01    0.5088260139E+00    0.1178244892E-01
    0.2700000000E+03    0.9663521542E-01    0.5149102301E+00    0.1191984201E-01
    0.2900000000E+03    0.1005446999E+00    0.5201738938E+00    0.1203819641E-01
    0.3100000000E+03    0.1043290511E+00    0.5247542476E+00    0.1214069832E-01
    0.3300000000E+03    0.1080015661E+00    0.5287599310E+00    0.1222986937E-01
    0.3500000000E+03    0.1115733631E+00    0.5322780358E+00    0.1230773063E-01
    0.3700000000E+03    0.1150538373E+00    0.5353791748E+00    0.1237592045E-01
    0.3900000000E+03    0.1184510025E+00    0.5381211862E+00    0.1243578055E-01
    0.4100000000E+03    0.1217717528E+00    0.5405518839E+00    0.1248841996E-01
    0.4300000000E+03    0.1250220639E+00    0.5427111285E+00    0.1253476307E-01
    0.4500000000E+03    0.1282071520E+00    0.5446324057E+00    0.1257558637E-01
    0.4700000000E+03    0.1313315992E+00    0.5463440446E+00    0.1261154668E-01
    0.4900000000E+03    0.1343994534E+00    0.5478701672E+00    0.1264320322E-01
    0.1000000000E+03    0.5444225213E-01    0.4044468025E+00    0.9387795579E-02
    0.3000000000E+03    0.1024516288E+00    0.5225421184E+00    0.1209125794E-01
    0.5000000000E+03    0.1359132975E+00    0.5485702352E+00    0.1265757000E-01
    0.7000000000E+03    0.1639141869E+00    0.5565677924E+00    0.1280555223E-01
    0.9000000000E+03    0.1887244577E+00    0.5583262523E+00    0.1280856516E-01
    0.1100000000E+04    0.2112956214E+00    0.5573661395E+00    0.1274828616E-01
    0.1300000000E+04    0.2321290990E+00    0.5550807146E+00    0.1265713485E-01
    0.1500000000E+04    0.2515277802E+00    0.5521200137E+00    0.1255031859E-01
    0.1700000000E+04    0.2696927682E+00    0.5488216102E+00    0.1243579876E-01
    0.1900000000E+04    0.2867675034E+00    0.5453740972E+00    0.1231807209E-01
    0.2100000000E+04    0.3028603215E+00    0.5418882193E+00    0.1219981649E-01
    0.2300000000E+04    0.3180569628E+00    0.5384311093E+00    0.1208268390E-01
    0.2500000000E+04    0.3324279406E+00    0.5350441039E+00    0.1196771371E-01
    0.2700000000E+04    0.3460330852E+00    0.5317526133E+00    0.1185556246E-01
    0.2900000000E+04    0.3589244502E+00    0.5285718763E+00    0.1174663849E-01
    0.3100000000E+04    0.3711482270E+00    0.5255104640E+00    0.1164118430E-01
    0.3300000000E+04    0.3827460382E+00    0.5225724905E+00    0.1153932913E-01
    0.3500000000E+04    0.3937558312E+00    0.5197590532E+00    0.1144112349E-01
    0.3700000000E+04    0.4042125100E+00    0.5170691950E+00    0.1134656258E-01
    0.3900000000E+04    0.4141483906E+00    0.5145005618E+00    0.1125560256E-01
    0.4100000000E+04    0.4235935379E+00    0.5120498603E+00    0.1116817210E-01
    0.4300000000E+04    0.4325760205E+00    0.5097131815E+00    0.1108418070E-01
    0.4500000000E+04    0.4411221095E+00    0.5074862321E+00    0.1100352484E-01
    0.4700000000E+04    0.4492564368E+00    0.5053645004E+00    0.1092609246E-01
    0.4900000000E+04    0.4570021258E+00    0.5033433771E+00    0.1085176638E-01
    0.1000000000E+04    0.2002521831E+00    0.5580730665E+00    0.1278371190E-01
    0.3000000000E+04    0.3651170907E+00    0.5270259127E+00    0.1169346741E-01
    0.5000000000E+04    0.4607360720E+00    0.5023690984E+00    0.1081573081E-01
    0.7000000000E+04    0.5196319930E+00    0.4870966548E+00    0.1022941839E-01
    0.9000000000E+04    0.5575818103E+00    0.4774898542E+00    0.9831690379E-02
    0.1100000000E+05    0.5831675907E+00    0.4712124342E+00    0.9551759905E-02
    0.1300000000E+05    0.6011475841E+00    0.4669464402E+00    0.9346989151E-02
    0.1500000000E+05    0.6142476029E+00    0.4639426813E+00    0.9191827691E-02
    0.1700000000E+05    0.6240917840E+00    0.4617614552E+00    0.9070582207E-02
    0.1900000000E+05    0.6316867461E+00    0.4601350126E+00    0.8973296817E-02
    0.2100000000E+05    0.6376797001E+00    0.4588943707E+00    0.8893444605E-02
    0.2300000000E+05    0.6425007895E+00    0.4579293163E+00    0.8826612518E-02
    0.2500000000E+05    0.6464444579E+00    0.4571658108E+00    0.8769731610E-02
    0.2700000000E+05    0.6497176106E+00    0.4565527887E+00    0.8720612894E-02
    0.2900000000E+05    0.6524690610E+00    0.4560541931E+00    0.8677659146E-02
    0.3100000000E+05    0.6548080791E+00    0.4556440265E+00    0.8639680941E-02
    0.3300000000E+05    0.6568163960E+00    0.4553031900E+00    0.8605776178E-02
    0.3500000000E+05    0.6585561650E+00    0.4550174158E+00    0.8575249310E-02
    0.3700000000E+05    0.6600753612E+00    0.4547758822E+00    0.8547555999E-02
    0.3900000000E+05    0.6614115179E+00    0.4545702688E+00    0.8522264463E-02
    0.4100000000E+05    0.6625943604E+00    0.4543940981E+00    0.8499027971E-02
    0.4300000000E+05    0.6636476933E+00    0.4542422703E+00    0.8477564955E-02
    0.4500000000E+05    0.6645907747E+00    0.4541107282E+00    0.8457644410E-02
    0.4700000000E+05    0.6654393307E+00    0.4539962138E+00    0.8439075020E-02
    0.4900000000E+05    0.6662063132E+00    0.4538960876E+00    0.8421696966E-02
    0.1000000000E+05    0.5715597409E+00    0.4740348926E+00    0.9680178469E-02
    0.3000000000E+05    0.6536844791E+00    0.4558393832E+00    0.8658110118E-02
    0.5000000000E+05    0.6665626477E+00    0.4538507305E+00    0.8413411787E-02
    0.7000000000E+05    0.6712557692E+00    0.4533385658E+00    0.8286499323E-02
    0.9000000000E+05    0.6736052438E+00    0.4531647609E+00    0.8201839928E-02
    0.1100000000E+06    0.6749953021E+00    0.4531026949E+00    0.8138388283E-02
    0.1300000000E+06    0.6759069442E+00    0.4530852984E+00    0.8087620705E-02
    0.1500000000E+06    0.6765480116E+00    0.4530877892E+00    0.8045287676E-02
    0.1700000000E+06    0.6770220563E+00    0.4530996241E+00    0.8008972179E-02
    0.1900000000E+06    0.6773861420E+00    0.4531158715E+00    0.7977169140E-02
    0.2100000000E+06    0.6776741729E+00    0.4531340705E+00    0.7948877577E-02
    0.2300000000E+06    0.6779075050E+00    0.4531529402E+00    0.7923397711E-02
    0.2500000000E+06    0.6781002327E+00    0.4531717988E+00    0.7900220858E-02
    0.2700000000E+06    0.6782620197E+00    0.4531902835E+00    0.7878965469E-02
    0.2900000000E+06    0.6783997061E+00    0.4532082063E+00    0.7859337902E-02
    0.3100000000E+06    0.6785182645E+00    0.4532254783E+00    0.7841107263E-02
    0.3300000000E+06    0.6786213950E+00    0.4532420666E+00    0.7824088668E-02
    0.3500000000E+06    0.6787119055E+00    0.4532579705E+00    0.7808131746E-02
    0.3700000000E+06    0.6787919647E+00    0.4532732074E+00    0.7793112530E-02
    0.3900000000E+06    0.6788632736E+00    0.4532878044E+00    0.7778927601E-02
    0.4100000000E+06    0.6789271844E+00    0.4533017933E+00    0.7765489777E-02
    0.4300000000E+06    0.6789847857E+00    0.4533152078E+00    0.7752724872E-02
    0.4500000000E+06    0.6790369632E+00    0.4533280815E+00    0.7740569236E-02
    0.4700000000E+06    0.6790844449E+00    0.4533404474E+00    0.7728967840E-02
    0.4900000000E+06    0.6791278345E+00    0.4533523366E+00    0.7717872791E-02
    0.1000000000E+06    0.6743802667E+00    0.4531255427E+00    0.8168144376E-02
    0.3000000000E+06    0.6784611205E+00    0.4532169267E+00    0.7850060445E-02
    0.5000000000E+06    0.6791481559E+00    0.4533581118E+00    0.7712501833E-02
    0.7000000000E+06    0.6794277591E+00    0.4534547286E+00    0.7623753126E-02
    0.9000000000E+06    0.6795790542E+00    0.4535265890E+00    0.7558258378E-02
    0.1100000000E+07    0.6796737846E+00    0.4535833919E+00    0.7506407083E-02
    0.1300000000E+07    0.6797386473E+00    0.4536301942E+00    0.7463529154E-02
    0.1500000000E+07    0.6797858338E+00    0.4536699105E+00    0.7427000620E-02
    0.1700000000E+07    0.6798216990E+00    0.4537043595E+00    0.7395200158E-02
    0.1900000000E+07    0.6798498793E+00    0.4537347470E+00    0.7367055988E-02
    0.2100000000E+07    0.6798726050E+00    0.4537619113E+00    0.7341822824E-02
    0.2300000000E+07    0.6798913198E+00    0.4537864581E+00    0.7318961575E-02
    0.2500000000E+07    0.6799069997E+00    0.4538088382E+00    0.7298069769E-02
    0.2700000000E+07    0.6799203276E+00    0.4538293964E+00    0.7278839038E-02
    0.2900000000E+07    0.6799317960E+00    0.4538484017E+00    0.7261027934E-02
    0.3100000000E+07    0.6799417690E+00    0.4538660682E+00    0.7244443901E-02
    0.3300000000E+07    0.6799505213E+00    0.4538825689E+00    0.7228930927E-02
    0.3500000000E+07    0.6799582643E+00    0.4538980455E+00    0.7214360859E-02
    0.3700000000E+07    0.6799651632E+00    0.4539126156E+00    0.7200627160E-02
    0.3900000000E+07    0.6799713492E+00    0.4539263776E+00    0.7187640307E-02
    0.4100000000E+07    0.6799769275E+00    0.4539394151E+00    0.7175324364E-02
    0.4300000000E+07    0.6799819835E+00    0.4539517992E+00    0.7163614365E-02
    0.4500000000E+07    0.6799865875E+00    0.4539635911E+00    0.7152454307E-02
    0.4700000000E+07    0.6799907976E+00    0.4539748441E+00    0.7141795572E-02
    0.4900000000E+07    0.6799946624E+00    0.4539856044E+00    0.7131595689E-02
    0.1000000000E+07    0.6796313069E+00    0.4535564877E+00    0.7530986487E-02
