     Pressure (Pa)     22mC5-400 (mol/kg)     2mC6-400 (mol/kg)     33mC5-400 (mol/kg)
    0.1000000000E+01    0.4202915412E-02    0.7911764842E-02    0.1288238193E-03
    0.3000000000E+01    0.1227090369E-01    0.2301776510E-01    0.3747278810E-03
    0.5000000000E+01    0.1992507471E-01    0.3723861487E-01    0.6061438427E-03
    0.7000000000E+01    0.2720439438E-01    0.5065113613E-01    0.8243279839E-03
    0.9000000000E+01    0.3414292733E-01    0.6332321291E-01    0.1030390578E-02
    0.1100000000E+02    0.4077058901E-01    0.7531509077E-01    0.1225317096E-02
    0.1300000000E+02    0.4711376332E-01    0.8668045140E-01    0.1409985752E-02
    0.1500000000E+02    0.5319581271E-01    0.9746730711E-01    0.1585182100E-02
    0.1700000000E+02    0.5903750233E-01    0.1077187500E+00    0.1751611266E-02
    0.1900000000E+02    0.6465735440E-01    0.1174735828E+00    0.1909908258E-02
    0.2100000000E+02    0.7007194597E-01    0.1267668534E+00    0.2060646685E-02
    0.2300000000E+02    0.7529616031E-01    0.1356303096E+00    0.2204346194E-02
    0.2500000000E+02    0.8034340020E-01    0.1440927879E+00    0.2341478818E-02
    0.2700000000E+02    0.8522576966E-01    0.1521805475E+00    0.2472474438E-02
    0.2900000000E+02    0.8995422939E-01    0.1599175591E+00    0.2597725495E-02
    0.3100000000E+02    0.9453873037E-01    0.1673257536E+00    0.2717591066E-02
    0.3300000000E+02    0.9898832909E-01    0.1744252400E+00    0.2832400412E-02
    0.3500000000E+02    0.1033112872E+00    0.1812344943E+00    0.2942456079E-02
    0.3700000000E+02    0.1075151581E+00    0.1877705252E+00    0.3048036604E-02
    0.3900000000E+02    0.1116068624E+00    0.1940490202E+00    0.3149398895E-02
    0.4100000000E+02    0.1155927540E+00    0.2000844735E+00    0.3246780335E-02
    0.4300000000E+02    0.1194786777E+00    0.2058902995E+00    0.3340400633E-02
    0.4500000000E+02    0.1232700202E+00    0.2114789334E+00    0.3430463468E-02
    0.4700000000E+02    0.1269717547E+00    0.2168619201E+00    0.3517157947E-02
    0.4900000000E+02    0.1305884809E+00    0.2220499944E+00    0.3600659911E-02
    0.1000000000E+02    0.3749389176E-01    0.6940067902E-01    0.1129188628E-02
    0.3000000000E+02    0.9226388896E-01    0.1636614613E+00    0.2658310227E-02
    0.5000000000E+02    0.1323663098E+00    0.2245740899E+00    0.3641265311E-02
    0.7000000000E+02    0.1643448593E+00    0.2669187975E+00    0.4320099531E-02
    0.9000000000E+02    0.1911922696E+00    0.2978340345E+00    0.4811767740E-02
    0.1100000000E+03    0.2144934401E+00    0.3212189955E+00    0.5180173433E-02
    0.1300000000E+03    0.2351783439E+00    0.3393911189E+00    0.5463306939E-02
    0.1500000000E+03    0.2538359997E+00    0.3538159082E+00    0.5685198855E-02
    0.1700000000E+03    0.2708623844E+00    0.3654654534E+00    0.5861793259E-02
    0.1900000000E+03    0.2865368028E+00    0.3750095247E+00    0.6004078582E-02
    0.2100000000E+03    0.3010642460E+00    0.3829241145E+00    0.6119866097E-02
    0.2300000000E+03    0.3146002769E+00    0.3895563254E+00    0.6214853238E-02
    0.2500000000E+03    0.3272663593E+00    0.3951648334E+00    0.6293286726E-02
    0.2700000000E+03    0.3391596826E+00    0.3999460318E+00    0.6358391088E-02
    0.2900000000E+03    0.3503596744E+00    0.4040514405E+00    0.6412654065E-02
    0.3100000000E+03    0.3609324474E+00    0.4075996082E+00    0.6458021774E-02
