c_atoms,branches,c_per_branch,pressure,temperature,molkg
7,2,1,50000,300,0.6934700201
7,2,1,100000,300,0.6934700201
7,2,1,1000000,300,0.6934700201
7,2,1,5000000,300,0.6934700201
7,2,1,50000000,300,0.6934700201
7,2,1,100000000,300,0.6934700201
7,2,1,0.1,400,0.0004944998
7,2,1,0.5,400,0.0025507313
7,2,1,1,400,0.0050914012
7,2,1,5,400,0.0255369097
7,2,1,10,400,0.0496211854
7,2,1,50,400,0.2157699771
7,2,1,100,400,0.3478635396
7,2,1,500,400,0.5928716988
7,2,1,1000,400,0.6407721497
7,2,1,5000,400,0.6822180666
7,2,1,10000,400,0.6879769326
7,2,1,50000,400,0.6923670003
7,2,1,100000,400,0.692904161
7,2,1,500000,400,0.6932572425
7,2,1,1000000,400,0.6933431213
7,2,1,5000000,400,0.6933592507
7,2,1,10000000,400,0.6933785378
7,2,1,50000000,400,0.6934547576
7,2,1,100000000,400,0.6934676054
7,2,1,500000000,400,0.6936405394
7,2,1,1000000000,400,1.412535245
7,2,1,1,500,5.71E-05
7,2,1,5,500,0.0002971395
7,2,1,10,500,0.0006219869
7,2,1,50,500,0.0031342059
7,2,1,100,500,0.0062152251
7,2,1,500,500,0.0308013997
7,2,1,1000,500,0.0608256486
7,2,1,5000,500,0.2416702465
7,2,1,10000,500,0.3717902676
7,2,1,50000,500,0.6003100625
7,2,1,100000,500,0.644066411
7,2,1,500000,500,0.6829161804
7,2,1,1000000,500,0.6870988572
7,2,1,5000000,500,0.6906958614
7,2,1,10000000,500,0.6908723867
7,2,1,50000000,500,0.6930276234
7,2,1,100000000,500,0.6934185671
7,2,1,500000000,500,0.6934748187
7,2,1,1000000000,500,1.413373384
7,2,1,1,600,3.28E-06
7,2,1,5,600,1.75E-05
7,2,1,10,600,3.15E-05
7,2,1,50,600,0.0001635227
7,2,1,100,600,0.0003286553
7,2,1,500,600,0.0016625944
7,2,1,1000,600,0.0033542897
7,2,1,5000,600,0.0168071437
7,2,1,10000,600,0.0329005396
7,2,1,50000,600,0.1446041332
7,2,1,100000,600,0.2452325153
7,2,1,500000,600,0.5175229614
7,2,1,1000000,600,0.5932428291
7,2,1,5000000,600,0.6622882335
7,2,1,10000000,600,0.6722586916
7,2,1,50000000,600,0.6890025562
7,2,1,100000000,600,0.6926421903
7,2,1,500000000,600,0.6934752521
7,2,1,1000000000,600,1.418164519
7,2,1,0.01,300,0.0183384122
7,2,1,0.05,300,0.0941487715
7,2,1,0.1,300,0.1765586745
7,2,1,0.5,300,0.4757074312
7,2,1,1,300,0.5781978422
7,2,1,5,300,0.6688045608
7,2,1,10,300,0.6818271848
7,2,1,50,300,0.6905894881
7,2,1,100,300,0.692007046
7,2,1,500,300,0.6932681708
7,2,1,1000,300,0.6933877944
7,2,1,5000,300,0.693447018
