     Pressure (Pa)     2mC6-400 (mol/kg)     33mC5-400 (mol/kg)     C7-400 (mol/kg)
    0.1000000000E+01    0.3110222195E-02    0.1266611140E-03    0.2329203978E-01
    0.3000000000E+01    0.8771788538E-02    0.3574869235E-03    0.6497821568E-01
    0.5000000000E+01    0.1381518780E-01    0.5634570595E-03    0.1012190440E+00
    0.7000000000E+01    0.1835846010E-01    0.7493436077E-03    0.1330316442E+00
    0.9000000000E+01    0.2249099420E-01    0.9187560577E-03    0.1611937117E+00
    0.1100000000E+02    0.2628166903E-01    0.1074472349E-02    0.1863101346E+00
    0.1300000000E+02    0.2978438283E-01    0.1218663569E-02    0.2088585320E+00
    0.1500000000E+02    0.3304189497E-01    0.1353049982E-02    0.2292211056E+00
    0.1700000000E+02    0.3608854998E-01    0.1479011596E-02    0.2477073768E+00
    0.1900000000E+02    0.3895224412E-01    0.1597667929E-02    0.2645707128E+00
    0.2100000000E+02    0.4165586842E-01    0.1709936499E-02    0.2800205368E+00
    0.2300000000E+02    0.4421838316E-01    0.1816576345E-02    0.2942314812E+00
    0.2500000000E+02    0.4665562853E-01    0.1918220842E-02    0.3073503434E+00
    0.2700000000E+02    0.4898094388E-01    0.2015402741E-02    0.3195014342E+00
    0.2900000000E+02    0.5120564586E-01    0.2108573495E-02    0.3307907373E+00
    0.3100000000E+02    0.5333940155E-01    0.2198118323E-02    0.3413091779E+00
    0.3300000000E+02    0.5539052227E-01    0.2284368068E-02    0.3511352138E+00
    0.3500000000E+02    0.5736619708E-01    0.2367608607E-02    0.3603369094E+00
    0.3700000000E+02    0.5927267976E-01    0.2448088382E-02    0.3689736078E+00
    0.3900000000E+02    0.6111543973E-01    0.2526024478E-02    0.3770972900E+00
    0.4100000000E+02    0.6289928477E-01    0.2601607553E-02    0.3847536864E+00
    0.4300000000E+02    0.6462846133E-01    0.2675005870E-02    0.3919831936E+00
    0.4500000000E+02    0.6630673721E-01    0.2746368614E-02    0.3988216328E+00
    0.4700000000E+02    0.6793746997E-01    0.2815828638E-02    0.4053008831E+00
    0.4900000000E+02    0.6952366394E-01    0.2883504744E-02    0.4114494118E+00
    0.1000000000E+02    0.2442539586E-01    0.9981784029E-03    0.1741002213E+00
    0.3000000000E+02    0.5228334375E-01    0.2153777318E-02    0.3361411461E+00
    0.5000000000E+02    0.7030091304E-01    0.2916707589E-02    0.4144077300E+00
    0.7000000000E+02    0.8403887563E-01    0.3508089694E-02    0.4611866936E+00
    0.9000000000E+02    0.9524386851E-01    0.3996912580E-02    0.4925946313E+00
    0.1100000000E+03    0.1047037662E+00    0.4414312166E-02    0.5152911695E+00
    0.1300000000E+03    0.1128590163E+00    0.4777789272E-02    0.5325457695E+00
    0.1500000000E+03    0.1199908416E+00    0.5098603220E-02    0.5461589805E+00
    0.1700000000E+03    0.1262946260E+00    0.5384639281E-02    0.5572076770E+00
    0.1900000000E+03    0.1319138768E+00    0.5641733003E-02    0.5663772959E+00
    0.2100000000E+03    0.1369581076E+00    0.5874368305E-02    0.5741259081E+00
    0.2300000000E+03    0.1415132275E+00    0.6086084366E-02    0.5807718755E+00
    0.2500000000E+03    0.1456480439E+00    0.6279731582E-02    0.5865437090E+00
    0.2700000000E+03    0.1494185739E+00    0.6457642145E-02    0.5916099120E+00
    0.2900000000E+03    0.1528710295E+00    0.6621748869E-02    0.5960976178E+00
    0.3100000000E+03    0.1560439586E+00    0.6773670828E-02    0.6001046558E+00
    0.3300000000E+03    0.1589698211E+00    0.6914776777E-02    0.6037076062E+00
    0.3500000000E+03    0.1616761765E+00    0.7046233147E-02    0.6069673233E+00
    0.3700000000E+03    0.1641865949E+00    0.7169041014E-02    0.6099328117E+00
    0.3900000000E+03    0.1665213657E+00    0.7284065012E-02    0.6126440036E+00
    0.4100000000E+03    0.1686980574E+00    0.7392056233E-02    0.6151337854E+00
    0.4300000000E+03    0.1707319642E+00    0.7493670564E-02    0.6174295018E+00
    0.4500000000E+03    0.1726364658E+00    0.7589483521E-02    0.6195540871E+00
    0.4700000000E+03    0.1744233205E+00    0.7680002347E-02    0.6215269289E+00
    0.4900000000E+03    0.1761029045E+00    0.7765675957E-02    0.6233645357E+00
    0.1000000000E+03    0.1001593699E+00    0.4213248362E-02    0.5047794828E+00
    0.3000000000E+03    0.1544902790E+00    0.6699142155E-02    0.5981560105E+00
    0.5000000000E+03    0.1769053844E+00    0.7806822200E-02    0.6242371282E+00
    0.7000000000E+03    0.1890821809E+00    0.8452088177E-02    0.6371560817E+00
    0.9000000000E+03    0.1966638943E+00    0.8881912811E-02    0.6450640925E+00
    0.1100000000E+04    0.2017994175E+00    0.9192894061E-02    0.6504862101E+00
    0.1300000000E+04    0.2054839314E+00    0.9430888294E-02    0.6544781651E+00
    0.1500000000E+04    0.2082403278E+00    0.9620572040E-02    0.6575646352E+00
    0.1700000000E+04    0.2103690073E+00    0.9776457972E-02    0.6600378966E+00
    0.1900000000E+04    0.2120544798E+00    0.9907668497E-02    0.6620745905E+00
    0.2100000000E+04    0.2134161284E+00    0.1002024282E-01    0.6637882250E+00
    0.2300000000E+04    0.2145344895E+00    0.1011834867E-01    0.6652553185E+00
    0.2500000000E+04    0.2154657868E+00    0.1020496197E-01    0.6665294781E+00
    0.2700000000E+04    0.2162504108E+00    0.1028226908E-01    0.6676494670E+00
    0.2900000000E+04    0.2169180911E+00    0.1035191551E-01    0.6686440665E+00
    0.3100000000E+04    0.2174911720E+00    0.1041516571E-01    0.6695351324E+00
    0.3300000000E+04    0.2179867549E+00    0.1047300896E-01    0.6703395852E+00
    0.3500000000E+04    0.2184181383E+00    0.1052623159E-01    0.6710707469E+00
