     Pressure (Pa)     22mC5-400 (mol/kg)     3mC6-400 (mol/kg)     23mC5-400 (mol/kg)     C7-400 (mol/kg)
    0.1000000000E+01    0.1592179538E-02    0.5257169659E-03    0.1025086730E-02    0.8530964219E-02
    0.3000000000E+01    0.4740038145E-02    0.1536412590E-02    0.3051781451E-02    0.2493497004E-01
    0.5000000000E+01    0.7840152038E-02    0.2496200184E-02    0.5047764453E-02    0.4051672459E-01
    0.7000000000E+01    0.1089359915E-01    0.3408820866E-02    0.7013728906E-02    0.5533655490E-01
    0.9000000000E+01    0.1390142520E-01    0.4277658206E-02    0.8950347273E-02    0.6944902699E-01
    0.1100000000E+02    0.1686464492E-01    0.5105779928E-02    0.1085827208E-01    0.8290361754E-01
    0.1300000000E+02    0.1978424315E-01    0.5895973916E-02    0.1273813664E-01    0.9574529377E-01
    0.1500000000E+02    0.2266117595E-01    0.6650779400E-02    0.1459055577E-01    0.1080150157E+00
    0.1700000000E+02    0.2549637166E-01    0.7372514067E-02    0.1641612645E-01    0.1197501730E+00
    0.1900000000E+02    0.2829073186E-01    0.8063297700E-02    0.1821542847E-01    0.1309849653E+00
    0.2100000000E+02    0.3104513237E-01    0.8725072850E-02    0.1998902504E-01    0.1417507358E+00
    0.2300000000E+02    0.3376042414E-01    0.9359622978E-02    0.2173746340E-01    0.1520762633E+00
    0.2500000000E+02    0.3643743412E-01    0.9968588404E-02    0.2346127532E-01    0.1619880187E+00
    0.2700000000E+02    0.3907696611E-01    0.1055348039E-01    0.2516097774E-01    0.1715103926E+00
    0.2900000000E+02    0.4167980157E-01    0.1111569356E-01    0.2683707320E-01    0.1806658952E+00
    0.3100000000E+02    0.4424670039E-01    0.1165651697E-01    0.2849005036E-01    0.1894753342E+00
    0.3300000000E+02    0.4677840160E-01    0.1217714389E-01    0.3012038451E-01    0.1979579729E+00
    0.3500000000E+02    0.4927562414E-01    0.1267868052E-01    0.3172853798E-01    0.2061316708E+00
    0.3700000000E+02    0.5173906748E-01    0.1316215381E-01    0.3331496060E-01    0.2140130090E+00
    0.3900000000E+02    0.5416941230E-01    0.1362851843E-01    0.3488009012E-01    0.2216174029E+00
    0.4100000000E+02    0.5656732111E-01    0.1407866299E-01    0.3642435260E-01    0.2289592029E+00
    0.4300000000E+02    0.5893343887E-01    0.1451341569E-01    0.3794816283E-01    0.2360517845E+00
    0.4500000000E+02    0.6126839355E-01    0.1493354934E-01    0.3945192465E-01    0.2429076297E+00
    0.4700000000E+02    0.6357279667E-01    0.1533978592E-01    0.4093603135E-01    0.2495384009E+00
    0.4900000000E+02    0.6584724389E-01    0.1573280068E-01    0.4240086600E-01    0.2559550065E+00
    0.1000000000E+02    0.1538854862E-01    0.4696628105E-02    0.9907856346E-02    0.7625564755E-01
    0.3000000000E+02    0.4296769639E-01    0.1138870227E-01    0.2766642155E-01    0.1851126343E+00
    0.5000000000E+02    0.6697341595E-01    0.1592454905E-01    0.4312617330E-01    0.2590862149E+00
    0.7000000000E+02    0.8805788653E-01    0.1919934385E-01    0.5670653193E-01    0.3126315365E+00
    0.9000000000E+02    0.1067236886E+00    0.2167325393E-01    0.6873072497E-01    0.3531859028E+00
    0.1100000000E+03    0.1233643711E+00    0.2360699587E-01    0.7945186975E-01    0.3849667952E+00
    0.1300000000E+03    0.1382924974E+00    0.2515930094E-01    0.8907100568E-01    0.4105442033E+00
    0.1500000000E+03    0.1517594572E+00    0.2643232288E-01    0.9774983323E-01    0.4315735438E+00
    0.1700000000E+03    0.1639697345E+00    0.2749477279E-01    0.1056198878E+00    0.4491692750E+00
    0.1900000000E+03    0.1750913594E+00    0.2839456255E-01    0.1127892610E+00    0.4641091894E+00
    0.2100000000E+03    0.1852636849E+00    0.2916611678E-01    0.1193476007E+00    0.4769526233E+00
    0.2300000000E+03    0.1946032545E+00    0.2983480369E-01    0.1253698848E+00    0.4881121262E+00
    0.2500000000E+03    0.2032082852E+00    0.3041972740E-01    0.1309193038E+00    0.4978986519E+00
    0.2700000000E+03    0.2111621338E+00    0.3093554748E-01    0.1360494898E+00    0.5065510204E+00
    0.2900000000E+03    0.2185360046E+00    0.3139369931E-01    0.1408062583E+00    0.5142556906E+00
    0.3100000000E+03    0.2253910861E+00    0.3180323352E-01    0.1452289821E+00    0.5211603652E+00
    0.3300000000E+03    0.2317802526E+00    0.3217140615E-01    0.1493516856E+00    0.5273835642E+00
    0.3500000000E+03    0.2377494294E+00    0.3250410200E-01    0.1532039228E+00    0.5330214933E+00
    0.3700000000E+03    0.2433386984E+00    0.3280614354E-01    0.1568114889E+00    0.5381530600E+00
    0.3900000000E+03    0.2485831988E+00    0.3308152000E-01    0.1601969988E+00    0.5428435947E+00
    0.4100000000E+03    0.2535138660E+00    0.3333355962E-01    0.1633803630E+00    0.5471476504E+00
    0.4300000000E+03    0.2581580421E+00    0.3356506096E-01    0.1663791803E+00    0.5511111374E+00
    0.4500000000E+03    0.2625399828E+00    0.3377839403E-01    0.1692090634E+00    0.5547729700E+00
    0.4700000000E+03    0.2666812811E+00    0.3397557921E-01    0.1718839119E+00    0.5581663501E+00
    0.4900000000E+03    0.2706012228E+00    0.3415834932E-01    0.1744161407E+00    0.5613197785E+00
    0.1000000000E+03    0.1152760010E+00    0.2269601939E-01    0.7424056294E-01    0.3699848417E+00
    0.3000000000E+03    0.2220249119E+00    0.3160405368E-01    0.1430571351E+00    0.5178000271E+00
    0.5000000000E+03    0.2724836556E+00    0.3424480394E-01    0.1756322946E+00    0.5628143331E+00
    0.7000000000E+03    0.3018814403E+00    0.3549048866E-01    0.1946377615E+00    0.5846156993E+00
    0.9000000000E+03    0.3211247526E+00    0.3620654756E-01    0.2070959402E+00    0.5974855878E+00
    0.1100000000E+04    0.3346983276E+00    0.3666670037E-01    0.2158958465E+00    0.6059828175E+00
    0.1300000000E+04    0.3447850449E+00    0.3698442727E-01    0.2224443431E+00    0.6120143265E+00
    0.1500000000E+04    0.3525747740E+00    0.3721509605E-01    0.2275086644E+00    0.6165187249E+00
    0.1700000000E+04    0.3587713589E+00    0.3738886494E-01    0.2315428678E+00    0.6200117417E+00
    0.1900000000E+04    0.3638177728E+00    0.3752352596E-01    0.2348328551E+00    0.6228002954E+00
    0.2100000000E+04    0.3680067239E+00    0.3763023261E-01    0.2375676336E+00    0.6250784743E+00
    0.2300000000E+04    0.3715393863E+00    0.3771631922E-01    0.2398771662E+00    0.6269750286E+00
    0.2500000000E+04    0.3745585828E+00    0.3778679874E-01    0.2418537628E+00    0.6285787360E+00
    0.2700000000E+04    0.3771685091E+00    0.3784520867E-01    0.2435647994E+00    0.6299528001E+00
    0.2900000000E+04    0.3794469642E+00    0.3789411312E-01    0.2450606064E+00    0.6311434432E+00
    0.3100000000E+04    0.3814532105E+00    0.3793541363E-01    0.2463795404E+00    0.6321852519E+00
    0.3300000000E+04    0.3832331834E+00    0.3797054843E-01    0.2475513461E+00    0.6331046229E+00
    0.3500000000E+04    0.3848230378E+00    0.3800062418E-01    0.2485994461E+00    0.6339220524E+00
    0.3700000000E+04    0.3862516192E+00    0.3802650533E-01    0.2495425362E+00    0.6346536984E+00
    0.3900000000E+04    0.3875422213E+00    0.3804887627E-01    0.2503957211E+00    0.6353124712E+00
    0.4100000000E+04    0.3887138608E+00    0.3806828527E-01    0.2511713376E+00    0.6359088106E+00
    0.4300000000E+04    0.3897822150E+00    0.3808517634E-01    0.2518795612E+00    0.6364512503E+00
    0.4500000000E+04    0.3907603244E+00    0.3809991251E-01    0.2525288596E+00    0.6369468341E+00
    0.4700000000E+04    0.3916591243E+00    0.3811279324E-01    0.2531263369E+00    0.6374014277E+00
    0.4900000000E+04    0.3924878531E+00    0.3812406750E-01    0.2536779976E+00    0.6378199550E+00
    0.1000000000E+04    0.3284513083E+00    0.3645951971E-01    0.2118443048E+00    0.6021283527E+00
    0.3000000000E+04    0.3804809781E+00    0.3791561492E-01    0.2457401526E+00    0.6316811413E+00
    0.5000000000E+04    0.3928784433E+00    0.3812916873E-01    0.2539382739E+00    0.6380170208E+00
    0.7000000000E+04    0.3984180354E+00    0.3818319228E-01    0.2576538163E+00    0.6408037143E+00
    0.9000000000E+04    0.4015492181E+00    0.3819207060E-01    0.2597835082E+00    0.6423807458E+00
    0.1100000000E+05    0.4035580228E+00    0.3818421884E-01    0.2611688520E+00    0.6434002134E+00
    0.1300000000E+05    0.4049537807E+00    0.3816942504E-01    0.2621447522E+00    0.6441162029E+00
    0.1500000000E+05    0.4059784266E+00    0.3815171259E-01    0.2628710527E+00    0.6446484231E+00
    0.1700000000E+05    0.4067615547E+00    0.3813292032E-01    0.2634337807E+00    0.6450607442E+00
    0.1900000000E+05    0.4073788103E+00    0.3811394330E-01    0.2638833874E+00    0.6453903940E+00
    0.2100000000E+05    0.4078772991E+00    0.3809523034E-01    0.2642514365E+00    0.6456605592E+00
    0.2300000000E+05    0.4082878759E+00    0.3807700535E-01    0.2645586991E+00    0.6458864469E+00
    0.2500000000E+05    0.4086315899E+00    0.3805937376E-01    0.2648194108E+00    0.6460784534E+00
    0.2700000000E+05    0.4089232886E+00    0.3804237677E-01    0.2650436600E+00    0.6462439319E+00
    0.2900000000E+05    0.4091737430E+00    0.3802602031E-01    0.2652387986E+00    0.6463882332E+00
    0.3100000000E+05    0.4093909540E+00    0.3801029105E-01    0.2654103131E+00    0.6465153463E+00
    0.3300000000E+05    0.4095809886E+00    0.3799516547E-01    0.2655623828E+00    0.6466283072E+00
    0.3500000000E+05    0.4097485290E+00    0.3798061505E-01    0.2656982483E+00    0.6467294687E+00
    0.3700000000E+05    0.4098972464E+00    0.3796660931E-01    0.2658204618E+00    0.6468206830E+00
    0.3900000000E+05    0.4100300588E+00    0.3795311757E-01    0.2659310612E+00    0.6469034290E+00
    0.4100000000E+05    0.4101493147E+00    0.3794010993E-01    0.2660316942E+00    0.6469789023E+00
    0.4300000000E+05    0.4102569249E+00    0.3792755785E-01    0.2661237077E+00    0.6470480799E+00
    0.4500000000E+05    0.4103544599E+00    0.3791543436E-01    0.2662082134E+00    0.6471117689E+00
    0.4700000000E+05    0.4104432220E+00    0.3790371421E-01    0.2662861377E+00    0.6471706416E+00
    0.4900000000E+05    0.4105243003E+00    0.3789237387E-01    0.2663582588E+00    0.6472252631E+00
    0.1000000000E+05    0.4026527595E+00    0.3818941621E-01    0.2605421948E+00    0.6429395868E+00
