     Pressure (Pa)     22mC5-400 (mol/kg)     3mC6-400 (mol/kg)     23mC5-400 (mol/kg)     C7-400 (mol/kg)
    0.1000000000E+01    0.1593050909E-02    0.2092789223E-02    0.6526846020E-03    0.1018833233E-01
    0.3000000000E+01    0.4747769498E-02    0.6060342789E-02    0.1945207472E-02    0.2950866249E-01
    0.5000000000E+01    0.7861326234E-02    0.9761527647E-02    0.3220881167E-02    0.4753824534E-01
    0.7000000000E+01    0.1093452148E-01    0.1322223269E-01    0.4480033211E-02    0.6440232741E-01
    0.9000000000E+01    0.1396813500E-01    0.1646509915E-01    0.5722982692E-02    0.8021045625E-01
    0.1100000000E+02    0.1696292657E-01    0.1951001430E-01    0.6950040532E-02    0.9505886550E-01
    0.1300000000E+02    0.1991963667E-01    0.2237451766E-01    0.8161509748E-02    0.1090324380E+00
    0.1500000000E+02    0.2283898705E-01    0.2507413745E-01    0.9357685699E-02    0.1222063316E+00
    0.1700000000E+02    0.2572168134E-01    0.2762267079E-01    0.1053885633E-01    0.1346473330E+00
    0.1900000000E+02    0.2856840563E-01    0.3003241831E-01    0.1170530240E-01    0.1464149918E+00
    0.2100000000E+02    0.3137982896E-01    0.3231438164E-01    0.1285729770E-01    0.1575625753E+00
    0.2300000000E+02    0.3415660391E-01    0.3447843041E-01    0.1399510929E-01    0.1681378753E+00
    0.2500000000E+02    0.3689936705E-01    0.3653344416E-01    0.1511899767E-01    0.1781838942E+00
    0.2700000000E+02    0.3960873947E-01    0.3848743344E-01    0.1622921702E-01    0.1877394304E+00
    0.2900000000E+02    0.4228532723E-01    0.4034764348E-01    0.1732601534E-01    0.1968395798E+00
    0.3100000000E+02    0.4492972178E-01    0.4212064349E-01    0.1840963469E-01    0.2055161673E+00
    0.3300000000E+02    0.4754250047E-01    0.4381240365E-01    0.1948031133E-01    0.2137981191E+00
    0.3500000000E+02    0.5012422691E-01    0.4542836184E-01    0.2053827593E-01    0.2217117853E+00
    0.3700000000E+02    0.5267545137E-01    0.4697348167E-01    0.2158375366E-01    0.2292812209E+00
    0.3900000000E+02    0.5519671123E-01    0.4845230304E-01    0.2261696446E-01    0.2365284297E+00
    0.4100000000E+02    0.5768853131E-01    0.4986898642E-01    0.2363812309E-01    0.2434735791E+00
    0.4300000000E+02    0.6015142422E-01    0.5122735162E-01    0.2464743935E-01    0.2501351874E+00
    0.4500000000E+02    0.6258589078E-01    0.5253091200E-01    0.2564511819E-01    0.2565302889E+00
    0.4700000000E+02    0.6499242028E-01    0.5378290452E-01    0.2663135985E-01    0.2626745799E+00
    0.4900000000E+02    0.6737149087E-01    0.5498631644E-01    0.2760636002E-01    0.2685825475E+00
    0.1000000000E+02    0.1547033680E-01    0.1801115364E-01    0.6338478947E-02    0.8774907513E-01
    0.3000000000E+02    0.4361151225E-01    0.4124465839E-01    0.1786945748E-01    0.2012289470E+00
    0.5000000000E+02    0.6855087551E-01    0.5557067578E-01    0.2808970447E-01    0.2714521349E+00
    0.7000000000E+02    0.9080544139E-01    0.6527783872E-01    0.3721080531E-01    0.3192044204E+00
    0.9000000000E+02    0.1107865964E+00    0.7228372881E-01    0.4540112432E-01    0.3537910669E+00
    0.1100000000E+03    0.1288257634E+00    0.7757419000E-01    0.5279630520E-01    0.3800017729E+00
    0.1300000000E+03    0.1451929299E+00    0.8170778999E-01    0.5950685203E-01    0.4005536100E+00
    0.1500000000E+03    0.1601102526E+00    0.8502459560E-01    0.6562369573E-01    0.4171027880E+00
    0.1700000000E+03    0.1737622006E+00    0.8774345205E-01    0.7122234428E-01    0.4307164317E+00
    0.1900000000E+03    0.1863032218E+00    0.9001155034E-01    0.7636601978E-01    0.4421131405E+00
    0.2100000000E+03    0.1978636115E+00    0.9193151750E-01    0.8110805972E-01    0.4517945592E+00
    0.2300000000E+03    0.2085540559E+00    0.9357708401E-01    0.8549377631E-01    0.4601215241E+00
    0.2500000000E+03    0.2184691873E+00    0.9500257773E-01    0.8956191121E-01    0.4673602394E+00
    0.2700000000E+03    0.2276903928E+00    0.9624890692E-01    0.9334578495E-01    0.4737113986E+00
    0.2900000000E+03    0.2362880534E+00    0.9734745891E-01    0.9687421318E-01    0.4793291736E+00
    0.3100000000E+03    0.2443233433E+00    0.9832271480E-01    0.1001722432E+00    0.4843339601E+00
    0.3300000000E+03    0.2518496881E+00    0.9919404784E-01    0.1032617504E+00    0.4888211499E+00
    0.3500000000E+03    0.2589139537E+00    0.9997698791E-01    0.1061619251E+00    0.4928673033E+00
    0.3700000000E+03    0.2655574233E+00    0.1006841283E+00    0.1088896725E+00    0.4965345796E+00
    0.3900000000E+03    0.2718166045E+00    0.1013257877E+00    0.1114599426E+00    0.4998739717E+00
    0.4100000000E+03    0.2777239003E+00    0.1019105006E+00    0.1138860051E+00    0.5029277072E+00
    0.4300000000E+03    0.2833081706E+00    0.1024453863E+00    0.1161796794E+00    0.5057310544E+00
    0.4500000000E+03    0.2885952032E+00    0.1029364304E+00    0.1183515269E+00    0.5083137003E+00
    0.4700000000E+03    0.2936081120E+00    0.1033887010E+00    0.1204110144E+00    0.5107008127E+00
    0.4900000000E+03    0.2983676753E+00    0.1038065182E+00    0.1223666525E+00    0.5129138692E+00
    0.1000000000E+03    0.1200307936E+00    0.7510170054E-01    0.4919068467E-01    0.3677407036E+00
    0.3000000000E+03    0.2403724890E+00    0.9784918523E-01    0.9855059257E-01    0.4819017249E+00
    0.5000000000E+03    0.3006583784E+00    0.1040036853E+00    0.1233079554E+00    0.5139609927E+00
    0.7000000000E+03    0.3368652622E+00    0.1068095961E+00    0.1381948985E+00    0.5291149987E+00
    0.9000000000E+03    0.3610168552E+00    0.1083900462E+00    0.1481371208E+00    0.5379665564E+00
    0.1100000000E+04    0.3782739286E+00    0.1093905983E+00    0.1552496936E+00    0.5437813828E+00
    0.1300000000E+04    0.3912194242E+00    0.1100729457E+00    0.1605916352E+00    0.5478997382E+00
    0.1500000000E+04    0.4012893220E+00    0.1105628574E+00    0.1647519446E+00    0.5509735738E+00
    0.1700000000E+04    0.4093456655E+00    0.1109280791E+00    0.1680843515E+00    0.5533582885E+00
    0.1900000000E+04    0.4159372530E+00    0.1112082288E+00    0.1708141400E+00    0.5552642115E+00
