     Pressure (Pa)     22mC5-400 (mol/kg)     3mC6-400 (mol/kg)     23mC5-400 (mol/kg)     C7-400 (mol/kg)
    0.1000000000E+01    0.1594142716E-02    0.4690731700E-02    0.1866090050E-03    0.1014948214E-01
    0.3000000000E+01    0.4757480344E-02    0.1348553579E-01    0.5569092803E-03    0.2918515534E-01
    0.5000000000E+01    0.7887985849E-02    0.2157623466E-01    0.9233697069E-03    0.4670437058E-01
    0.7000000000E+01    0.1098616781E-01    0.2904396342E-01    0.1286049747E-02    0.6288158894E-01
    0.9000000000E+01    0.1405252434E-01    0.3595785854E-01    0.1645007642E-02    0.7786549199E-01
    0.1100000000E+02    0.1708754339E-01    0.4237719640E-01    0.2000300442E-02    0.9178357431E-01
    0.1300000000E+02    0.2009170299E-01    0.4835309015E-01    0.2351984036E-02    0.1047457879E+00
    0.1500000000E+02    0.2306547145E-01    0.5392984793E-01    0.2700113184E-02    0.1168474594E+00
    0.1700000000E+02    0.2600930772E-01    0.5914606865E-01    0.3044741541E-02    0.1281716439E+00
    0.1900000000E+02    0.2892366149E-01    0.6403553258E-01    0.3385921691E-02    0.1387910380E+00
    0.2100000000E+02    0.3180897353E-01    0.6862793043E-01    0.3723705167E-02    0.1487695464E+00
    0.2300000000E+02    0.3466567585E-01    0.7294946384E-01    0.4058142479E-02    0.1581635719E+00
    0.2500000000E+02    0.3749419193E-01    0.7702334315E-01    0.4389283144E-02    0.1670230851E+00
    0.2700000000E+02    0.4029493695E-01    0.8087020234E-01    0.4717175703E-02    0.1753925159E+00
    0.2900000000E+02    0.4306831795E-01    0.8450844672E-01    0.5041867751E-02    0.1833115010E+00
    0.3100000000E+02    0.4581473407E-01    0.8795454584E-01    0.5363405956E-02    0.1908155133E+00
    0.3300000000E+02    0.4853457672E-01    0.9122328141E-01    0.5681836083E-02    0.1979363947E+00
    0.3500000000E+02    0.5122822979E-01    0.9432795801E-01    0.5997203017E-02    0.2047028093E+00
    0.3700000000E+02    0.5389606977E-01    0.9728058308E-01    0.6309550780E-02    0.2111406300E+00
    0.3900000000E+02    0.5653846600E-01    0.1000920212E+00    0.6618922556E-02    0.2172732706E+00
    0.4100000000E+02    0.5915578080E-01    0.1027721267E+00    0.6925360710E-02    0.2231219707E+00
    0.4300000000E+02    0.6174836965E-01    0.1053298588E+00    0.7228906806E-02    0.2287060429E+00
    0.4500000000E+02    0.6431658131E-01    0.1077733803E+00    0.7529601624E-02    0.2340430864E+00
    0.4700000000E+02    0.6686075806E-01    0.1101101448E+00    0.7827485184E-02    0.2391491726E+00
    0.4900000000E+02    0.6938123576E-01    0.1123469715E+00    0.8122596759E-02    0.2440390078E+00
    0.1000000000E+02    0.1557392095E-01    0.3922597859E-01    0.1823108659E-02    0.8495051487E-01
    0.3000000000E+02    0.4444487197E-01    0.8625455365E-01    0.5203028203E-02    0.1871133092E+00
    0.5000000000E+02    0.7063269072E-01    0.1134298823E+00    0.8269125125E-02    0.2464070890E+00
    0.7000000000E+02    0.9449485031E-01    0.1311126931E+00    0.1106319706E-01    0.2851584260E+00
    0.9000000000E+02    0.1163280203E+00    0.1435255553E+00    0.1361993323E-01    0.3124800585E+00
    0.1100000000E+03    0.1363804675E+00    0.1527114241E+00    0.1596836412E-01    0.3327873496E+00
    0.1300000000E+03    0.1548615406E+00    0.1597789330E+00    0.1813297015E-01    0.3484798533E+00
    0.1500000000E+03    0.1719490084E+00    0.1653815574E+00    0.2013453961E-01    0.3609740426E+00
