     Pressure (Pa)     22mC5-400 (mol/kg)     3mC6-400 (mol/kg)     23mC5-400 (mol/kg)     C7-400 (mol/kg)
    0.1000000000E+01    0.3180835425E-02    0.4725824441E-02    0.1861733539E-03    0.5112517382E-02
    0.3000000000E+01    0.9448914558E-02    0.1377976611E-01    0.5530471092E-03    0.1490934198E-01
    0.5000000000E+01    0.1559523486E-01    0.2233954962E-01    0.9128007338E-03    0.2417404599E-01
    0.7000000000E+01    0.2162331005E-01    0.3044449494E-01    0.1265639639E-02    0.3294890105E-01
    0.9000000000E+01    0.2753651995E-01    0.3812985983E-01    0.1611761408E-02    0.4127181517E-01
    0.1100000000E+02    0.3333811678E-01    0.4542735114E-01    0.1951356168E-02    0.4917688173E-01
    0.1300000000E+02    0.3903123114E-01    0.5236556081E-01    0.2284606936E-02    0.5669484761E-01
    0.1500000000E+02    0.4461887762E-01    0.5897033912E-01    0.2611689947E-02    0.6385351400E-01
    0.1700000000E+02    0.5010396016E-01    0.6526511559E-01    0.2932774969E-02    0.7067808099E-01
    0.1900000000E+02    0.5548927703E-01    0.7127117582E-01    0.3248025596E-02    0.7719144487E-01
    0.2100000000E+02    0.6077752565E-01    0.7700790117E-01    0.3557599524E-02    0.8341445554E-01
    0.2300000000E+02    0.6597130706E-01    0.8249297701E-01    0.3861648814E-02    0.8936614020E-01
    0.2500000000E+02    0.7107313018E-01    0.8774257424E-01    0.4160320148E-02    0.9506389832E-01
    0.2700000000E+02    0.7608541589E-01    0.9277150796E-01    0.4453755055E-02    0.1005236720E+00
    0.2900000000E+02    0.8101050079E-01    0.9759337664E-01    0.4742090142E-02    0.1057600957E+00
    0.3100000000E+02    0.8585064092E-01    0.1022206844E+00    0.5025457307E-02    0.1107866272E+00
    0.3300000000E+02    0.9060801515E-01    0.1066649491E+00    0.5303983934E-02    0.1156156640E+00
    0.3500000000E+02    0.9528472844E-01    0.1109367974E+00    0.5577793089E-02    0.1202586455E+00
    0.3700000000E+02    0.9988281500E-01    0.1150460494E+00    0.5847003703E-02    0.1247261440E+00
    0.3900000000E+02    0.1044042412E+00    0.1190017940E+00    0.6111730739E-02    0.1290279452E+00
    0.4100000000E+02    0.1088509084E+00    0.1228124551E+00    0.6372085359E-02    0.1331731198E+00
    0.4300000000E+02    0.1132246555E+00    0.1264858521E+00    0.6628175082E-02    0.1371700884E+00
    0.4500000000E+02    0.1175272617E+00    0.1300292523E+00    0.6880103927E-02    0.1410266779E+00
    0.4700000000E+02    0.1217604488E+00    0.1334494196E+00    0.7127972560E-02    0.1447501733E+00
    0.4900000000E+02    0.1259258833E+00    0.1367526565E+00    0.7371878423E-02    0.1483473640E+00
    0.1000000000E+02    0.3045107156E-01    0.4182523434E-01    0.1782363063E-02    0.4527458428E-01
    0.3000000000E+02    0.8344105100E-01    0.9993060884E-01    0.4884386650E-02    0.1082987995E+00
    0.5000000000E+02    0.1279836997E+00    0.1383622793E+00    0.7492374917E-02    0.1501005914E+00
    0.7000000000E+02    0.1659498625E+00    0.1656531633E+00    0.9715708018E-02    0.1798673064E+00
    0.9000000000E+02    0.1986959097E+00    0.1860264055E+00    0.1163369178E-01    0.2021504035E+00
    0.1100000000E+03    0.2272292087E+00    0.2018109576E+00    0.1330522968E-01    0.2194623187E+00
    0.1300000000E+03    0.2523135911E+00    0.2143963318E+00    0.1477498770E-01    0.2333034792E+00
    0.1500000000E+03    0.2745387534E+00    0.2246627987E+00    0.1607745114E-01    0.2446253336E+00
    0.1700000000E+03    0.2943672044E+00    0.2331950416E+00    0.1723966899E-01    0.2540604468E+00
    0.1900000000E+03    0.3121668014E+00    0.2403965830E+00    0.1828315606E-01    0.2620458030E+00
    0.2100000000E+03    0.3282337845E+00    0.2465548825E+00    0.1922523950E-01    0.2688929948E+00
    0.2300000000E+03    0.3428093967E+00    0.2518802505E+00    0.2008003054E-01    0.2748302050E+00
    0.2500000000E+03    0.3560920804E+00    0.2565300925E+00    0.2085913753E-01    0.2800283762E+00
    0.2700000000E+03    0.3682465664E+00    0.2606245527E+00    0.2157219735E-01    0.2846181086E+00
    0.2900000000E+03    0.3794107411E+00    0.2642569184E+00    0.2222727695E-01    0.2887009028E+00
    0.3100000000E+03    0.3897009002E+00    0.2675007233E+00    0.2283118056E-01    0.2923568419E+00
    0.3300000000E+03    0.3992158162E+00    0.2704147099E+00    0.2338968747E-01    0.2956499598E+00
    0.3500000000E+03    0.4080399182E+00    0.2730463682E+00    0.2390773807E-01    0.2986320727E+00
    0.3700000000E+03    0.4162458052E+00    0.2754345052E+00    0.2438958071E-01    0.3013455622E+00
    0.3900000000E+03    0.4238962473E+00    0.2776111413E+00    0.2483888883E-01    0.3038254301E+00
    0.4100000000E+03    0.4310457949E+00    0.2796029301E+00    0.2525885501E-01    0.3061008394E+00
    0.4300000000E+03    0.4377420817E+00    0.2814322374E+00    0.2565226721E-01    0.3081962835E+00
    0.4500000000E+03    0.4440268870E+00    0.2831179687E+00    0.2602157086E-01    0.3101324857E+00
    0.4700000000E+03    0.4499370084E+00    0.2846762131E+00    0.2636891995E-01    0.3119270984E+00
    0.4900000000E+03    0.4555049828E+00    0.2861207486E+00    0.2669621917E-01    0.3135952519E+00
    0.1000000000E+03    0.2134366538E+00    0.1943899434E+00    0.1249719658E-01    0.2113172992E+00
    0.3000000000E+03    0.3846585296E+00    0.2659234200E+00    0.2253524292E-01    0.2905779020E+00
    0.5000000000E+03    0.4581698173E+00    0.2868041494E+00    0.2685288589E-01    0.3143860542E+00
    0.7000000000E+03    0.4990436786E+00    0.2966684262E+00    0.2925796234E-01    0.3259478876E+00
