     Pressure (Pa)     22mC5-400 (mol/kg)     3mC6-400 (mol/kg)     23mC5-400 (mol/kg)     C7-400 (mol/kg)
    0.1000000000E+01    0.2122120221E-02    0.1048007178E-02    0.7452419046E-03    0.1020395445E-01
    0.3000000000E+01    0.6313091205E-02    0.3043734879E-02    0.2217035537E-02    0.2964007501E-01
    0.5000000000E+01    0.1043450961E-01    0.4916052846E-02    0.3664425724E-02    0.4788018336E-01
    0.7000000000E+01    0.1448809256E-01    0.6676034393E-02    0.5088014759E-02    0.6503142029E-01
    0.9000000000E+01    0.1847550110E-01    0.8333467392E-02    0.6488385270E-02    0.8118849925E-01
    0.1100000000E+02    0.2239834249E-01    0.9897035492E-02    0.7866101023E-02    0.9643545739E-01
    0.1300000000E+02    0.2625817237E-01    0.1137446952E-01    0.9221707674E-02    0.1108471188E+00
    0.1500000000E+02    0.3005649678E-01    0.1277267465E-01    0.1055573350E-01    0.1244903233E+00
    0.1700000000E+02    0.3379477417E-01    0.1409783771E-01    0.1186869006E-01    0.1374249639E+00
    0.1900000000E+02    0.3747441723E-01    0.1535551822E-01    0.1316107289E-01    0.1497048664E+00
    0.2100000000E+02    0.4109679467E-01    0.1655072590E-01    0.1443336209E-01    0.1613785389E+00
    0.2300000000E+02    0.4466323296E-01    0.1768798698E-01    0.1568602294E-01    0.1724898123E+00
    0.2500000000E+02    0.4817501788E-01    0.1877140111E-01    0.1691950648E-01    0.1830783912E+00
    0.2700000000E+02    0.5163339612E-01    0.1980469047E-01    0.1813424999E-01    0.1931803283E+00
    0.2900000000E+02    0.5503957675E-01    0.2079124221E-01    0.1933067761E-01    0.2028284343E+00
    0.3100000000E+02    0.5839473260E-01    0.2173414531E-01    0.2050920072E-01    0.2120526352E+00
    0.3300000000E+02    0.6170000164E-01    0.2263622264E-01    0.2167021852E-01    0.2208802818E+00
    0.3500000000E+02    0.6495648824E-01    0.2350005904E-01    0.2281411838E-01    0.2293364212E+00
    0.3700000000E+02    0.6816526441E-01    0.2432802588E-01    0.2394127636E-01    0.2374440344E+00
    0.3900000000E+02    0.7132737099E-01    0.2512230260E-01    0.2505205757E-01    0.2452242447E+00
    0.4100000000E+02    0.7444381875E-01    0.2588489577E-01    0.2614681658E-01    0.2526965022E+00
    0.4300000000E+02    0.7751558949E-01    0.2661765591E-01    0.2722589778E-01    0.2598787460E+00
    0.4500000000E+02    0.8054363706E-01    0.2732229229E-01    0.2828963578E-01    0.2667875480E+00
    0.4700000000E+02    0.8352888835E-01    0.2800038624E-01    0.2933835573E-01    0.2734382411E+00
    0.4900000000E+02    0.8647224423E-01    0.2865340283E-01    0.3037237365E-01    0.2798450325E+00
    0.1000000000E+02    0.2044489427E-01    0.9126480643E-02    0.7180040472E-02    0.8892086641E-01
    0.3000000000E+02    0.5672346085E-01    0.2126796752E-01    0.1992215200E-01    0.2074917565E+00
    0.5000000000E+02    0.8792848602E-01    0.2897093577E-01    0.3088396568E-01    0.2829611223E+00
    0.7000000000E+02    0.1150546774E+00    0.3428793736E-01    0.4041441308E-01    0.3352224142E+00
    0.9000000000E+02    0.1388526677E+00    0.3817563759E-01    0.4877682069E-01    0.3735580329E+00
    0.1100000000E+03    0.1598995499E+00    0.4113992344E-01    0.5617364645E-01    0.4028819900E+00
    0.1300000000E+03    0.1786462873E+00    0.4347335587E-01    0.6276310729E-01    0.4260392748E+00
    0.1500000000E+03    0.1954503876E+00    0.4535685192E-01    0.6867063823E-01    0.4447911538E+00
    0.1700000000E+03    0.2105989190E+00    0.4690827864E-01    0.7399696514E-01    0.4602863589E+00
    0.1900000000E+03    0.2243250441E+00    0.4820770385E-01    0.7882390383E-01    0.4733060944E+00
    0.2100000000E+03    0.2368201056E+00    0.4931141481E-01    0.8321859907E-01    0.4844001500E+00
    0.2300000000E+03    0.2482426000E+00    0.5026013057E-01    0.8723667228E-01    0.4939666904E+00
    0.2500000000E+03    0.2587249354E+00    0.5108403207E-01    0.9092459203E-01    0.5023011609E+00
    0.2700000000E+03    0.2683785869E+00    0.5180596115E-01    0.9432148254E-01    0.5096274086E+00
    0.2900000000E+03    0.2772980766E+00    0.5244352136E-01    0.9746051960E-01    0.5161181357E+00
    0.3100000000E+03    0.2855640777E+00    0.5301049658E-01    0.1003700198E+00    0.5219087192E+00
    0.3300000000E+03    0.2932458614E+00    0.5351783254E-01    0.1030742989E+00    0.5271067791E+00
    0.3500000000E+03    0.3004032427E+00    0.5397433066E-01    0.1055943543E+00    0.5317989463E+00
    0.3700000000E+03    0.3070881406E+00    0.5438714794E-01    0.1079484124E+00    0.5360557430E+00
    0.3900000000E+03    0.3133458394E+00    0.5476216329E-01    0.1101523716E+00    0.5399351606E+00
    0.4100000000E+03    0.3192160157E+00    0.5510425026E-01    0.1122201619E+00    0.5434853253E+00
    0.4300000000E+03    0.3247335802E+00    0.5541748276E-01    0.1141640410E+00    0.5467465106E+00
    0.4500000000E+03    0.3299293729E+00    0.5570529233E-01    0.1159948376E+00    0.5497526764E+00
    0.4700000000E+03    0.3348307390E+00    0.5597058974E-01    0.1177221540E+00    0.5525326598E+00
    0.4900000000E+03    0.3394620107E+00    0.5621585997E-01    0.1193545347E+00    0.5551111064E+00
    0.1000000000E+03    0.1496892958E+00    0.3975148673E-01    0.5258516011E-01    0.3891353198E+00
    0.3000000000E+03    0.2815081915E+00    0.5273509073E-01    0.9894235706E-01    0.5190936590E+00
    0.5000000000E+03    0.3416832418E+00    0.5633166380E-01    0.1201375405E+00    0.5563314929E+00
    0.7000000000E+03    0.3761388473E+00    0.5798400705E-01    0.1322924958E+00    0.5740154982E+00
    0.9000000000E+03    0.3984591268E+00    0.5891836459E-01    0.1401785915E+00    0.5843562667E+00
    0.1100000000E+04    0.4140941615E+00    0.5951132788E-01    0.1457111747E+00    0.5911474191E+00
    0.1300000000E+04    0.4256554872E+00    0.5991639165E-01    0.1498085136E+00    0.5959525278E+00
    0.1500000000E+04    0.4345511721E+00    0.6020758382E-01    0.1529659718E+00    0.5995340025E+00
    0.1700000000E+04    0.4416074348E+00    0.6042487781E-01    0.1554743669E+00    0.6023080492E+00
    0.1900000000E+04    0.4473410427E+00    0.6059169318E-01    0.1575156879E+00    0.6045211917E+00
    0.2100000000E+04    0.4520917823E+00    0.6072262636E-01    0.1592096585E+00    0.6063287702E+00
    0.2300000000E+04    0.4560922466E+00    0.6082722755E-01    0.1606382751E+00    0.6078335466E+00
    0.2500000000E+04    0.4595070147E+00    0.6091199517E-01    0.1618595864E+00    0.6091062239E+00
    0.2700000000E+04    0.4624558172E+00    0.6098149633E-01    0.1629158448E+00    0.6101970494E+00
    0.2900000000E+04    0.4650278382E+00    0.6103902898E-01    0.1638385386E+00    0.6111427179E+00
    0.3100000000E+04    0.4672908722E+00    0.6108703028E-01    0.1646516165E+00    0.6119706551E+00
    0.3300000000E+04    0.4692973731E+00    0.6112733734E-01    0.1653736176E+00    0.6127017726E+00
    0.3500000000E+04    0.4710885611E+00    0.6116135922E-01    0.1660191179E+00    0.6133522949E+00
    0.3700000000E+04    0.4726972766E+00    0.6119019312E-01    0.1665997363E+00    0.6139350044E+00
    0.3900000000E+04    0.4741500068E+00    0.6121470503E-01    0.1671248485E+00    0.6144601087E+00
    0.4100000000E+04    0.4754683504E+00    0.6123558669E-01    0.1676021039E+00    0.6149358586E+00
    0.4300000000E+04    0.4766700964E+00    0.6125339658E-01    0.1680378058E+00    0.6153689964E+00
    0.4500000000E+04    0.4777700275E+00    0.6126859003E-01    0.1684371949E+00    0.6157650855E+00
    0.4700000000E+04    0.4787805302E+00    0.6128154152E-01    0.1688046646E+00    0.6161287579E+00
    0.4900000000E+04    0.4797120608E+00    0.6129256150E-01    0.1691439257E+00    0.6164639016E+00
    0.1000000000E+04    0.4069094625E+00    0.5924517882E-01    0.1431677611E+00    0.5880701943E+00
    0.3000000000E+04    0.4661943962E+00    0.6106409451E-01    0.1642575136E+00    0.6115699681E+00
    0.5000000000E+04    0.4801510422E+00    0.6129742991E-01    0.1693039830E+00    0.6166218228E+00
    0.7000000000E+04    0.4863738236E+00    0.6133833674E-01    0.1715889610E+00    0.6188657741E+00
    0.9000000000E+04    0.4898904409E+00    0.6132809861E-01    0.1728998827E+00    0.6201493876E+00
    0.1100000000E+05    0.4921477457E+00    0.6130060267E-01    0.1737539883E+00    0.6209882155E+00
    0.1300000000E+05    0.4937176048E+00    0.6126705057E-01    0.1743568061E+00    0.6215836662E+00
    0.1500000000E+05    0.4948713681E+00    0.6123180855E-01    0.1748063678E+00    0.6220309331E+00
    0.1700000000E+05    0.4957543031E+00    0.6119673096E-01    0.1751554253E+00    0.6223809818E+00
    0.1900000000E+05    0.4964511805E+00    0.6116262634E-01    0.1754349190E+00    0.6226636257E+00
    0.2100000000E+05    0.4970147836E+00    0.6112983109E-01    0.1756642121E+00    0.6228975017E+00
    0.2300000000E+05    0.4974796881E+00    0.6109845755E-01    0.1758560523E+00    0.6230948783E+00
    0.2500000000E+05    0.4978694844E+00    0.6106850930E-01    0.1760191809E+00    0.6232641743E+00
    0.2700000000E+05    0.4982008164E+00    0.6103993769E-01    0.1761597959E+00    0.6234113660E+00
    0.2900000000E+05    0.4984857609E+00    0.6101267038E-01    0.1762824171E+00    0.6235408189E+00
    0.3100000000E+05    0.4987332921E+00    0.6098662622E-01    0.1763904198E+00    0.6236557992E+00
    0.3300000000E+05    0.4989502166E+00    0.6096172292E-01    0.1764863767E+00    0.6237588020E+00
    0.3500000000E+05    0.4991417902E+00    0.6093788091E-01    0.1765722840E+00    0.6238517681E+00
    0.3700000000E+05    0.4993121346E+00    0.6091502526E-01    0.1766497149E+00    0.6239362307E+00
    0.3900000000E+05    0.4994645278E+00    0.6089308642E-01    0.1767199269E+00    0.6240134185E+00
    0.4100000000E+05    0.4996016086E+00    0.6087200036E-01    0.1767839371E+00    0.6240843283E+00
    0.4300000000E+05    0.4997255255E+00    0.6085170840E-01    0.1768425775E+00    0.6241497778E+00
    0.4500000000E+05    0.4998380448E+00    0.6083215693E-01    0.1768965357E+00    0.6242104444E+00
    0.4700000000E+05    0.4999406320E+00    0.6081329700E-01    0.1769463847E+00    0.6242668947E+00
    0.4900000000E+05    0.5000345132E+00    0.6079508392E-01    0.1769926065E+00    0.6243196064E+00
    0.1000000000E+05    0.4911302796E+00    0.6131555882E-01    0.1733674462E+00    0.6206080928E+00
    0.3000000000E+05    0.4986137353E+00    0.6099950058E-01    0.1763380693E+00    0.6235999471E+00
    0.5000000000E+05    0.5000785185E+00    0.6078620705E-01    0.1770144872E+00    0.6243446895E+00
    0.7000000000E+05    0.5006838954E+00    0.6063440475E-01    0.1773343034E+00    0.6247227042E+00
    0.9000000000E+05    0.5010068820E+00    0.6051707622E-01    0.1775280006E+00    0.6249649636E+00
    0.1100000000E+06    0.5012036957E+00    0.6042157424E-01    0.1776613040E+00    0.6251395517E+00
    0.1300000000E+06    0.5013338206E+00    0.6034109342E-01    0.1777604872E+00    0.6252745275E+00
    0.1500000000E+06    0.5014247066E+00    0.6027157082E-01    0.1778382540E+00    0.6253838422E+00
    0.1700000000E+06    0.5014907131E+00    0.6021039137E-01    0.1779015586E+00    0.6254753313E+00
    0.1900000000E+06    0.5015400508E+00    0.6015577439E-01    0.1779545571E+00    0.6255537898E+00
    0.2100000000E+06    0.5015777375E+00    0.6010645330E-01    0.1779999021E+00    0.6256223456E+00
    0.2300000000E+06    0.5016070024E+00    0.6006149537E-01    0.1780393752E+00    0.6256831426E+00
    0.2500000000E+06    0.5016300121E+00    0.6002019398E-01    0.1780742226E+00    0.6257377090E+00
    0.2700000000E+06    0.5016482700E+00    0.5998200106E-01    0.1781053458E+00    0.6257871698E+00
    0.2900000000E+06    0.5016628496E+00    0.5994648302E-01    0.1781334152E+00    0.6258323756E+00
    0.3100000000E+06    0.5016745359E+00    0.5991329097E-01    0.1781589411E+00    0.6258739840E+00
    0.3300000000E+06    0.5016839150E+00    0.5988214001E-01    0.1781823203E+00    0.6259125133E+00
    0.3500000000E+06    0.5016914322E+00    0.5985279448E-01    0.1782038661E+00    0.6259483790E+00
    0.3700000000E+06    0.5016974312E+00    0.5982505730E-01    0.1782238302E+00    0.6259819187E+00
    0.3900000000E+06    0.5017021812E+00    0.5979876190E-01    0.1782424173E+00    0.6260134105E+00
    0.4100000000E+06    0.5017058951E+00    0.5977376633E-01    0.1782597961E+00    0.6260430862E+00
    0.4300000000E+06    0.5017087438E+00    0.5974994855E-01    0.1782761069E+00    0.6260711406E+00
    0.4500000000E+06    0.5017108653E+00    0.5972720296E-01    0.1782914674E+00    0.6260977391E+00
    0.4700000000E+06    0.5017123722E+00    0.5970543750E-01    0.1783059778E+00    0.6261230233E+00
    0.4900000000E+06    0.5017133571E+00    0.5968457150E-01    0.1783197232E+00    0.6261471154E+00
    0.1000000000E+06    0.5011162137E+00    0.6046710946E-01    0.1776000871E+00    0.6250584758E+00
    0.3000000000E+06    0.5016690139E+00    0.5992961536E-01    0.1781464690E+00    0.6258535943E+00
    0.5000000000E+06    0.5017136784E+00    0.5967445322E-01    0.1783263324E+00    0.6261587480E+00
    0.7000000000E+06    0.5017058274E+00    0.5950574954E-01    0.1784318062E+00    0.6263485113E+00
    0.9000000000E+06    0.5016865948E+00    0.5937960744E-01    0.1785059297E+00    0.6264862198E+00
    0.1100000000E+07    0.5016649124E+00    0.5927886222E-01    0.1785629165E+00    0.6265942679E+00
    0.1300000000E+07    0.5016433657E+00    0.5919500386E-01    0.1786091425E+00    0.6266831557E+00
    0.1500000000E+07    0.5016227705E+00    0.5912318918E-01    0.1786479990E+00    0.6267586466E+00
    0.1700000000E+07    0.5016033533E+00    0.5906039808E-01    0.1786814988E+00    0.6268242444E+00
    0.1900000000E+07    0.5015851264E+00    0.5900462002E-01    0.1787109322E+00    0.6268822375E+00
    0.2100000000E+07    0.5015680244E+00    0.5895444903E-01    0.1787371750E+00    0.6269342030E+00
    0.2300000000E+07    0.5015519569E+00    0.5890886330E-01    0.1787608484E+00    0.6269812738E+00
    0.2500000000E+07    0.5015368298E+00    0.5886709691E-01    0.1787824089E+00    0.6270242909E+00
    0.2700000000E+07    0.5015225543E+00    0.5882856097E-01    0.1788022016E+00    0.6270638958E+00
    0.2900000000E+07    0.5015090494E+00    0.5879279298E-01    0.1788204934E+00    0.6271005889E+00
    0.3100000000E+07    0.5014962429E+00    0.5875942304E-01    0.1788374953E+00    0.6271347682E+00
    0.3300000000E+07    0.5014840707E+00    0.5872815072E-01    0.1788533768E+00    0.6271667554E+00
    0.3500000000E+07    0.5014724761E+00    0.5869872868E-01    0.1788682762E+00    0.6271968141E+00
    0.3700000000E+07    0.5014614093E+00    0.5867095086E-01    0.1788823075E+00    0.6272251630E+00
    0.3900000000E+07    0.5014508261E+00    0.5864464376E-01    0.1788955662E+00    0.6272519859E+00
    0.4100000000E+07    0.5014406872E+00    0.5861965996E-01    0.1789081327E+00    0.6272774382E+00
    0.4300000000E+07    0.5014309578E+00    0.5859587312E-01    0.1789200756E+00    0.6273016528E+00
    0.4500000000E+07    0.5014216070E+00    0.5857317416E-01    0.1789314538E+00    0.6273247444E+00
    0.4700000000E+07    0.5014126070E+00    0.5855146825E-01    0.1789423182E+00    0.6273468121E+00
    0.4900000000E+07    0.5014039329E+00    0.5853067241E-01    0.1789527131E+00    0.6273679427E+00
    0.1000000000E+07    0.5016758320E+00    0.5932671196E-01    0.1785360661E+00    0.6265431376E+00
    0.3000000000E+07    0.5015025631E+00    0.5877582844E-01    0.1788291441E+00    0.6271179711E+00
    0.5000000000E+07    0.5013997109E+00    0.5852059262E-01    0.1789577468E+00    0.6273781808E+00
    0.7000000000E+07    0.5013279702E+00    0.5835290538E-01    0.1790411033E+00    0.6275481718E+00
    0.9000000000E+07    0.5012729303E+00    0.5822790076E-01    0.1791028776E+00    0.6276745756E+00
    0.1100000000E+08    0.5012282829E+00    0.5812824129E-01    0.1791519740E+00    0.6277752108E+00
    0.1300000000E+08    0.5011907238E+00    0.5804538412E-01    0.1791927190E+00    0.6278588074E+00
    0.1500000000E+08    0.5011583080E+00    0.5797448616E-01    0.1792275446E+00    0.6279302969E+00
    0.1700000000E+08    0.5011297949E+00    0.5791253538E-01    0.1792579543E+00    0.6279927395E+00
    0.1900000000E+08    0.5011043445E+00    0.5785753055E-01    0.1792849429E+00    0.6280481646E+00
    0.2100000000E+08    0.5010813618E+00    0.5780807430E-01    0.1793092030E+00    0.6280979878E+00
    0.2300000000E+08    0.5010604098E+00    0.5776315229E-01    0.1793312359E+00    0.6281432355E+00
    0.2500000000E+08    0.5010411584E+00    0.5772200494E-01    0.1793514164E+00    0.6281846756E+00
    0.2700000000E+08    0.5010233518E+00    0.5768404870E-01    0.1793700320E+00    0.6282228980E+00
    0.2900000000E+08    0.5010067879E+00    0.5764882555E-01    0.1793873081E+00    0.6282583651E+00
    0.3100000000E+08    0.5009913045E+00    0.5761596942E-01    0.1794034245E+00    0.6282914466E+00
    0.3300000000E+08    0.5009767690E+00    0.5758518312E-01    0.1794185273E+00    0.6283224424E+00
    0.3500000000E+08    0.5009630718E+00    0.5755622209E-01    0.1794327364E+00    0.6283515992E+00
    0.3700000000E+08    0.5009501215E+00    0.5752888265E-01    0.1794461518E+00    0.6283791224E+00
    0.3900000000E+08    0.5009378406E+00    0.5750299340E-01    0.1794588575E+00    0.6284051849E+00
    0.4100000000E+08    0.5009261633E+00    0.5747840871E-01    0.1794709248E+00    0.6284299335E+00
    0.4300000000E+08    0.5009150329E+00    0.5745500383E-01    0.1794824148E+00    0.6284534940E+00
    0.4500000000E+08    0.5009044004E+00    0.5743267107E-01    0.1794933803E+00    0.6284759748E+00
    0.4700000000E+08    0.5008942232E+00    0.5741131683E-01    0.1795038671E+00    0.6284974703E+00
    0.4900000000E+08    0.5008844638E+00    0.5739085923E-01    0.1795139152E+00    0.6285180630E+00
    0.1000000000E+08    0.5012495577E+00    0.5817555799E-01    0.1791286778E+00    0.6277274440E+00
    0.3000000000E+08    0.5009989201E+00    0.5763212157E-01    0.1793955014E+00    0.6282751839E+00
    0.5000000000E+08    0.5008797302E+00    0.5738094383E-01    0.1795187860E+00    0.6285280439E+00
    0.7000000000E+08    0.5008007050E+00    0.5721602917E-01    0.1795998639E+00    0.6286940436E+00
    0.9000000000E+08    0.5007414805E+00    0.5709312967E-01    0.1796603805E+00    0.6288177529E+00
