     Pressure (Pa)     22mC5-400 (mol/kg)     3mC6-400 (mol/kg)     23mC5-400 (mol/kg)     C7-400 (mol/kg)
    0.1000000000E+01    0.1062867175E-02    0.5273143569E-02    0.6531962136E-03    0.1711352093E-02
    0.3000000000E+01    0.3172592119E-02    0.1550140136E-01    0.1949758777E-02    0.5031334547E-02
    0.5000000000E+01    0.5261237731E-02    0.2532649668E-01    0.3233378468E-02    0.8221087048E-02
    0.7000000000E+01    0.7329118303E-02    0.3477178841E-01    0.4504248203E-02    0.1128814286E-01
    0.9000000000E+01    0.9376541908E-02    0.4385886544E-01    0.5762557087E-02    0.1423946487E-01
    0.1100000000E+02    0.1140381055E-01    0.5260771115E-01    0.7008490500E-02    0.1708149859E-01
    0.1300000000E+02    0.1341122034E-01    0.6103684998E-01    0.8242230195E-02    0.1982021933E-01
    0.1500000000E+02    0.1539906158E-01    0.6916347810E-01    0.9463954379E-02    0.2246117431E-01
    0.1700000000E+02    0.1736761897E-01    0.7700358042E-01    0.1067383781E-01    0.2500952038E-01
    0.1900000000E+02    0.1931717171E-01    0.8457203535E-01    0.1187205186E-01    0.2747005770E-01
    0.2100000000E+02    0.2124799363E-01    0.9188270892E-01    0.1305876462E-01    0.2984726014E-01
    0.2300000000E+02    0.2316035332E-01    0.9894853944E-01    0.1423414096E-01    0.3214530249E-01
    0.2500000000E+02    0.2505451428E-01    0.1057816138E+00    0.1539834263E-01    0.3436808508E-01
    0.2700000000E+02    0.2693073499E-01    0.1123932363E+00    0.1655152830E-01    0.3651925595E-01
    0.2900000000E+02    0.2878926909E-01    0.1187939912E+00    0.1769385365E-01    0.3860223096E-01
    0.3100000000E+02    0.3063036543E-01    0.1249937989E+00    0.1882547146E-01    0.4062021197E-01
    0.3300000000E+02    0.3245426824E-01    0.1310019671E+00    0.1994653162E-01    0.4257620331E-01
    0.3500000000E+02    0.3426121719E-01    0.1368272379E+00    0.2105718128E-01    0.4447302684E-01
    0.3700000000E+02    0.3605144754E-01    0.1424778294E+00    0.2215756483E-01    0.4631333556E-01
    0.3900000000E+02    0.3782519019E-01    0.1479614750E+00    0.2324782403E-01    0.4809962608E-01
    0.4100000000E+02    0.3958267183E-01    0.1532854582E+00    0.2432809801E-01    0.4983424997E-01
    0.4300000000E+02    0.4132411501E-01    0.1584566451E+00    0.2539852340E-01    0.5151942414E-01
    0.4500000000E+02    0.4304973821E-01    0.1634815136E+00    0.2645923432E-01    0.5315724035E-01
    0.4700000000E+02    0.4475975601E-01    0.1683661808E+00    0.2751036248E-01    0.5474967395E-01
    0.4900000000E+02    0.4645437908E-01    0.1731164276E+00    0.2855203721E-01    0.5629859181E-01
    0.1000000000E+02    0.1039267696E-01    0.4827437684E-01    0.6387059284E-02    0.1567375881E-01
    0.3000000000E+02    0.2971198161E-01    0.1219184179E+00    0.1826099156E-01    0.3961915350E-01
    0.5000000000E+02    0.4729598240E-01    0.1754428635E+00    0.2906936932E-01    0.5705728791E-01
    0.7000000000E+02    0.6336839178E-01    0.2160968732E+00    0.3894951964E-01    0.7032855412E-01
    0.9000000000E+02    0.7811605406E-01    0.2480209939E+00    0.4801614135E-01    0.8077062594E-01
    0.1100000000E+03    0.9169623964E-01    0.2737520323E+00    0.5636578158E-01    0.8920361210E-01
    0.1300000000E+03    0.1042422735E+00    0.2949309143E+00    0.6408029000E-01    0.9615835406E-01
    0.1500000000E+03    0.1158679251E+00    0.3126660472E+00    0.7122951315E-01    0.1019936641E+00
    0.1700000000E+03    0.1266708672E+00    0.3277331061E+00    0.7787341704E-01    0.1069608119E+00
    0.1900000000E+03    0.1367354252E+00    0.3406911578E+00    0.8406377467E-01    0.1112410221E+00
    0.2100000000E+03    0.1461347815E+00    0.3519533271E+00    0.8984551912E-01    0.1149683015E+00
    0.2300000000E+03    0.1549327577E+00    0.3618314949E+00    0.9525783704E-01    0.1182438846E+00
    0.2500000000E+03    0.1631852644E+00    0.3705655170E+00    0.1003350589E+00    0.1211456793E+00
    0.2700000000E+03    0.1709414902E+00    0.3783428781E+00    0.1051073886E+00    0.1237346242E+00
    0.2900000000E+03    0.1782448826E+00    0.3853122422E+00    0.1096015056E+00    0.1260590722E+00
    0.3100000000E+03    0.1851339617E+00    0.3915930044E+00    0.1138410642E+00    0.1281578831E+00
    0.3300000000E+03    0.1916429993E+00    0.3972821542E+00    0.1178471108E+00    0.1300626453E+00
    0.3500000000E+03    0.1978025892E+00    0.4024592948E+00    0.1216384334E+00    0.1317993021E+00
    0.3700000000E+03    0.2036401272E+00    0.4071903708E+00    0.1252318569E+00    0.1333893600E+00
    0.3900000000E+03    0.2091802188E+00    0.4115304761E+00    0.1286424928E+00    0.1348507987E+00
    0.4100000000E+03    0.2144450254E+00    0.4155259974E+00    0.1318839520E+00    0.1361987667E+00
    0.4300000000E+03    0.2194545601E+00    0.4192162681E+00    0.1349685266E+00    0.1374461176E+00
    0.4500000000E+03    0.2242269426E+00    0.4226348596E+00    0.1379073456E+00    0.1386038292E+00
    0.4700000000E+03    0.2287786171E+00    0.4258105985E+00    0.1407105098E+00    0.1396813344E+00
