     Pressure (Pa)     22mC5-400 (mol/kg)     3mC6-400 (mol/kg)     23mC5-400 (mol/kg)     C7-400 (mol/kg)
    0.1000000000E+01    0.3177793457E-02    0.1055890103E-02    0.8369796147E-03    0.5140163269E-02
    0.3000000000E+01    0.9422121551E-02    0.3111203834E-02    0.2481661508E-02    0.1514689231E-01
    0.5000000000E+01    0.1552238241E-01    0.5094517155E-02    0.4088432318E-02    0.2480473172E-01
    0.7000000000E+01    0.2148350458E-01    0.7009538952E-02    0.5658588591E-02    0.3413162447E-01
    0.9000000000E+01    0.2731019436E-01    0.8859727834E-02    0.7193368414E-02    0.4314430371E-01
    0.1100000000E+02    0.3300694814E-01    0.1064831289E-01    0.8693954666E-02    0.5185839306E-01
    0.1300000000E+02    0.3857806401E-01    0.1237831239E-01    0.1016147807E-01    0.6028849708E-01
    0.1500000000E+02    0.4402765258E-01    0.1405255076E-01    0.1159702002E-01    0.6844828301E-01
    0.1700000000E+02    0.4935964707E-01    0.1567367385E-01    0.1300161526E-01    0.7635055483E-01
    0.1900000000E+02    0.5457781278E-01    0.1724416282E-01    0.1437625437E-01    0.8400732030E-01
    0.2100000000E+02    0.5968575595E-01    0.1876634679E-01    0.1572188609E-01    0.9142985195E-01
    0.2300000000E+02    0.6468693211E-01    0.2024241429E-01    0.1703941951E-01    0.9862874251E-01
    0.2500000000E+02    0.6958465382E-01    0.2167442368E-01    0.1832972612E-01    0.1056139554E+00
    0.2700000000E+02    0.7438209802E-01    0.2306431273E-01    0.1959364174E-01    0.1123948706E+00
    0.2900000000E+02    0.7908231289E-01    0.2441390730E-01    0.2083196829E-01    0.1189803273E+00
    0.3100000000E+02    0.8368822431E-01    0.2572492928E-01    0.2204547557E-01    0.1253786615E+00
    0.3300000000E+02    0.8820264194E-01    0.2699900393E-01    0.2323490277E-01    0.1315977419E+00
    0.3500000000E+02    0.9262826490E-01    0.2823766652E-01    0.2440096001E-01    0.1376450022E+00
    0.3700000000E+02    0.9696768721E-01    0.2944236850E-01    0.2554432978E-01    0.1435274704E+00
    0.3900000000E+02    0.1012234028E+00    0.3061448311E-01    0.2666566824E-01    0.1492517964E+00
    0.4100000000E+02    0.1053978104E+00    0.3175531063E-01    0.2776560645E-01    0.1548242770E+00
    0.4300000000E+02    0.1094932177E+00    0.3286608309E-01    0.2884475165E-01    0.1602508789E+00
    0.4500000000E+02    0.1135118463E+00    0.3394796875E-01    0.2990368827E-01    0.1655372603E+00
    0.4700000000E+02    0.1174558349E+00    0.3500207615E-01    0.3094297907E-01    0.1706887905E+00
    0.4900000000E+02    0.1213272436E+00    0.3602945785E-01    0.3196316608E-01    0.1757105679E+00
    0.1000000000E+02    0.3017454010E-01    0.9761527462E-02    0.7947863878E-02    0.4753773645E-01
    0.3000000000E+02    0.8139687828E-01    0.2507413610E-01    0.2144177744E-01    0.1222023823E+00
    0.5000000000E+02    0.1232363538E+00    0.3653344105E-01    0.3246625962E-01    0.1781743228E+00
    0.7000000000E+02    0.1580545853E+00    0.4542835665E-01    0.4164265434E-01    0.2216952559E+00
    0.9000000000E+02    0.1874820072E+00    0.5253090458E-01    0.4939996128E-01    0.2565060120E+00
    0.1100000000E+03    0.2126805165E+00    0.5833166342E-01    0.5604392066E-01    0.2849851004E+00
    0.1300000000E+03    0.2345004952E+00    0.6315727704E-01    0.6179831713E-01    0.3087171481E+00
    0.1500000000E+03    0.2535786512E+00    0.6723363262E-01    0.6683071737E-01    0.3287986308E+00
    0.1700000000E+03    0.2704011631E+00    0.7072191602E-01    0.7126908146E-01    0.3460124156E+00
    0.1900000000E+03    0.2853456820E+00    0.7374022100E-01    0.7521281269E-01    0.3609324085E+00
    0.2100000000E+03    0.2987100133E+00    0.7637704166E-01    0.7874030341E-01    0.3739889183E+00
    0.2300000000E+03    0.3107321589E+00    0.7869999518E-01    0.8191420819E-01    0.3855109284E+00
    0.2500000000E+03    0.3216046114E+00    0.8076163233E-01    0.8478520478E-01    0.3957542660E+00
    0.2700000000E+03    0.3314847350E+00    0.8260341009E-01    0.8739472562E-01    0.4049208678E+00
    0.2900000000E+03    0.3405024290E+00    0.8425847066E-01    0.8977697440E-01    0.4131722622E+00
    0.3100000000E+03    0.3487658694E+00    0.8575362517E-01    0.9196043685E-01    0.4206391961E+00
    0.3300000000E+03    0.3563658672E+00    0.8711079551E-01    0.9396902780E-01    0.4274286349E+00
    0.3500000000E+03    0.3633792188E+00    0.8834807942E-01    0.9582297273E-01    0.4336289350E+00
    0.3700000000E+03    0.3698713085E+00    0.8948054886E-01    0.9753949292E-01    0.4393137225E+00
    0.3900000000E+03    0.3758981530E+00    0.9052085651E-01    0.9913334329E-01    0.4445448409E+00
    0.4100000000E+03    0.3815080203E+00    0.9147970203E-01    0.1006172388E+00    0.4493746173E+00
    0.4300000000E+03    0.3867427253E+00    0.9236619454E-01    0.1020021951E+00    0.4538476257E+00
    0.4500000000E+03    0.3916386729E+00    0.9318813728E-01    0.1032978035E+00    0.4580020719E+00
    0.4700000000E+03    0.3962277058E+00    0.9395225332E-01    0.1045124539E+00    0.4618708917E+00
    0.4900000000E+03    0.4005377974E+00    0.9466436602E-01    0.1056535172E+00    0.4654826295E+00
    0.1000000000E+03    0.2005507861E+00    0.5557066721E-01    0.5284555984E-01    0.2714238060E+00
    0.3000000000E+03    0.3447223917E+00    0.8502456547E-01    0.9089196354E-01    0.4169966120E+00
    0.5000000000E+03    0.4025960662E+00    0.9500253127E-01    0.1061985160E+00    0.4671999892E+00
    0.7000000000E+03    0.4338016306E+00    0.9997692914E-01    0.1144698135E+00    0.4926718717E+00
    0.9000000000E+03    0.4533173655E+00    0.1029363620E+00    0.1196538106E+00    0.5080950622E+00
    0.1100000000E+04    0.4666739466E+00    0.1048877527E+00    0.1232093821E+00    0.5184467346E+00
    0.1300000000E+04    0.4763886284E+00    0.1062644106E+00    0.1258010195E+00    0.5258814679E+00
    0.1500000000E+04    0.4837715080E+00    0.1072832163E+00    0.1277748093E+00    0.5314840221E+00
