pressure,muc,muc_err,molkg,molkg_err,_
0.01,0.0058683929,0.0002438889,0.0010173886,0.0000422824,
0.05,0.0283773214,0.0009837230,0.0049197054,0.0001705456,
0.1,0.0573182143,0.0018854541,0.0099371158,0.0003268765,
0.5,0.2765866071,0.0057054162,0.0479511300,0.0009891338,
1,0.5432269643,0.0163060108,0.0941779035,0.0028269324,
5,1.9922423214,0.0519076530,0.3453900807,0.0089991003,
10,2.7345801786,0.0322493380,0.4740873429,0.0055909873,
50,3.6941316071,0.0053393575,0.6404423800,0.0009256711,
1e2,3.8464608929,0.0130035421,0.6668513282,0.0022543917,
5e2,3.9677773214,0.0039293123,0.6878836547,0.0006812151,
1e3,3.9837660714,0.0006218404,0.6906555844,0.0001078069,
5e3,3.9964180357,0.0015438397,0.6928490239,0.0002676516,
1e4,3.9984037500,0.0011299531,0.6931932822,0.0001958971,
5e4,3.9996369643,0.0001536906,0.6934070815,0.0000266450,
1e5,3.9995725000,0.0006107385,0.6933959055,0.0001058822,
5e5,3.9996553571,0.0002031022,0.6934102703,0.0000352113,
1e6,3.9995983929,0.0001985263,0.6934003945,0.0000344180,
5e6,3.9997800000,0.0002083542,0.6934318793,0.0000361219,
1e7,3.9998219643,0.0002675372,0.6934391545,0.0000463823,
5e7,3.9999214286,0.0002181143,0.6934563984,0.0000378139,
