pressure,muc,muc_err,molkg,molkg_err,_
0.01,0.0000005357,0.0000009914,0.0000000929,0.0000001719,
0.05,0.0000028571,0.0000027600,0.0000004953,0.0000004785,
0.1,0.0000057143,0.0000016810,0.0000009907,0.0000002914,
0.5,0.0000292857,0.0000031741,0.0000050772,0.0000005503,
1,0.0000671429,0.0000094186,0.0000116404,0.0000016329,
5,0.0002735714,0.0000077035,0.0000474284,0.0000013355,
10,0.0005450000,0.0000385065,0.0000944853,0.0000066758,
50,0.0027821429,0.0000761611,0.0004823332,0.0000132039,
1e2,0.0055216071,0.0002027471,0.0009572673,0.0000351498,
5e2,0.0280060714,0.0009179443,0.0048553427,0.0001591417,
1e3,0.0553733929,0.0013717379,0.0095999470,0.0002378148,
5e3,0.2653376786,0.0039385606,0.0460009313,0.0006828184,
1e4,0.5148169643,0.0079426965,0.0892525326,0.0013770055,
5e4,1.8296092857,0.0117801599,0.3171947970,0.0020422969,
1e5,2.5516862500,0.0139510011,0.4423794788,0.0024186503,
5e5,3.6019080357,0.0078524213,0.6244538095,0.0013613547,
1e6,3.7823137500,0.0064213381,0.6557302981,0.0011132514,
5e6,3.9132789286,0.0022846847,0.6784354043,0.0003960901,
1e7,3.9347748214,0.0033333954,0.6821620936,0.0005779025,
5e7,3.9864817857,0.0010961471,0.6911264010,0.0001900363,
