pressure,muc,muc_err,molkg,molkg_err,_
0.01,0.0000185714,0.0000039502,0.0000032197,0.0000006848,
0.05,0.0000958929,0.0000184083,0.0000166247,0.0000031914,
0.1,0.0001939286,0.0000210226,0.0000336209,0.0000036446,
0.5,0.0010037500,0.0000753804,0.0001740176,0.0000130685,
1,0.0020119643,0.0000793205,0.0003488092,0.0000137516,
5,0.0097151786,0.0004001899,0.0016842963,0.0000693799,
10,0.0195121429,0.0004745106,0.0033827715,0.0000822647,
50,0.0972601786,0.0022267528,0.0168617545,0.0003860466,
1e2,0.1889892857,0.0063309536,0.0327646009,0.0010975816,
5e2,0.8775967857,0.0137452294,0.1521467652,0.0023829761,
1e3,1.5013928571,0.0185611553,0.2602927337,0.0032179012,
5e3,3.0960671429,0.0189556818,0.5367574360,0.0032862993,
1e4,3.5150232143,0.0207708919,0.6093908048,0.0036009977,
5e4,3.8979217857,0.0074342284,0.6757729748,0.0012888536,
1e5,3.9467680357,0.0075499018,0.6842413273,0.0013089076,
5e5,3.9886726786,0.0014064434,0.6915062307,0.0002438316,
1e6,3.9910225000,0.0010233707,0.6919136133,0.0001774192,
5e6,3.9924114286,0.0011734905,0.6921544084,0.0002034451,
1e7,3.9947633929,0.0010287120,0.6925621626,0.0001783452,
5e7,3.9989351786,0.0003383850,0.6932854147,0.0000586650,
1e8,3.9999232143,0.0000534130,0.6934567080,0.0000092601,
