pressure,muc,muc_err,molkg,molkg_err,_
0.01,0.0000025000,0.0000012142,0.0000004334,0.0000002105,
0.05,0.0000142857,0.0000083318,0.0000024767,0.0000014445,
0.1,0.0000239286,0.0000050431,0.0000041484,0.0000008743,
0.5,0.0001266071,0.0000236622,0.0000219496,0.0000041023,
1,0.0002607143,0.0000232643,0.0000451994,0.0000040333,
5,0.0014128571,0.0000536117,0.0002449435,0.0000092945,
10,0.0027785714,0.0001774370,0.0004817140,0.0000307618,
50,0.0138385714,0.0003828871,0.0023991586,0.0000663802,
1e2,0.0271816071,0.0005725203,0.0047124074,0.0000992564,
5e2,0.1331791071,0.0018542277,0.0230889295,0.0003214628,
1e3,0.2677946429,0.0054880217,0.0464268891,0.0009514446,
5e3,1.1212873214,0.0210489126,0.1943947853,0.0036491975,
1e4,1.8368505357,0.0221069764,0.3184501945,0.0038326313,
5e4,3.3121148214,0.0379810312,0.5742130830,0.0065846766,
1e5,3.6273671429,0.0145333282,0.6288675914,0.0025196069,
5e5,3.9185644643,0.0056328901,0.6793517445,0.0009765601,
1e6,3.9550944643,0.0046885168,0.6856848594,0.0008128365,
5e6,3.9734432143,0.0029341318,0.6888659364,0.0005086831,
1e7,3.9770807143,0.0022193619,0.6894965607,0.0003847652,
5e7,3.9957133929,0.0006484670,0.6927268617,0.0001124231,
