pressure,muc,muc_err,molkg,molkg_err,_
0.01,0.0002410714,0.0000351486,0.0000417940,0.0000060936,
0.05,0.0011789286,0.0000948118,0.0002043879,0.0000164373,
0.1,0.0023883929,0.0001040203,0.0004140697,0.0000180337,
0.5,0.0115582143,0.0002868762,0.0020038188,0.0000497350,
1,0.0233441071,0.0006180961,0.0040471096,0.0001071578,
5,0.1136858929,0.0023285289,0.0197094396,0.0004036913,
10,0.2246769643,0.0078458772,0.0389516847,0.0013602202,
50,0.9998646429,0.0190898836,0.1733440385,0.0033095655,
1e2,1.7231585714,0.0229116039,0.2987397023,0.0039721276,
5e2,3.2679673214,0.0146083328,0.5665593410,0.0025326102,
1e3,3.6105700000,0.0152131421,0.6259555126,0.0026374645,
5e3,3.9178750000,0.0058828485,0.6792322138,0.0010198948,
1e4,3.9589223214,0.0066623895,0.6863484855,0.0011550419,
5e4,3.9915753571,0.0020186157,0.6920094608,0.0003499624,
1e5,3.9954060714,0.0010951257,0.6926735822,0.0001898592,
5e5,3.9976342857,0.0008667124,0.6930598821,0.0001502598,
1e6,3.9978142857,0.0007929620,0.6930910883,0.0001374738,
5e6,3.9989166071,0.0004865497,0.6932821950,0.0000843519,
1e7,3.9986180357,0.0006934994,0.6932304324,0.0001202303,
5e7,3.9998435714,0.0001348248,0.6934429005,0.0000233742,
1e8,3.9999458929,0.0000895433,0.6934606397,0.0000155239,
