     Pressure (Pa)     2mC6-400 (mol/kg)     3mC6-400 (mol/kg)     23mC5-400 (mol/kg)     C7-400 (mol/kg)
    0.1000000000E+01    0.3960647818E-02    0.5248026308E-02    0.3725497336E-03    0.1703232074E-02
    0.3000000000E+01    0.1154961954E-01    0.1528727158E-01    0.1107928276E-02    0.4962103510E-02
    0.5000000000E+01    0.1872700215E-01    0.2476229206E-01    0.1830712640E-02    0.8038655978E-02
    0.7000000000E+01    0.2552682243E-01    0.3372146498E-01    0.2541325243E-02    0.1094849957E-01
    0.9000000000E+01    0.3197933091E-01    0.4220773414E-01    0.3240168977E-02    0.1370549239E-01
    0.1100000000E+02    0.3811151943E-01    0.5025935427E-01    0.3927628335E-02    0.1632198052E-01
    0.1300000000E+02    0.4394755530E-01    0.5791051626E-01    0.4604070472E-02    0.1880899949E-01
    0.1500000000E+02    0.4950914746E-01    0.6519187477E-01    0.5269846187E-02    0.2117644436E-01
    0.1700000000E+02    0.5481585675E-01    0.7213099558E-01    0.5925290840E-02    0.2343321394E-01
    0.1900000000E+02    0.5988535999E-01    0.7875273669E-01    0.6570725208E-02    0.2558733360E-01
    0.2100000000E+02    0.6473367581E-01    0.8507957419E-01    0.7206456282E-02    0.2764606039E-01
    0.2300000000E+02    0.6937535837E-01    0.9113188213E-01    0.7832778013E-02    0.2961597323E-01
    0.2500000000E+02    0.7382366441E-01    0.9692817378E-01    0.8449972012E-02    0.3150305070E-01
    0.2700000000E+02    0.7809069769E-01    0.1024853103E+00    0.9058308201E-02    0.3331273836E-01
    0.2900000000E+02    0.8218753437E-01    0.1078186821E+00    0.9658045426E-02    0.3505000714E-01
    0.3100000000E+02    0.8612433220E-01    0.1129423661E+00    0.1024943203E-01    0.3671940426E-01
    0.3300000000E+02    0.8991042591E-01    0.1178692645E+00    0.1083270638E-01    0.3832509766E-01
    0.3500000000E+02    0.9355441090E-01    0.1226112247E+00    0.1140809740E-01    0.3987091501E-01
    0.3700000000E+02    0.9706421668E-01    0.1271791459E+00    0.1197582502E-01    0.4136037789E-01
    0.3900000000E+02    0.1004471717E+00    0.1315830728E+00    0.1253610062E-01    0.4279673205E-01
    0.4100000000E+02    0.1037100606E+00    0.1358322779E+00    0.1308912746E-01    0.4418297402E-01
    0.4300000000E+02    0.1068591751E+00    0.1399353352E+00    0.1363510108E-01    0.4552187476E-01
    0.4500000000E+02    0.1099003590E+00    0.1439001847E+00    0.1417420966E-01    0.4681600064E-01
    0.4700000000E+02    0.1128390482E+00    0.1477341906E+00    0.1470663436E-01    0.4806773211E-01
    0.4900000000E+02    0.1156803070E+00    0.1514441932E+00    0.1523254968E-01    0.4927928037E-01
    0.1000000000E+02    0.3508389310E-01    0.4628564977E-01    0.3585298361E-02    0.1503058124E-01
    0.3000000000E+02    0.8417533646E-01    0.1104059026E+00    0.9954767428E-02    0.3589292075E-01
    0.5000000000E+02    0.1170658888E+00    0.1532546988E+00    0.1549311911E-01    0.4987063421E-01
    0.7000000000E+02    0.1406571190E+00    0.1842854699E+00    0.2040058724E-01    0.6001842781E-01
    0.9000000000E+02    0.1583524503E+00    0.2080207967E+00    0.2481539136E-01    0.6779897979E-01
    0.1100000000E+03    0.1720496974E+00    0.2269074206E+00    0.2883635533E-01    0.7400428164E-01
    0.1300000000E+03    0.1829013995E+00    0.2423903826E+00    0.3253623235E-01    0.7910247103E-01
    0.1500000000E+03    0.1916526261E+00    0.2553812638E+00    0.3596992271E-01    0.8338910566E-01
    0.1700000000E+03    0.1988085356E+00    0.2664854586E+00    0.3917974081E-01    0.8706062685E-01
    0.1900000000E+03    0.2047247120E+00    0.2761219518E+00    0.4219890367E-01    0.9025309584E-01
    0.2100000000E+03    0.2096591504E+00    0.2845906997E+00    0.4505390803E-01    0.9306399603E-01
    0.2300000000E+03    0.2138037774E+00    0.2921126022E+00    0.4776619070E-01    0.9556517305E-01
    0.2500000000E+03    0.2173043998E+00    0.2988542854E+00    0.5035331377E-01    0.9781086127E-01
    0.2700000000E+03    0.2202737885E+00    0.3049440489E+00    0.5282982731E-01    0.9984285138E-01
    0.2900000000E+03    0.2228005224E+00    0.3104824607E+00    0.5520790817E-01    0.1016939252E+00
    0.3100000000E+03    0.2249551241E+00    0.3155495933E+00    0.5749784037E-01    0.1033902023E+00
