     Pressure (Pa)     2mC6-400 (mol/kg)     3mC6-400 (mol/kg)     23mC5-400 (mol/kg)     C7-400 (mol/kg)
    0.1000000000E+01    0.2356430355E-02    0.4150687221E-02    0.1866128771E-03    0.1178775640E-01
    0.3000000000E+01    0.6766274856E-02    0.1183338617E-01    0.5569509264E-03    0.3361451613E-01
    0.5000000000E+01    0.1082139427E-01    0.1879012747E-01    0.9235037625E-03    0.5338886380E-01
    0.7000000000E+01    0.1457117616E-01    0.2512055301E-01    0.1286347537E-02    0.7139207050E-01
    0.9000000000E+01    0.1805609434E-01    0.3090680376E-01    0.1645556279E-02    0.8785604334E-01
    0.1100000000E+02    0.2130962253E-01    0.3621720431E-01    0.2001201966E-02    0.1029737134E+00
    0.1300000000E+02    0.2435967778E-01    0.4110905388E-01    0.2353354599E-02    0.1169069052E+00
    0.1500000000E+02    0.2722972282E-01    0.4563076687E-01    0.2702082272E-02    0.1297923730E+00
    0.1700000000E+02    0.2993961735E-01    0.4982353310E-01    0.3047451233E-02    0.1417464830E+00
    0.1900000000E+02    0.3250628239E-01    0.5372261904E-01    0.3389525953E-02    0.1528688832E+00
    0.2100000000E+02    0.3494422360E-01    0.5735839741E-01    0.3728369181E-02    0.1632454077E+00
    0.2300000000E+02    0.3726594732E-01    0.6075716915E-01    0.4064042007E-02    0.1729503960E+00
    0.2500000000E+02    0.3948229382E-01    0.6394182492E-01    0.4396603914E-02    0.1820485584E+00
    0.2700000000E+02    0.4160270652E-01    0.6693238167E-01    0.4726112832E-02    0.1905964907E+00
    0.2900000000E+02    0.4363545081E-01    0.6974642085E-01    0.5052625193E-02    0.1986439107E+00
    0.3100000000E+02    0.4558779324E-01    0.7239944882E-01    0.5376195972E-02    0.2062346750E+00
    0.3300000000E+02    0.4746614912E-01    0.7490519494E-01    0.5696878745E-02    0.2134076206E+00
    0.3500000000E+02    0.4927620477E-01    0.7727585971E-01    0.6014725726E-02    0.2201972652E+00
    0.3700000000E+02    0.5102301945E-01    0.7952232242E-01    0.6329787813E-02    0.2266343934E+00
    0.3900000000E+02    0.5271111061E-01    0.8165431579E-01    0.6642114633E-02    0.2327465501E+00
    0.4100000000E+02    0.5434452577E-01    0.8368057359E-01    0.6951754576E-02    0.2385584566E+00
    0.4300000000E+02    0.5592690317E-01    0.8560895602E-01    0.7258754843E-02    0.2440923652E+00
    0.4500000000E+02    0.5746152332E-01    0.8744655659E-01    0.7563161473E-02    0.2493683612E+00
    0.4700000000E+02    0.5895135301E-01    0.8919979373E-01    0.7865019387E-02    0.2544046208E+00
    0.4900000000E+02    0.6039908291E-01    0.9087448947E-01    0.8164372419E-02    0.2592176342E+00
