     Pressure (Pa)     2mC6-400 (mol/kg)     3mC6-400 (mol/kg)     23mC5-400 (mol/kg)     C7-400 (mol/kg)
    0.1000000000E+01    0.1569893993E-02    0.2073402559E-02    0.4667008769E-03    0.1514159665E-01
    0.3000000000E+01    0.4502376408E-02    0.5900810707E-02    0.1393875089E-02    0.4310335748E-01
    0.5000000000E+01    0.7193254570E-02    0.9354755655E-02    0.2312864410E-02    0.6835014984E-01
    0.7000000000E+01    0.9677218602E-02    0.1248777278E-01    0.3223808110E-02    0.9126329134E-01
    0.9000000000E+01    0.1198254006E-01    0.1534296513E-01    0.4126842201E-02    0.1121556903E+00
    0.1100000000E+02    0.1413247962E-01    0.1795603054E-01    0.5022099528E-02    0.1312865408E+00
    0.1300000000E+02    0.1614634203E-01    0.2035678744E-01    0.5909709872E-02    0.1488723847E+00
    0.1500000000E+02    0.1804027696E-01    0.2257033832E-01    0.6789800028E-02    0.1650955476E+00
    0.1700000000E+02    0.1982789406E-01    0.2461796731E-01    0.7662493898E-02    0.1801106476E+00
    0.1900000000E+02    0.2152074052E-01    0.2651784030E-01    0.8527912574E-02    0.1940496728E+00
    0.2100000000E+02    0.2312867551E-01    0.2828555634E-01    0.9386174413E-02    0.2070259806E+00
    0.2300000000E+02    0.2466016644E-01    0.2993458609E-01    0.1023739512E-01    0.2191374779E+00
    0.2500000000E+02    0.2612252542E-01    0.3147662321E-01    0.1108168782E-01    0.2304691706E+00
    0.2700000000E+02    0.2752209936E-01    0.3292186847E-01    0.1191916314E-01    0.2410952247E+00
    0.2900000000E+02    0.2886442410E-01    0.3427926089E-01    0.1274992926E-01    0.2510806433E+00
    0.3100000000E+02    0.3015435002E-01    0.3555666726E-01    0.1357409198E-01    0.2604826423E+00
    0.3300000000E+02    0.3139614526E-01    0.3676103852E-01    0.1439175482E-01    0.2693517849E+00
    0.3500000000E+02    0.3259358088E-01    0.3789853942E-01    0.1520301905E-01    0.2777329228E+00
    0.3700000000E+02    0.3375000168E-01    0.3897465684E-01    0.1600798375E-01    0.2856659827E+00
    0.3900000000E+02    0.3486838525E-01    0.3999429065E-01    0.1680674590E-01    0.2931866258E+00
    0.4100000000E+02    0.3595139161E-01    0.4096183026E-01    0.1759940039E-01    0.3003268036E+00
    0.4300000000E+02    0.3700140495E-01    0.4188121959E-01    0.1838604013E-01    0.3071152295E+00
    0.4500000000E+02    0.3802056912E-01    0.4275601229E-01    0.1916675605E-01    0.3135777798E+00
    0.4700000000E+02    0.3901081768E-01    0.4358941891E-01    0.1994163720E-01    0.3197378367E+00
    0.4900000000E+02    0.3997389967E-01    0.4438434747E-01    0.2071077075E-01    0.3256165826E+00
