     Pressure (Pa)     2mC6-400 (mol/kg)     3mC6-400 (mol/kg)     23mC5-400 (mol/kg)     C7-400 (mol/kg)
    0.1000000000E+01    0.2366284528E-02    0.5736457810E-02    0.1866132284E-03    0.6770227997E-02
    0.3000000000E+01    0.6846511668E-02    0.1651088630E-01    0.5569540465E-03    0.1949017388E-01
    0.5000000000E+01    0.1102392941E-01    0.2644645401E-01    0.9235123163E-03    0.3122455360E-01
    0.7000000000E+01    0.1493336698E-01    0.3563921113E-01    0.1286364086E-02    0.4208604389E-01
    0.9000000000E+01    0.1860438863E-01    0.4417101731E-01    0.1645583283E-02    0.5217068714E-01
    0.1100000000E+02    0.2206224975E-01    0.5211207236E-01    0.2001241791E-02    0.6156085660E-01
    0.1300000000E+02    0.2532865292E-01    0.5952292392E-01    0.2353409519E-02    0.7032760878E-01
    0.1500000000E+02    0.2842235075E-01    0.6645607381E-01    0.2702154472E-02    0.7853256597E-01
    0.1700000000E+02    0.3135963067E-01    0.7295727383E-01    0.3047542816E-02    0.8622943481E-01
    0.1900000000E+02    0.3415470737E-01    0.7906657878E-01    0.3389638938E-02    0.9346524050E-01
    0.2100000000E+02    0.3682004308E-01    0.8481920821E-01    0.3728505512E-02    0.1002813369E+00
    0.2300000000E+02    0.3936661033E-01    0.9024625617E-01    0.4064203551E-02    0.1067142386E+00
    0.2500000000E+02    0.4180410906E-01    0.9537527952E-01    0.4396792468E-02    0.1127963104E+00
    0.2700000000E+02    0.4414114698E-01    0.1002307882E+00    0.4726330123E-02    0.1185563424E+00
    0.2900000000E+02    0.4638539011E-01    0.1048346560E+00    0.5052872882E-02    0.1240200315E+00
    0.3100000000E+02    0.4854368931E-01    0.1092064667E+00    0.5376475657E-02    0.1292103873E+00
    0.3300000000E+02    0.5062218685E-01    0.1133638072E+00    0.5697191961E-02    0.1341480756E+00
    0.3500000000E+02    0.5262640683E-01    0.1173225161E+00    0.6015073950E-02    0.1388517105E+00
    0.3700000000E+02    0.5456133207E-01    0.1210968963E+00    0.6330172466E-02    0.1433381035E+00
    0.3900000000E+02    0.5643146983E-01    0.1246998978E+00    0.6642537080E-02    0.1476224776E+00
    0.4100000000E+02    0.5824090820E-01    0.1281432742E+00    0.6952216132E-02    0.1517186512E+00
    0.4300000000E+02    0.5999336465E-01    0.1314377181E+00    0.7259256770E-02    0.1556391971E+00
    0.4500000000E+02    0.6169222799E-01    0.1345929788E+00    0.7563704986E-02    0.1593955804E+00
    0.4700000000E+02    0.6334059474E-01    0.1376179645E+00    0.7865605654E-02    0.1629982781E+00
    0.4900000000E+02    0.6494130075E-01    0.1405208314E+00    0.8165002563E-02    0.1664568843E+00
    0.1000000000E+02    0.2035853229E-01    0.4821139881E-01    0.1823853208E-02    0.5694789889E-01
    0.3000000000E+02    0.4747488333E-01    0.1070484256E+00    0.5215038390E-02    0.1266480331E+00
    0.5000000000E+02    0.6572460279E-01    0.1419288329E+00    0.8313775503E-02    0.1681349324E+00
    0.7000000000E+02    0.7941985659E-01    0.1652017607E+00    0.1116767763E-01    0.1959246020E+00
    0.9000000000E+02    0.9033736757E-01    0.1819380155E+00    0.1381412671E-01    0.2159855803E+00
    0.1100000000E+03    0.9936786384E-01    0.1946125714E+00    0.1628292374E-01    0.2312348250E+00
    0.1300000000E+03    0.1070219177E+00    0.2045813636E+00    0.1859814954E-01    0.2432724853E+00
    0.1500000000E+03    0.1136216821E+00    0.2126516427E+00    0.2077949869E-01    0.2530524278E+00
    0.1700000000E+03    0.1193852990E+00    0.2193351702E+00    0.2284325355E-01    0.2611801346E+00
    0.1900000000E+03    0.1244685128E+00    0.2249727524E+00    0.2480300735E-01    0.2680593370E+00
    0.2100000000E+03    0.1289871018E+00    0.2298005255E+00    0.2667020911E-01    0.2739701233E+00
    0.2300000000E+03    0.1330298763E+00    0.2339875260E+00    0.2845457983E-01    0.2791132446E+00
    0.2500000000E+03    0.1366666700E+00    0.2376581074E+00    0.3016443429E-01    0.2836365691E+00
    0.2700000000E+03    0.1399535006E+00    0.2409058983E+00    0.3180693269E-01    0.2876515684E+00
    0.2900000000E+03    0.1429360443E+00    0.2438028150E+00    0.3338827952E-01    0.2912439691E+00
    0.3100000000E+03    0.1456520540E+00    0.2464050627E+00    0.3491388208E-01    0.2944808511E+00
    0.3300000000E+03    0.1481330953E+00    0.2487572414E+00    0.3638847816E-01    0.2974155084E+00
    0.3500000000E+03    0.1504058216E+00    0.2508952213E+00    0.3781623953E-01    0.3000908547E+00
    0.3700000000E+03    0.1524929326E+00    0.2528481995E+00    0.3920085654E-01    0.3025418620E+00
    0.3900000000E+03    0.1544139059E+00    0.2546401979E+00    0.4054560779E-01    0.3047973372E+00
    0.4100000000E+03    0.1561855670E+00    0.2562911726E+00    0.4185341788E-01    0.3068812400E+00
    0.4300000000E+03    0.1578225370E+00    0.2578178481E+00    0.4312690545E-01    0.3088136733E+00
    0.4500000000E+03    0.1593375902E+00    0.2592343530E+00    0.4436842362E-01    0.3106116390E+00
    0.4700000000E+03    0.1607419420E+00    0.2605527100E+00    0.4558009392E-01    0.3122896218E+00
    0.4900000000E+03    0.1620454834E+00    0.2617832187E+00    0.4676383521E-01    0.3138600444E+00
    0.1000000000E+03    0.9505070002E-01    0.1886810100E+00    0.1506911033E-01    0.2240913495E+00
    0.3000000000E+03    0.1443252648E+00    0.2451377515E+00    0.3415773834E-01    0.2929032415E+00
    0.5000000000E+03    0.1626622270E+00    0.2623683529E+00    0.4734578279E-01    0.3146083288E+00
    0.7000000000E+03    0.1713798019E+00    0.2710839299E+00    0.5786648300E-01    0.3258932833E+00
    0.9000000000E+03    0.1758551081E+00    0.2764486877E+00    0.6686823272E-01    0.3330128982E+00
    0.1100000000E+04    0.1781299959E+00    0.2801233677E+00    0.7488363995E-01    0.3380017606E+00
    0.1300000000E+04    0.1791438641E+00    0.2828165778E+00    0.8220199715E-01    0.3417369727E+00
    0.1500000000E+04    0.1793844790E+00    0.2848850240E+00    0.8899787495E-01    0.3446642940E+00
    0.1700000000E+04    0.1791275305E+00    0.2865291372E+00    0.9538484499E-01    0.3470364577E+00
    0.1900000000E+04    0.1785389958E+00    0.2878707810E+00    0.1014410801E+00    0.3490084484E+00
    0.2100000000E+04    0.1777238025E+00    0.2889885933E+00    0.1072227952E+00    0.3506811008E+00
    0.2300000000E+04    0.1767509098E+00    0.2899357397E+00    0.1127718514E+00    0.3521231278E+00
    0.2500000000E+04    0.1756670884E+00    0.2907495382E+00    0.1181203202E+00    0.3533831303E+00
    0.2700000000E+04    0.1745048926E+00    0.2914570045E+00    0.1232933601E+00    0.3544965535E+00
    0.2900000000E+04    0.1732874760E+00    0.2920782083E+00    0.1283111022E+00    0.3554899200E+00
    0.3100000000E+04    0.1720316052E+00    0.2926283911E+00    0.1331899303E+00    0.3563835133E+00
    0.3300000000E+04    0.1707496076E+00    0.2931193483E+00    0.1379433745E+00    0.3571931394E+00
    0.3500000000E+04    0.1694506623E+00    0.2935603608E+00    0.1425827511E+00    0.3579313176E+00
