     Pressure (Pa)     2mC6-400 (mol/kg)     3mC6-400 (mol/kg)     23mC5-400 (mol/kg)     C7-400 (mol/kg)
    0.1000000000E+01    0.5534470282E-02    0.3144696668E-02    0.4649073509E-03    0.3402022713E-02
    0.3000000000E+01    0.1608050810E-01    0.9137768098E-02    0.1378081906E-02    0.9886900523E-02
    0.5000000000E+01    0.2598333571E-01    0.1476750670E-01    0.2269928182E-02    0.1598038746E-01
    0.7000000000E+01    0.3530075200E-01    0.2006782024E-01    0.3141419026E-02    0.2171895957E-01
    0.9000000000E+01    0.4408365682E-01    0.2506847179E-01    0.3993466339E-02    0.2713463748E-01
    0.1100000000E+02    0.5237706693E-01    0.2979569687E-01    0.4826925856E-02    0.3225564945E-01
    0.1300000000E+02    0.6022095603E-01    0.3427271322E-01    0.5642601481E-02    0.3710697919E-01
    0.1500000000E+02    0.6765095349E-01    0.3852014462E-01    0.6441249220E-02    0.4171082129E-01
    0.1700000000E+02    0.7469892904E-01    0.4255637497E-01    0.7223580761E-02    0.4608696178E-01
    0.1900000000E+02    0.8139348443E-01    0.4639784593E-01    0.7990266737E-02    0.5025309801E-01
    0.2100000000E+02    0.8776036920E-01    0.5005930812E-01    0.8741939691E-02    0.5422510867E-01
    0.2300000000E+02    0.9382283385E-01    0.5355403433E-01    0.9479196802E-02    0.5801728293E-01
    0.2500000000E+02    0.9960193122E-01    0.5689400111E-01    0.1020260237E-01    0.6164251566E-01
    0.2700000000E+02    0.1051167748E+00    0.6009004418E-01    0.1091269007E-01    0.6511247458E-01
    0.2900000000E+02    0.1103847609E+00    0.6315199200E-01    0.1160996508E-01    0.6843774374E-01
    0.3100000000E+02    0.1154217610E+00    0.6608878089E-01    0.1229490597E-01    0.7162794737E-01
    0.3300000000E+02    0.1202422878E+00    0.6890855468E-01    0.1296796648E-01    0.7469185704E-01
    0.3500000000E+02    0.1248596406E+00    0.7161875131E-01    0.1362957711E-01    0.7763748472E-01
    0.3700000000E+02    0.1292860313E+00    0.7422617820E-01    0.1428014668E-01    0.8047216390E-01
    0.3900000000E+02    0.1335326959E+00    0.7673707821E-01    0.1492006364E-01    0.8320262047E-01
    0.4100000000E+02    0.1376099909E+00    0.7915718740E-01    0.1554969741E-01    0.8583503491E-01
    0.4300000000E+02    0.1415274802E+00    0.8149178588E-01    0.1616939951E-01    0.8837509687E-01
    0.4500000000E+02    0.1452940098E+00    0.8374574257E-01    0.1677950469E-01    0.9082805347E-01
    0.4700000000E+02    0.1489177758E+00    0.8592355483E-01    0.1738033190E-01    0.9319875177E-01
    0.4900000000E+02    0.1524063837E+00    0.8802938352E-01    0.1797218528E-01    0.9549167662E-01
    0.1000000000E+02    0.4828894097E-01    0.2746474614E-01    0.4412468161E-02    0.2973034492E-01
    0.3000000000E+02    0.1129311971E+00    0.6463550482E-01    0.1195394837E-01    0.7004916169E-01
    0.5000000000E+02    0.1541022317E+00    0.8905652005E-01    0.1826483798E-01    0.9661028480E-01
    0.7000000000E+02    0.1823999298E+00    0.1066208425E+00    0.2371069244E-01    0.1157626557E+00
    0.9000000000E+02    0.2028389581E+00    0.1200338308E+00    0.2851988071E-01    0.1304236298E+00
    0.1100000000E+03    0.2181230566E+00    0.1307206808E+00    0.3284329793E-01    0.1421314478E+00
    0.1300000000E+03    0.2298460509E+00    0.1395080107E+00    0.3678518084E-01    0.1517790595E+00
    0.1500000000E+03    0.2390106378E+00    0.1469106935E+00    0.4042018400E-01    0.1599231164E+00
    0.1700000000E+03    0.2462797521E+00    0.1532675751E+00    0.4380340042E-01    0.1669302577E+00
