     Pressure (Pa)     2mC6-400 (mol/kg)     3mC6-400 (mol/kg)     23mC5-400 (mol/kg)     C7-400 (mol/kg)
    0.1000000000E+01    0.4705660267E-02    0.2592801756E-02    0.1861814783E-03    0.1178149021E-01
    0.3000000000E+01    0.1347119060E-01    0.7385160362E-02    0.5531442377E-03    0.3356579309E-01
    0.5000000000E+01    0.2148067772E-01    0.1171803291E-01    0.9131338507E-03    0.5327138522E-01
    0.7000000000E+01    0.2883898013E-01    0.1565630658E-01    0.1266410393E-02    0.7119137861E-01
    0.9000000000E+01    0.3563178348E-01    0.1925311733E-01    0.1613220537E-02    0.8756584173E-01
    0.1100000000E+02    0.4192981704E-01    0.2255240043E-01    0.1953798422E-02    0.1025933069E+00
    0.1300000000E+02    0.4779200491E-01    0.2559080387E-01    0.2288366454E-02    0.1164394039E+00
    0.1500000000E+02    0.5326785297E-01    0.2839914294E-01    0.2617136049E-02    0.1292434247E+00
    0.1700000000E+02    0.5839927891E-01    0.3100351943E-01    0.2940308311E-02    0.1411233741E+00
    0.1900000000E+02    0.6322203107E-01    0.3342619249E-01    0.3258074671E-02    0.1521799008E+00
    0.2100000000E+02    0.6776679990E-01    0.3568626293E-01    0.3570617472E-02    0.1624993864E+00
    0.2300000000E+02    0.7206009686E-01    0.3780021621E-01    0.3878110512E-02    0.1721563967E+00
    0.2500000000E+02    0.7612495558E-01    0.3978235697E-01    0.4180719549E-02    0.1812156438E+00
    0.2700000000E+02    0.7998149587E-01    0.4164515957E-01    0.4478602771E-02    0.1897335687E+00
    0.2900000000E+02    0.8364738085E-01    0.4339955297E-01    0.4771911232E-02    0.1977596282E+00
    0.3100000000E+02    0.8713819014E-01    0.4505515400E-01    0.5060789258E-02    0.2053373481E+00
    0.3300000000E+02    0.9046772649E-01    0.4662045945E-01    0.5345374828E-02    0.2125051909E+00
    0.3500000000E+02    0.9364826940E-01    0.4810300535E-01    0.5625799922E-02    0.2192972756E+00
    0.3700000000E+02    0.9669078610E-01    0.4950949974E-01    0.5902190854E-02    0.2257439771E+00
    0.3900000000E+02    0.9960510806E-01    0.5084593400E-01    0.6174668580E-02    0.2318724296E+00
    0.4100000000E+02    0.1024000794E+00    0.5211767660E-01    0.6443348981E-02    0.2377069498E+00
    0.4300000000E+02    0.1050836823E+00    0.5332955248E-01    0.6708343139E-02    0.2432693962E+00
    0.4500000000E+02    0.1076631437E+00    0.5448591059E-01    0.6969757585E-02    0.2485794738E+00
    0.4700000000E+02    0.1101450259E+00    0.5559068155E-01    0.7227694533E-02    0.2536549949E+00
    0.4900000000E+02    0.1125353046E+00    0.5664742711E-01    0.7482252106E-02    0.2585121028E+00
    0.1000000000E+02    0.3883871817E-01    0.2093750748E-01    0.1784274345E-02    0.9523691149E-01
    0.3000000000E+02    0.8541376884E-01    0.4423914724E-01    0.4916895281E-02    0.2016020171E+00
    0.5000000000E+02    0.1136978164E+00    0.5715881314E-01    0.7608293223E-02    0.2608633880E+00
    0.7000000000E+02    0.1332429251E+00    0.6551247406E-01    0.9972751426E-02    0.2993575009E+00
    0.9000000000E+02    0.1477226720E+00    0.7142799306E-01    0.1208661851E-01    0.3267359915E+00
    0.1100000000E+03    0.1589242424E+00    0.7587607487E-01    0.1400307933E-01    0.3474088790E+00
    0.1300000000E+03    0.1678504630E+00    0.7936593631E-01    0.1576047169E-01    0.3636932166E+00
    0.1500000000E+03    0.1751195537E+00    0.8219195387E-01    0.1738722968E-01    0.3769305441E+00
    0.1700000000E+03    0.1811385972E+00    0.8453695092E-01    0.1890495651E-01    0.3879552870E+00
    0.1900000000E+03    0.1861889608E+00    0.8652090717E-01    0.2033040808E-01    0.3973158589E+00
    0.2100000000E+03    0.1904724726E+00    0.8822608280E-01    0.2167681527E-01    0.4053888105E+00
    0.2300000000E+03    0.1941382208E+00    0.8971091967E-01    0.2295479042E-01    0.4124420471E+00
    0.2500000000E+03    0.1972989964E+00    0.9101818092E-01    0.2417296388E-01    0.4186718775E+00
    0.2700000000E+03    0.2000418416E+00    0.9217994459E-01    0.2533844084E-01    0.4242257637E+00
    0.2900000000E+03    0.2024350669E+00    0.9322078941E-01    0.2645713537E-01    0.4292168478E+00
    0.3100000000E+03    0.2045330638E+00    0.9415989632E-01    0.2753401890E-01    0.4337335434E+00
    0.3300000000E+03    0.2063796896E+00    0.9501247504E-01    0.2857330792E-01    0.4378460514E+00
    0.3500000000E+03    0.2080107030E+00    0.9579075698E-01    0.2957860770E-01    0.4416108999E+00
    0.3700000000E+03    0.2094555484E+00    0.9650470187E-01    0.3055302376E-01    0.4450741772E+00
    0.3900000000E+03    0.2107386863E+00    0.9716251033E-01    0.3149924928E-01    0.4482738793E+00
    0.4100000000E+03    0.2118805994E+00    0.9777100233E-01    0.3241963442E-01    0.4512416445E+00
    0.4300000000E+03    0.2128985646E+00    0.9833590101E-01    0.3331624182E-01    0.4540040554E+00
    0.4500000000E+03    0.2138072510E+00    0.9886204851E-01    0.3419089133E-01    0.4565836296E+00
    0.4700000000E+03    0.2146191891E+00    0.9935357221E-01    0.3504519656E-01    0.4589995839E+00
    0.4900000000E+03    0.2153451428E+00    0.9981401431E-01    0.3588059475E-01    0.4612684296E+00
    0.1000000000E+03    0.1536585187E+00    0.7379677238E-01    0.1306685029E-01    0.3377346613E+00
    0.3000000000E+03    0.2035180132E+00    0.9370202974E-01    0.2700052415E-01    0.4315297406E+00
    0.5000000000E+03    0.2156788303E+00    0.1000335523E+00    0.3629161080E-01    0.4623522247E+00
    0.7000000000E+03    0.2195385473E+00    0.1033546224E+00    0.4377043099E-01    0.4789337137E+00
    0.9000000000E+03    0.2204572790E+00    0.1054560764E+00    0.5025769320E-01    0.4896576988E+00
    0.1100000000E+04    0.2200965387E+00    0.1069270860E+00    0.5610645087E-01    0.4973138198E+00
    0.1300000000E+04    0.2191142615E+00    0.1080244006E+00    0.6150267001E-01    0.5031298094E+00
