     Pressure (Pa)     22mC5-400 (mol/kg)     2mC6-400 (mol/kg)
    0.1000000000E+01    0.1049323166E-02    0.1415793051E-01
    0.3000000000E+01    0.3056202618E-02    0.4073300112E-01
    0.5000000000E+01    0.4952023010E-02    0.6521379390E-01
    0.7000000000E+01    0.6748577057E-02    0.8783663659E-01
    0.9000000000E+01    0.8455972441E-02    0.1088036117E+00
    0.1100000000E+02    0.1008292732E-01    0.1282885443E+00
    0.1300000000E+02    0.1163700522E-01    0.1464417746E+00
    0.1500000000E+02    0.1312480349E-01    0.1633939952E+00
    0.1700000000E+02    0.1455210563E-01    0.1792593588E+00
    0.1900000000E+02    0.1592400548E-01    0.1941380145E+00
    0.2100000000E+02    0.1724500903E-01    0.2081181908E+00
    0.2300000000E+02    0.1851911865E-01    0.2212779176E+00
    0.2500000000E+02    0.1974990301E-01    0.2336864578E+00
    0.2700000000E+02    0.2094055560E-01    0.2454055048E+00
    0.2900000000E+02    0.2209394383E-01    0.2564901885E+00
    0.3100000000E+02    0.2321265066E-01    0.2669899252E+00
    0.3300000000E+02    0.2429900981E-01    0.2769491385E+00
    0.3500000000E+02    0.2535513592E-01    0.2864078745E+00
    0.3700000000E+02    0.2638295025E-01    0.2954023269E+00
    0.3900000000E+02    0.2738420294E-01    0.3039652898E+00
    0.4100000000E+02    0.2836049212E-01    0.3121265471E+00
    0.4300000000E+02    0.2931328051E-01    0.3199132098E+00
    0.4500000000E+02    0.3024390990E-01    0.3273500092E+00
    0.4700000000E+02    0.3115361371E-01    0.3344595522E+00
    0.4900000000E+02    0.3204352810E-01    0.3412625443E+00
    0.1000000000E+02    0.9279007566E-02    0.1187214356E+00
    0.3000000000E+02    0.2265748109E-01    0.2618102894E+00
    0.5000000000E+02    0.3248139511E-01    0.3445550830E+00
    0.7000000000E+02    0.4041607290E-01    0.3981832574E+00
    0.9000000000E+02    0.4718978087E-01    0.4355698167E+00
    0.1100000000E+03    0.5317998330E-01    0.4629872461E+00
    0.1300000000E+03    0.5860568679E-01    0.4838543362E+00
    0.1500000000E+03    0.6360463504E-01    0.5001919543E+00
    0.1700000000E+03    0.6826887463E-01    0.5132705035E+00
    0.1900000000E+03    0.7266288765E-01    0.5239282221E+00
    0.2100000000E+03    0.7683358460E-01    0.5327402510E+00
    0.2300000000E+03    0.8081616272E-01    0.5401141504E+00
    0.2500000000E+03    0.8463771773E-01    0.5463466583E+00
    0.2700000000E+03    0.8831956576E-01    0.5516588672E+00
    0.2900000000E+03    0.9187878971E-01    0.5562188171E+00
    0.3100000000E+03    0.9532930073E-01    0.5601564583E+00
    0.3300000000E+03    0.9868258617E-01    0.5635738275E+00
    0.3500000000E+03    0.1019482488E+00    0.5665521324E+00
    0.3700000000E+03    0.1051344036E+00    0.5691567862E+00
    0.3900000000E+03    0.1082479747E+00    0.5714410523E+00
    0.4100000000E+03    0.1112949213E+00    0.5734487260E+00
    0.4300000000E+03    0.1142804125E+00    0.5752161380E+00
    0.4500000000E+03    0.1172089637E+00    0.5767736704E+00
    0.4700000000E+03    0.1200845446E+00    0.5781469192E+00
    0.4900000000E+03    0.1229106653E+00    0.5793575949E+00
    0.1000000000E+03    0.5026662110E-01    0.4502670112E+00
    0.3000000000E+03    0.9361686671E-01    0.5582584898E+00
    0.5000000000E+03    0.1243061670E+00    0.5799078666E+00
    0.7000000000E+03    0.1502240289E+00    0.5857090374E+00
    0.9000000000E+03    0.1733473789E+00    0.5861705987E+00
    0.1100000000E+04    0.1945118076E+00    0.5843504733E+00
    0.1300000000E+04    0.2141595409E+00    0.5814401244E+00
    0.1500000000E+04    0.2325576032E+00    0.5779892773E+00
    0.1700000000E+04    0.2498824245E+00    0.5742809944E+00
    0.1900000000E+04    0.2662587576E+00    0.5704723800E+00
    0.2100000000E+04    0.2817797471E+00    0.5666552318E+00
    0.2300000000E+04    0.2965181583E+00    0.5628849989E+00
    0.2500000000E+04    0.3105330517E+00    0.5591957403E+00
    0.2700000000E+04    0.3238739380E+00    0.5556083556E+00
    0.2900000000E+04    0.3365834583E+00    0.5521353537E+00
    0.3100000000E+04    0.3486991630E+00    0.5487837402E+00
    0.3300000000E+04    0.3602547199E+00    0.5455568300E+00
    0.3500000000E+04    0.3712807516E+00    0.5424554244E+00
    0.3700000000E+04    0.3818054241E+00    0.5394785959E+00
    0.3900000000E+04    0.3918548685E+00    0.5366242242E+00
    0.4100000000E+04    0.4014534873E+00    0.5338893712E+00
    0.4300000000E+04    0.4106241803E+00    0.5312705464E+00
    0.4500000000E+04    0.4193885149E+00    0.5287638990E+00
    0.4700000000E+04    0.4277668559E+00    0.5263653573E+00
    0.4900000000E+04    0.4357784684E+00    0.5240707315E+00
    0.1000000000E+04    0.1841411855E+00    0.5854488417E+00
    0.3000000000E+04    0.3427133536E+00    0.5504440959E+00
    0.5000000000E+04    0.4396524916E+00    0.5229610647E+00
    0.7000000000E+04    0.5018331420E+00    0.5052256368E+00
    0.9000000000E+04    0.5430287206E+00    0.4936815460E+00
    0.1100000000E+05    0.5713124809E+00    0.4859376991E+00
    0.1300000000E+05    0.5914218720E+00    0.4805666383E+00
    0.1500000000E+05    0.6061818530E+00    0.4767219293E+00
    0.1700000000E+05    0.6173238199E+00    0.4738909759E+00
    0.1900000000E+05    0.6259426300E+00    0.4717541516E+00
    0.2100000000E+05    0.6327524868E+00    0.4701059911E+00
    0.2300000000E+05    0.6382330925E+00    0.4688105138E+00
    0.2500000000E+05    0.6427153725E+00    0.4677752765E+00
    0.2700000000E+05    0.6464332044E+00    0.4669358825E+00
    0.2900000000E+05    0.6495555148E+00    0.4662464749E+00
    0.3100000000E+05    0.6522067289E+00    0.4656737450E+00
    0.3300000000E+05    0.6544801234E+00    0.4651930629E+00
    0.3500000000E+05    0.6564467449E+00    0.4647859194E+00
    0.3700000000E+05    0.6581614926E+00    0.4644382005E+00
    0.3900000000E+05    0.6596673459E+00    0.4641389997E+00
    0.4100000000E+05    0.6609983554E+00    0.4638797866E+00
    0.4300000000E+05    0.6621817925E+00    0.4636538148E+00
    0.4500000000E+05    0.6632397178E+00    0.4634556947E+00
    0.4700000000E+05    0.6641901408E+00    0.4632810801E+00
    0.4900000000E+05    0.6650478884E+00    0.4631264358E+00
    0.1000000000E+05    0.5584306206E+00    0.4894412787E+00
    0.3000000000E+05    0.6509335705E+00    0.4659472331E+00
    0.5000000000E+05    0.6654459375E+00    0.4630556758E+00
    0.7000000000E+05    0.6706545795E+00    0.4622011445E+00
    0.9000000000E+05    0.6732297025E+00    0.4618440450E+00
    0.1100000000E+06    0.6747382902E+00    0.4616642103E+00
    0.1300000000E+06    0.6757198621E+00    0.4615624237E+00
    0.1500000000E+06    0.6764056453E+00    0.4615000204E+00
    0.1700000000E+06    0.6769100241E+00    0.4614594815E+00
    0.1900000000E+06    0.6772956405E+00    0.4614319707E+00
    0.2100000000E+06    0.6775995103E+00    0.4614126573E+00
    0.2300000000E+06    0.6778448369E+00    0.4613987298E+00
    0.2500000000E+06    0.6780468682E+00    0.4613884672E+00
    0.2700000000E+06    0.6782160187E+00    0.4613807720E+00
    0.2900000000E+06    0.6783596338E+00    0.4613749195E+00
    0.3100000000E+06    0.6784830372E+00    0.4613704174E+00
    0.3300000000E+06    0.6785901785E+00    0.4613669224E+00
    0.3500000000E+06    0.6786840472E+00    0.4613641903E+00
    0.3700000000E+06    0.6787669467E+00    0.4613620437E+00
    0.3900000000E+06    0.6788406794E+00    0.4613603519E+00
    0.4100000000E+06    0.6789066755E+00    0.4613590168E+00
    0.4300000000E+06    0.6789660838E+00    0.4613579641E+00
    0.4500000000E+06    0.6790198377E+00    0.4613571367E+00
    0.4700000000E+06    0.6790687029E+00    0.4613564904E+00
    0.4900000000E+06    0.6791133133E+00    0.4613559904E+00
    0.1000000000E+06    0.6740724254E+00    0.4617404236E+00
    0.3000000000E+06    0.6784235886E+00    0.4613725239E+00
    0.5000000000E+06    0.6791341919E+00    0.4613557865E+00
    0.7000000000E+06    0.6794204783E+00    0.4613550469E+00
    0.9000000000E+06    0.6795745684E+00    0.4613563760E+00
    0.1100000000E+07    0.6796707282E+00    0.4613578855E+00
    0.1300000000E+07    0.6797364185E+00    0.4613592380E+00
    0.1500000000E+07    0.6797841263E+00    0.4613603913E+00
    0.1700000000E+07    0.6798203406E+00    0.4613613659E+00
    0.1900000000E+07    0.6798487657E+00    0.4613621921E+00
    0.2100000000E+07    0.6798716695E+00    0.4613628975E+00
    0.2300000000E+07    0.6798905177E+00    0.4613635048E+00
    0.2500000000E+07    0.6799062998E+00    0.4613640318E+00
    0.2700000000E+07    0.6799197076E+00    0.4613644929E+00
    0.2900000000E+07    0.6799312396E+00    0.4613648990E+00
    0.3100000000E+07    0.6799412638E+00    0.4613652592E+00
    0.3300000000E+07    0.6799500579E+00    0.4613655806E+00
    0.3500000000E+07    0.6799578354E+00    0.4613658689E+00
    0.3700000000E+07    0.6799647631E+00    0.4613661288E+00
    0.3900000000E+07    0.6799709732E+00    0.4613663642E+00
    0.4100000000E+07    0.6799765718E+00    0.4613665782E+00
    0.4300000000E+07    0.6799816451E+00    0.4613667737E+00
    0.4500000000E+07    0.6799862638E+00    0.4613669527E+00
    0.4700000000E+07    0.6799904865E+00    0.4613671173E+00
    0.4900000000E+07    0.6799943622E+00    0.4613672691E+00
    0.1000000000E+07    0.6796276413E+00    0.4613571416E+00
    0.3000000000E+07    0.6799364211E+00    0.4613650844E+00
    0.5000000000E+07    0.6799961830E+00    0.4613673406E+00
    0.7000000000E+07    0.6800216327E+00    0.4613683484E+00
    0.9000000000E+07    0.6800357547E+00    0.4613689040E+00
    0.1100000000E+08    0.6800447504E+00    0.4613692472E+00
    0.1300000000E+08    0.6800509920E+00    0.4613694745E+00
