     Pressure (Pa)     22mC5-400 (mol/kg)     2mC6-400 (mol/kg)
    0.1000000000E+01    0.6295349220E-02    0.6332267648E-02
    0.3000000000E+01    0.1832944532E-01    0.1844036386E-01
    0.5000000000E+01    0.2968485288E-01    0.2986432319E-01
    0.7000000000E+01    0.4042865084E-01    0.4066563605E-01
    0.9000000000E+01    0.5061909886E-01    0.5089813501E-01
    0.1100000000E+02    0.6030704310E-01    0.6060919546E-01
    0.1300000000E+02    0.6953706202E-01    0.6984071369E-01
    0.1500000000E+02    0.7834840641E-01    0.7862990911E-01
    0.1700000000E+02    0.8677577543E-01    0.8700998676E-01
    0.1900000000E+02    0.9484996104E-01    0.9501068796E-01
    0.2100000000E+02    0.1025983860E+00    0.1026587506E+00
    0.2300000000E+02    0.1100455555E+00    0.1099782963E+00
    0.2500000000E+02    0.1172134380E+00    0.1169911573E+00
    0.2700000000E+02    0.1241217879E+00    0.1237171549E+00
    0.2900000000E+02    0.1307884203E+00    0.1301743362E+00
    0.3100000000E+02    0.1372294458E+00    0.1363791782E+00
    0.3300000000E+02    0.1434594716E+00    0.1423467625E+00
    0.3500000000E+02    0.1494917756E+00    0.1480909273E+00
    0.3700000000E+02    0.1553384556E+00    0.1536243987E+00
    0.3900000000E+02    0.1610105602E+00    0.1589589059E+00
    0.4100000000E+02    0.1665182012E+00    0.1641052811E+00
    0.4300000000E+02    0.1718706532E+00    0.1690735476E+00
    0.4500000000E+02    0.1770764395E+00    0.1738729976E+00
    0.4700000000E+02    0.1821434085E+00    0.1785122604E+00
    0.4900000000E+02    0.1870788005E+00    0.1829993632E+00
    0.1000000000E+02    0.5552296281E-01    0.5581610827E-01
    0.3000000000E+02    0.1340361879E+00    0.1333073262E+00
    0.5000000000E+02    0.1894992661E+00    0.1851882119E+00
    0.7000000000E+02    0.2323842504E+00    0.2225483001E+00
    0.9000000000E+02    0.2673563262E+00    0.2507602096E+00
    0.1100000000E+03    0.2968546243E+00    0.2728058206E+00
    0.1300000000E+03    0.3223071138E+00    0.2904921552E+00
    0.1500000000E+03    0.3446236676E+00    0.3049840437E+00
    0.1700000000E+03    0.3644233356E+00    0.3170677816E+00
    0.1900000000E+03    0.3821496717E+00    0.3272935919E+00
    0.2100000000E+03    0.3981338696E+00    0.3360578586E+00
    0.2300000000E+03    0.4126315422E+00    0.3436531089E+00
    0.2500000000E+03    0.4258452968E+00    0.3502996829E+00
    0.2700000000E+03    0.4379392266E+00    0.3561664993E+00
    0.2900000000E+03    0.4490485861E+00    0.3613850696E+00
    0.3100000000E+03    0.4592864756E+00    0.3660591907E+00
    0.3300000000E+03    0.4687486029E+00    0.3702717943E+00
    0.3500000000E+03    0.4775167674E+00    0.3740898762E+00
    0.3700000000E+03    0.4856614703E+00    0.3775681047E+00
    0.3900000000E+03    0.4932439116E+00    0.3807515003E+00
    0.4100000000E+03    0.5003175468E+00    0.3836774525E+00
    0.4300000000E+03    0.5069293193E+00    0.3863772568E+00
    0.4500000000E+03    0.5131206498E+00    0.3888772974E+00
    0.4700000000E+03    0.5189282415E+00    0.3911999686E+00
    0.4900000000E+03    0.5243847412E+00    0.3933643976E+00
    0.1000000000E+03    0.2826844248E+00    0.2624214462E+00
    0.3000000000E+03    0.4542701211E+00    0.3637845794E+00
    0.5000000000E+03    0.5269905616E+00    0.3943924986E+00
    0.7000000000E+03    0.5663194987E+00    0.4096345746E+00
    0.9000000000E+03    0.5904376027E+00    0.4189718042E+00
    0.1100000000E+04    0.6065267393E+00    0.4253550054E+00
    0.1300000000E+04    0.6179310222E+00    0.4300236672E+00
    0.1500000000E+04    0.6263919810E+00    0.4335990200E+00
    0.1700000000E+04    0.6328956738E+00    0.4364304928E+00
    0.1900000000E+04    0.6380380089E+00    0.4387311819E+00
    0.2100000000E+04    0.6421984154E+00    0.4406390545E+00
    0.2300000000E+04    0.6456290273E+00    0.4422476563E+00
    0.2500000000E+04    0.6485034549E+00    0.4436227918E+00
    0.2700000000E+04    0.6509448834E+00    0.4448121660E+00
    0.2900000000E+04    0.6530429927E+00    0.4458512426E+00
