     Pressure (Pa)     C7-500 (mol/kg)        3mC6-500 (mol/kg)
    0.1000000000E+01    0.0000000000E+00    0.1042062289E-03
    0.3000000000E+01    0.0000000000E+00    0.3125210532E-03
    0.5000000000E+01    0.0000000000E+00    0.5207058010E-03
    0.7000000000E+01    0.0000000000E+00    0.7287605941E-03
    0.9000000000E+01    0.0000000000E+00    0.9366855542E-03
    0.1100000000E+02    0.0000000000E+00    0.1144480803E-02
    0.1300000000E+02    0.0000000000E+00    0.1352146461E-02
    0.1500000000E+02    0.0000000000E+00    0.1559682650E-02
    0.1700000000E+02    0.0000000000E+00    0.1767089492E-02
    0.1900000000E+02    0.0000000000E+00    0.1974367106E-02
    0.2100000000E+02    0.0000000000E+00    0.2181515614E-02
    0.2300000000E+02    0.0000000000E+00    0.2388535136E-02
    0.2500000000E+02    0.0000000000E+00    0.2595425792E-02
    0.2700000000E+02    0.0000000000E+00    0.2802187704E-02
    0.2900000000E+02    0.0000000000E+00    0.3008820991E-02
    0.3100000000E+02    0.0000000000E+00    0.3215325773E-02
    0.3300000000E+02    0.0000000000E+00    0.3421702170E-02
    0.3500000000E+02    0.0000000000E+00    0.3627950301E-02
    0.3700000000E+02    0.0000000000E+00    0.3834070287E-02
    0.3900000000E+02    0.0000000000E+00    0.4040062246E-02
    0.4100000000E+02    0.0000000000E+00    0.4245926298E-02
    0.4300000000E+02    0.0000000000E+00    0.4451662562E-02
    0.4500000000E+02    0.0000000000E+00    0.4657271157E-02
    0.4700000000E+02    0.0000000000E+00    0.4862752201E-02
    0.4900000000E+02    0.0000000000E+00    0.5068105814E-02
    0.5100000000E+02    0.0000000000E+00    0.5273332113E-02
    0.5300000000E+02    0.0000000000E+00    0.5478431218E-02
    0.5500000000E+02    0.0000000000E+00    0.5683403246E-02
    0.5700000000E+02    0.0000000000E+00    0.5888248316E-02
    0.5900000000E+02    0.0000000000E+00    0.6092966545E-02
    0.6100000000E+02    0.0000000000E+00    0.6297558051E-02
    0.6300000000E+02    0.0000000000E+00    0.6502022952E-02
    0.6500000000E+02    0.0000000000E+00    0.6706361365E-02
    0.6700000000E+02    0.0000000000E+00    0.6910573408E-02
    0.6900000000E+02    0.0000000000E+00    0.7114659197E-02
