     Pressure (Pa)     C7-500 (mol/kg)        3mC6-500 (mol/kg)
    0.1000000000E+01    0.7192680012E-04    0.4481012147E-04
    0.3000000000E+01    0.2157204517E-03    0.1343970437E-03
    0.5000000000E+01    0.3594342378E-03    0.2239395900E-03
    0.7000000000E+01    0.5030682376E-03    0.3134378223E-03
    0.9000000000E+01    0.6466225301E-03    0.4028918024E-03
    0.1100000000E+02    0.7900971942E-03    0.4923015920E-03
    0.1300000000E+02    0.9334923087E-03    0.5816672526E-03
    0.1500000000E+02    0.1076807952E-02    0.6709888458E-03
    0.1700000000E+02    0.1220044203E-02    0.7602664329E-03
    0.1900000000E+02    0.1363201141E-02    0.8495000752E-03
    0.2100000000E+02    0.1506278842E-02    0.9386898339E-03
    0.2300000000E+02    0.1649277387E-02    0.1027835770E-02
    0.2500000000E+02    0.1792196852E-02    0.1116937945E-02
    0.2700000000E+02    0.1935037315E-02    0.1205996419E-02
    0.2900000000E+02    0.2077798856E-02    0.1295011252E-02
    0.3100000000E+02    0.2220481550E-02    0.1383982507E-02
    0.3300000000E+02    0.2363085477E-02    0.1472910243E-02
    0.3500000000E+02    0.2505610712E-02    0.1561794521E-02
    0.3700000000E+02    0.2648057335E-02    0.1650635400E-02
    0.3900000000E+02    0.2790425422E-02    0.1739432942E-02
    0.4100000000E+02    0.2932715050E-02    0.1828187206E-02
    0.4300000000E+02    0.3074926297E-02    0.1916898253E-02
    0.4500000000E+02    0.3217059239E-02    0.2005566142E-02
    0.4700000000E+02    0.3359113953E-02    0.2094190934E-02
    0.4900000000E+02    0.3501090516E-02    0.2182772687E-02
    0.5100000000E+02    0.3642989005E-02    0.2271311462E-02
    0.5300000000E+02    0.3784809495E-02    0.2359807319E-02
    0.5500000000E+02    0.3926552064E-02    0.2448260315E-02
    0.5700000000E+02    0.4068216787E-02    0.2536670512E-02
    0.5900000000E+02    0.4209803742E-02    0.2625037968E-02
    0.6100000000E+02    0.4351313003E-02    0.2713362742E-02
    0.6300000000E+02    0.4492744647E-02    0.2801644894E-02
    0.6500000000E+02    0.4634098749E-02    0.2889884481E-02
    0.6700000000E+02    0.4775375386E-02    0.2978081564E-02
    0.6900000000E+02    0.4916574633E-02    0.3066236201E-02
    0.7100000000E+02    0.5057696565E-02    0.3154348450E-02
    0.7300000000E+02    0.5198741258E-02    0.3242418370E-02
    0.7500000000E+02    0.5339708787E-02    0.3330446019E-02
    0.7700000000E+02    0.5480599228E-02    0.3418431456E-02
    0.7900000000E+02    0.5621412654E-02    0.3506374739E-02
    0.8100000000E+02    0.5762149142E-02    0.3594275926E-02
    0.8300000000E+02    0.5902808766E-02    0.3682135076E-02
    0.8500000000E+02    0.6043391600E-02    0.3769952245E-02
    0.8700000000E+02    0.6183897720E-02    0.3857727493E-02
    0.8900000000E+02    0.6324327200E-02    0.3945460876E-02
    0.9100000000E+02    0.6464680114E-02    0.4033152452E-02
    0.9300000000E+02    0.6604956536E-02    0.4120802279E-02
