     Pressure (Pa)     C7-500 (mol/kg)        3mC6-500 (mol/kg)
    0.3000000000E+03    0.8191819421E-02    0.2652386199E-01
    0.5000000000E+03    0.1320102596E-01    0.4271585166E-01
    0.7000000000E+03    0.1788955084E-01    0.5785115253E-01
    0.9000000000E+03    0.2228751643E-01    0.7202965653E-01
    0.1100000000E+04    0.2642137861E-01    0.8533905790E-01
    0.1300000000E+04    0.3031446863E-01    0.9785665934E-01
    0.1500000000E+04    0.3398744164E-01    0.1096508665E+00
    0.1700000000E+04    0.3745865001E-01    0.1207824318E+00
    0.1900000000E+04    0.4074445586E-01    0.1313054954E+00
    0.2100000000E+04    0.4385949402E-01    0.1412684604E+00
    0.2300000000E+04    0.4681689431E-01    0.1507147332E+00
    0.2500000000E+04    0.4962847039E-01    0.1596833519E+00
    0.2700000000E+04    0.5230488080E-01    0.1682095216E+00
    0.2900000000E+04    0.5485576695E-01    0.1763250742E+00
    0.3100000000E+04    0.5728987179E-01    0.1840588622E+00
    0.3300000000E+04    0.5961514217E-01    0.1914370993E+00
    0.3500000000E+04    0.6183881755E-01    0.1984836553E+00
    0.3700000000E+04    0.6396750713E-01    0.2052203125E+00
    0.3900000000E+04    0.6600725705E-01    0.2116669884E+00
    0.4100000000E+04    0.6796360916E-01    0.2178419313E+00
    0.4300000000E+04    0.6984165263E-01    0.2237618916E+00
    0.4500000000E+04    0.7164606928E-01    0.2294422721E+00
    0.4700000000E+04    0.7338117363E-01    0.2348972608E+00
    0.4900000000E+04    0.7505094825E-01    0.2401399486E+00
    0.5100000000E+04    0.7665907514E-01    0.2451824329E+00
    0.5300000000E+04    0.7820896360E-01    0.2500359103E+00
    0.5500000000E+04    0.7970377507E-01    0.2547107587E+00
    0.5700000000E+04    0.8114644529E-01    0.2592166109E+00
    0.5900000000E+04    0.8253970409E-01    0.2635624203E+00
    0.6100000000E+04    0.8388609320E-01    0.2677565194E+00
    0.6300000000E+04    0.8518798218E-01    0.2718066730E+00
    0.6500000000E+04    0.8644758281E-01    0.2757201257E+00
    0.6700000000E+04    0.8766696199E-01    0.2795036445E+00
    0.6900000000E+04    0.8884805345E-01    0.2831635579E+00
    0.7100000000E+04    0.8999266835E-01    0.2867057901E+00
    0.7300000000E+04    0.9110250482E-01    0.2901358937E+00
    0.7500000000E+04    0.9217915669E-01    0.2934590777E+00
    0.7700000000E+04    0.9322412137E-01    0.2966802337E+00
    0.7900000000E+04    0.9423880704E-01    0.2998039602E+00
    0.8100000000E+04    0.9522453926E-01    0.3028345835E+00
    0.8300000000E+04    0.9618256689E-01    0.3057761783E+00
    0.8500000000E+04    0.9711406762E-01    0.3086325849E+00
    0.8700000000E+04    0.9802015296E-01    0.3114074265E+00
    0.8900000000E+04    0.9890187284E-01    0.3141041240E+00
    0.9100000000E+04    0.9976021979E-01    0.3167259098E+00
    0.9300000000E+04    0.1005961329E+00    0.3192758411E+00
    0.9500000000E+04    0.1014105013E+00    0.3217568109E+00
    0.9700000000E+04    0.1022041674E+00    0.3241715593E+00
    0.9900000000E+04    0.1029779301E+00    0.3265226837E+00
    0.1000000000E+04    0.2438593467E-01    0.7878793895E-01
    0.3000000000E+04    0.5608690280E-01    0.1802379922E+00
    0.5000000000E+04    0.7586249849E-01    0.2426854963E+00
    0.7000000000E+04    0.8942481180E-01    0.2849490287E+00
    0.9000000000E+04    0.9933390803E-01    0.3154241858E+00
    0.1100000000E+05    0.1069098857E+00    0.3384206347E+00
    0.1300000000E+05    0.1129032146E+00    0.3563774483E+00
    0.1500000000E+05    0.1177724365E+00    0.3707782945E+00
    0.1700000000E+05    0.1218137446E+00    0.3825773029E+00
    0.1900000000E+05    0.1252271191E+00    0.3924158325E+00
    0.2100000000E+05    0.1281525408E+00    0.4007408450E+00
    0.2300000000E+05    0.1306909764E+00    0.4078733160E+00
    0.2500000000E+05    0.1329171219E+00    0.4140496670E+00
    0.2700000000E+05    0.1348874504E+00    0.4194478623E+00
    0.2900000000E+05    0.1366454679E+00    0.4242044061E+00
    0.3100000000E+05    0.1382252470E+00    0.4284257386E+00
    0.3300000000E+05    0.1396538616E+00    0.4321960706E+00
    0.3500000000E+05    0.1409531042E+00    0.4355828913E+00
    0.3700000000E+05    0.1421407193E+00    0.4386409164E+00
    0.3900000000E+05    0.1432313064E+00    0.4414149691E+00
    0.4100000000E+05    0.1442369905E+00    0.4439421155E+00
    0.4300000000E+05    0.1451679283E+00    0.4462532703E+00
    0.4500000000E+05    0.1460326939E+00    0.4483744194E+00
    0.4700000000E+05    0.1468385775E+00    0.4503275631E+00
    0.4900000000E+05    0.1475918188E+00    0.4521314501E+00
    0.5100000000E+05    0.1482977905E+00    0.4538021555E+00
    0.5300000000E+05    0.1489611451E+00    0.4553535402E+00
    0.5500000000E+05    0.1495859328E+00    0.4567976183E+00
    0.5700000000E+05    0.1501756959E+00    0.4581448542E+00
    0.5900000000E+05    0.1507335474E+00    0.4594044037E+00
    0.6100000000E+05    0.1512622341E+00    0.4605843122E+00
    0.6300000000E+05    0.1517641899E+00    0.4616916773E+00
    0.6500000000E+05    0.1522415789E+00    0.4627327843E+00
