     Pressure (Pa)     C7-500 (mol/kg)        3mC6-500 (mol/kg)
    0.1000000000E+01    0.2832760341E-03    0.1790681696E-02
    0.3000000000E+01    0.8446726115E-03    0.5339527709E-02
    0.5000000000E+01    0.1399298695E-02    0.8845669499E-02
    0.7000000000E+01    0.1947275874E-02    0.1230987342E-01
    0.9000000000E+01    0.2488722847E-02    0.1573288759E-01
    0.1100000000E+02    0.3023755504E-02    0.1911544245E-01
    0.1300000000E+02    0.3552487009E-02    0.2245825125E-01
    0.1500000000E+02    0.4075027880E-02    0.2576201060E-01
    0.1700000000E+02    0.4591486069E-02    0.2902740090E-01
    0.1900000000E+02    0.5101967030E-02    0.3225508685E-01
    0.2100000000E+02    0.5606573796E-02    0.3544571788E-01
    0.2300000000E+02    0.6105407046E-02    0.3859992857E-01
    0.2500000000E+02    0.6598565173E-02    0.4171833913E-01
    0.2700000000E+02    0.7086144345E-02    0.4480155573E-01
    0.2900000000E+02    0.7568238573E-02    0.4785017095E-01
    0.3100000000E+02    0.8044939767E-02    0.5086476413E-01
    0.3300000000E+02    0.8516337795E-02    0.5384590177E-01
    0.3500000000E+02    0.8982520540E-02    0.5679413784E-01
    0.3700000000E+02    0.9443573957E-02    0.5971001414E-01
    0.3900000000E+02    0.9899582121E-02    0.6259406066E-01
    0.4100000000E+02    0.1035062728E-01    0.6544679586E-01
    0.4300000000E+02    0.1079678990E-01    0.6826872702E-01
    0.4500000000E+02    0.1123814873E-01    0.7106035051E-01
    0.4700000000E+02    0.1167478083E-01    0.7382215208E-01
    0.4900000000E+02    0.1210676161E-01    0.7655460716E-01
    0.5100000000E+02    0.1253416489E-01    0.7925818115E-01
    0.5300000000E+02    0.1295706296E-01    0.8193332964E-01
    0.5500000000E+02    0.1337552655E-01    0.8458049867E-01
    0.5700000000E+02    0.1378962497E-01    0.8720012504E-01
    0.5900000000E+02    0.1419942605E-01    0.8979263646E-01
    0.6100000000E+02    0.1460499625E-01    0.9235845187E-01
    0.6300000000E+02    0.1500640065E-01    0.9489798158E-01
    0.6500000000E+02    0.1540370302E-01    0.9741162756E-01
    0.6700000000E+02    0.1579696582E-01    0.9989978364E-01
    0.6900000000E+02    0.1618625025E-01    0.1023628357E+00
    0.7100000000E+02    0.1657161629E-01    0.1048011617E+00
    0.7300000000E+02    0.1695312271E-01    0.1072151324E+00
    0.7500000000E+02    0.1733082712E-01    0.1096051110E+00
    0.7700000000E+02    0.1770478600E-01    0.1119714533E+00
    0.7900000000E+02    0.1807505468E-01    0.1143145084E+00
    0.8100000000E+02    0.1844168744E-01    0.1166346185E+00
    0.8300000000E+02    0.1880473749E-01    0.1189321190E+00
    0.8500000000E+02    0.1916425701E-01    0.1212073389E+00
    0.8700000000E+02    0.1952029716E-01    0.1234606009E+00
    0.8900000000E+02    0.1987290814E-01    0.1256922213E+00
    0.9100000000E+02    0.2022213916E-01    0.1279025106E+00
    0.9300000000E+02    0.2056803853E-01    0.1300917732E+00
    0.9500000000E+02    0.2091065360E-01    0.1322603078E+00
    0.9700000000E+02    0.2125003086E-01    0.1344084075E+00
    0.9900000000E+02    0.2158621592E-01    0.1365363599E+00
    0.1000000000E+02    0.2757033830E-02    0.1742917746E-01
    0.3000000000E+02    0.7807257635E-02    0.4936168459E-01
    0.5000000000E+02    0.1232103088E-01    0.7790997560E-01
    0.7000000000E+02    0.1637941936E-01    0.1035850661E+00
    0.9000000000E+02    0.2004794311E-01    0.1268000132E+00
    0.1100000000E+03    0.2338013194E-01    0.1478923149E+00
