     Pressure (Pa)     C7-500 (mol/kg)        3mC6-500 (mol/kg)
    0.1000000000E+01    0.1175121121E-03    0.5405483220E-04
    0.3000000000E+01    0.3523588343E-03    0.1620813343E-03
    0.5000000000E+01    0.5869691862E-03    0.2699970943E-03
    0.7000000000E+01    0.8213435259E-03    0.3778022809E-03
    0.9000000000E+01    0.1055482211E-02    0.4854970627E-03
    0.1100000000E+02    0.1289385597E-02    0.5930816077E-03
    0.1300000000E+02    0.1523054042E-02    0.7005560838E-03
    0.1500000000E+02    0.1756487899E-02    0.8079206583E-03
    0.1700000000E+02    0.1989687523E-02    0.9151754984E-03
    0.1900000000E+02    0.2222653269E-02    0.1022320771E-02
    0.2100000000E+02    0.2455385489E-02    0.1129356642E-02
    0.2300000000E+02    0.2687884536E-02    0.1236283278E-02
    0.2500000000E+02    0.2920150761E-02    0.1343100845E-02
    0.2700000000E+02    0.3152184515E-02    0.1449809507E-02
    0.2900000000E+02    0.3383986149E-02    0.1556409431E-02
    0.3100000000E+02    0.3615556011E-02    0.1662900780E-02
    0.3300000000E+02    0.3846894452E-02    0.1769283720E-02
    0.3500000000E+02    0.4078001818E-02    0.1875558415E-02
    0.3700000000E+02    0.4308878458E-02    0.1981725027E-02
    0.3900000000E+02    0.4539524717E-02    0.2087783721E-02
    0.4100000000E+02    0.4769940943E-02    0.2193734659E-02
    0.4300000000E+02    0.5000127480E-02    0.2299578005E-02
    0.4500000000E+02    0.5230084674E-02    0.2405313921E-02
    0.4700000000E+02    0.5459812867E-02    0.2510942569E-02
    0.4900000000E+02    0.5689312404E-02    0.2616464110E-02
    0.5100000000E+02    0.5918583626E-02    0.2721878707E-02
    0.5300000000E+02    0.6147626877E-02    0.2827186521E-02
    0.5500000000E+02    0.6376442496E-02    0.2932387711E-02
    0.5700000000E+02    0.6605030826E-02    0.3037482439E-02
    0.5900000000E+02    0.6833392204E-02    0.3142470865E-02
    0.6100000000E+02    0.7061526971E-02    0.3247353149E-02
    0.6300000000E+02    0.7289435466E-02    0.3352129450E-02
    0.6500000000E+02    0.7517118025E-02    0.3456799928E-02
    0.6700000000E+02    0.7744574986E-02    0.3561364741E-02
    0.6900000000E+02    0.7971806686E-02    0.3665824049E-02
    0.7100000000E+02    0.8198813461E-02    0.3770178008E-02
    0.7300000000E+02    0.8425595645E-02    0.3874426778E-02
    0.7500000000E+02    0.8652153573E-02    0.3978570515E-02
    0.7700000000E+02    0.8878487579E-02    0.4082609378E-02
    0.7900000000E+02    0.9104597996E-02    0.4186543523E-02
    0.8100000000E+02    0.9330485156E-02    0.4290373107E-02
    0.8300000000E+02    0.9556149392E-02    0.4394098286E-02
    0.8500000000E+02    0.9781591034E-02    0.4497719217E-02
    0.8700000000E+02    0.1000681041E-01    0.4601236055E-02
    0.8900000000E+02    0.1023180786E-01    0.4704648955E-02
    0.9100000000E+02    0.1045658370E-01    0.4807958073E-02
    0.9300000000E+02    0.1068113827E-01    0.4911163564E-02
    0.9500000000E+02    0.1090547189E-01    0.5014265582E-02
    0.9700000000E+02    0.1112958489E-01    0.5117264281E-02
    0.9900000000E+02    0.1135347759E-01    0.5220159815E-02
    0.1000000000E+02    0.1172463294E-02    0.5393031043E-03
    0.3000000000E+02    0.3499800030E-02    0.1609668667E-02
    0.5000000000E+02    0.5803976533E-02    0.2669184767E-02
    0.7000000000E+02    0.8085338168E-02    0.3718014187E-02
    0.9000000000E+02    0.1034422346E-01    0.4756316477E-02
    0.1100000000E+03    0.1258096426E-01    0.5784248034E-02
    0.1300000000E+03    0.1479588592E-01    0.6801962177E-02
    0.1500000000E+03    0.1698930744E-01    0.7809609226E-02
    0.1700000000E+03    0.1916154162E-01    0.8807336570E-02
    0.1900000000E+03    0.2131289521E-01    0.9795288744E-02
    0.2100000000E+03    0.2344366909E-01    0.1077360749E-01
    0.2300000000E+03    0.2555415834E-01    0.1174243184E-01
    0.2500000000E+03    0.2764465246E-01    0.1270189815E-01
    0.2700000000E+03    0.2971543543E-01    0.1365214021E-01
