     Pressure (Pa)     2mC6-400 (mol/kg)     3mC6-400 (mol/kg)     33mC5-400 (mol/kg)     C7-400 (mol/kg)
    0.1000000000E+01    0.7871120814E-03    0.4157245670E-02    0.2564063714E-03    0.1180631201E-01
    0.3000000000E+01    0.2269116866E-02    0.1188640792E-01    0.7395444914E-03    0.3376455975E-01
    0.5000000000E+01    0.3642711270E-02    0.1892308358E-01    0.1187829101E-02    0.5376518583E-01
    0.7000000000E+01    0.4922622775E-02    0.2535685869E-01    0.1606027590E-02    0.7206104844E-01
    0.9000000000E+01    0.6121051149E-02    0.3126248233E-01    0.1998086007E-02    0.8886316091E-01
    0.1100000000E+02    0.7248181827E-02    0.3670281725E-01    0.2367296206E-02    0.1043490095E+00
    0.1300000000E+02    0.8312579899E-02    0.4173111322E-01    0.2716424071E-02    0.1186689624E+00
    0.1500000000E+02    0.9321495756E-02    0.4639277784E-01    0.3047808967E-02    0.1319512627E+00
    0.1700000000E+02    0.1028110459E-01    0.5072676970E-01    0.3363441628E-02    0.1443059568E+00
    0.1900000000E+02    0.1119669580E-01    0.5476670482E-01    0.3665025739E-02    0.1558280146E+00
    0.2100000000E+02    0.1207282402E-01    0.5854174268E-01    0.3954027020E-02    0.1665998281E+00
    0.2300000000E+02    0.1291343057E-01    0.6207730163E-01    0.4231712683E-02    0.1766932299E+00
    0.2500000000E+02    0.1372194181E-01    0.6539564071E-01    0.4499183356E-02    0.1861711336E+00
    0.2700000000E+02    0.1450134928E-01    0.6851633614E-01    0.4757399113E-02    0.1950888789E+00
    0.2900000000E+02    0.1525427552E-01    0.7145667406E-01    0.5007200822E-02    0.2034953388E+00
    0.3100000000E+02    0.1598302841E-01    0.7423197623E-01    0.5249327759E-02    0.2114338394E+00
    0.3300000000E+02    0.1668964624E-01    0.7685587167E-01    0.5484432231E-02    0.2189429260E+00
    0.3500000000E+02    0.1737593538E-01    0.7934052438E-01    0.5713091765E-02    0.2260570056E+00
    0.3700000000E+02    0.1804350183E-01    0.8169682530E-01    0.5935819344E-02    0.2328068891E+00
    0.3900000000E+02    0.1869377785E-01    0.8393455477E-01    0.6153072010E-02    0.2392202498E+00
    0.4100000000E+02    0.1932804451E-01    0.8606252082E-01    0.6365258161E-02    0.2453220136E+00
    0.4300000000E+02    0.1994745081E-01    0.8808867718E-01    0.6572743741E-02    0.2511346922E+00
    0.4500000000E+02    0.2055303005E-01    0.9002022458E-01    0.6775857526E-02    0.2566786692E+00
    0.4700000000E+02    0.2114571385E-01    0.9186369791E-01    0.6974895648E-02    0.2619724462E+00
    0.4900000000E+02    0.2172634419E-01    0.9362504158E-01    0.7170125487E-02    0.2670328556E+00
    0.1000000000E+02    0.6692959356E-02    0.3403728032E-01    0.2185363224E-02    0.9676064902E-01
    0.3000000000E+02    0.1562154040E-01    0.7286406599E-01    0.5129180983E-02    0.2075205710E+00
    0.5000000000E+02    0.2201238051E-01    0.9447662721E-01    0.7266388828E-02    0.2694803971E+00
    0.7000000000E+02    0.2725196422E-01    0.1082875122E+00    0.9039742649E-02    0.3092701348E+00
    0.9000000000E+02    0.3183600376E-01    0.1178954059E+00    0.1060594893E-01    0.3370876621E+00
    0.1100000000E+03    0.3598415641E-01    0.1249762403E+00    0.1203380898E-01    0.3576897267E+00
    0.1300000000E+03    0.3980960778E-01    0.1304172120E+00    0.1335851641E-01    0.3735983838E+00
    0.1500000000E+03    0.4337793027E-01    0.1347325038E+00    0.1460036775E-01    0.3862775960E+00
    0.1700000000E+03    0.4673092118E-01    0.1382409693E+00    0.1577228347E-01    0.3966366060E+00
    0.1900000000E+03    0.4989741157E-01    0.1411510004E+00    0.1688319185E-01    0.4052705901E+00
    0.2100000000E+03    0.5289861648E-01    0.1436046416E+00    0.1793969082E-01    0.4125858643E+00
    0.2300000000E+03    0.5575097882E-01    0.1457021026E+00    0.1894692451E-01    0.4188695242E+00
    0.2500000000E+03    0.5846777504E-01    0.1475161381E+00    0.1990907448E-01    0.4243303327E+00
    0.2700000000E+03    0.6106007063E-01    0.1491008695E+00    0.2082965016E-01    0.4291238291E+00
    0.2900000000E+03    0.6353731615E-01    0.1504974058E+00    0.2171166892E-01    0.4333683411E+00
    0.3100000000E+03    0.6590773534E-01    0.1517375428E+00    0.2255777285E-01    0.4371555319E+00
